VK,HT,FT
224,660,-1
86,25,978
16,96,585
77,230,130
89,845,570
32,116,116
81,524,865
85,664,48
65,37,175
76,134,429
77,15,904
32,90,182
87,162,248
73,65,168
72,350,717
8,419,373
84,79,12
72,589,504
32,63,79
71,453,97
65,78,206
89,872,668
32,90,126
77,369,45
65,46,288
82,397,591
73,67,209
65,103,168
71,644,601
69,112,102
32,90,79
73,67,12
83,101,138
32,123,103
78,101,133
79,62,420
84,86,115
32,79,102
87,734,879
73,79,117
84,93,91
72,428,821
32,101,135
72,202,768
79,35,169
77,54,638
79,57,220
83,70,90
69,79,134
88,583,270
85,62,313
65,101,90
76,943,292
73,67,125
84,67,114
89,618,479
32,79,135
79,90,78
82,600,684
32,79,124
72,846,209
79,65,105
77,763,269
79,14,146
83,78,94
69,124,134
88,868,53
85,636,894
65,78,115
76,358,194
83,78,157
188,990,114
32,101,124
66,197,661
85,913,181
84,90,124
32,76,101
73,89,1443
84,107,122
32,82,419
73,79,120
83,78,197
32,90,101
87,143,321
73,56,177
84,79,124
72,504,34
32,73,79
84,71,14
72,414,540
69,149,160
32,74,91
73,56,1450
78,67,191
83,139,98
84,67,117
73,67,135
84,79,80
85,414,99
84,135,198
73,84,179
79,82,73
78,68,146
32,54,135
79,14,119
70,80,393
32,124,90
77,537,157
65,96,625
82,822,430
73,56,173
65,101,90
71,869,472
69,56,101
32,120,115
73,79,34
84,118,67
83,45,74
69,77,101
76,856,37
70,441,67
190,933,514
32,124,90
16,738,129
77,861,364
65,92,92
82,313,463
73,63,168
65,101,90
69,51,101
32,45,123
73,67,135
83,79,154
32,67,97
65,113,321
32,90,67
83,79,157
79,101,108
67,674,932
73,75,90
79,69,116
173,568,579
82,458,88
69,152,134
76,414,983
73,79,139
71,496,776
73,79,256
79,39,7
85,476,458
83,145,14
32,68,127
67,929,571
79,68,112
77,728,110
8,56,966
77,188,377
73,79,135
84,67,147
77,730,839
69,112,102
78,79,52
84,67,187
32,90,135
84,135,124
72,258,724
65,103,94
84,36,205
32,90,231
84,89,124
87,18,420
79,65,27
32,86,101
80,612,580
69,67,101
79,60,182
80,722,180
76,692,440
69,84,101
32,98,101
77,283,454
65,82,36
75,966,342
69,79,141
32,101,184
84,135,181
79,11,49
32,57,419
69,124,101
65,78,173
67,296,337
72,895,218
32,105,79
79,45,139
84,135,130
72,253,756
69,126,101
82,281,86
188,838,11
32,121,190
65,112,145
