VK,HT,FT
16,349,-1
65,104,173
32,84,144
67,124,260
79,80,124
82,102,105
69,102,175
32,98,138
82,102,248
8,430,606
80,109,245
82,89,141
73,94,181
78,83,138
67,107,147
73,123,126
80,109,245
76,90,163
69,110,87
32,91,164
73,101,130
78,84,134
32,77,124
69,93,329
86,104,174
65,104,173
76,126,131
85,87,193
84,98,137
65,93,185
84,68,157
73,92,153
78,83,138
71,88,104
32,108,141
8,1005,904
65,109,528
84,103,154
73,92,153
78,83,138
71,88,104
32,108,141
87,94,191
72,75,115
69,84,107
72,85,154
84,74,89
69,100,163
82,143,126
32,75,144
65,100,142
32,71,103
65,100,142
32,71,103
67,124,260
69,104,200
82,129,139
8,430,606
67,107,237
69,104,200
82,129,139
84,96,190
65,93,185
73,112,146
78,83,138
32,85,159
67,124,260
72,94,87
65,83,117
82,158,174
65,87,216
67,89,207
84,116,250
69,92,166
82,143,126
73,96,125
83,118,112
84,106,318
73,92,153
67,106,159
32,90,158
67,124,260
65,136,170
78,81,113
32,76,147
66,85,177
69,110,173
32,85,131
87,94,191
79,102,182
82,102,105
84,96,190
72,80,99
89,83,170
32,88,184
79,106,175
70,94,72
32,71,113
76,135,238
69,114,180
71,78,188
65,106,229
76,126,131
32,95,206
67,124,260
73,123,126
86,90,176
73,93,171
76,120,158
32,89,206
82,102,248
73,94,181
71,124,128
72,85,154
84,74,89
83,139,192
32,72,222
80,112,297
82,89,141
79,102,182
84,81,153
69,100,163
67,83,292
84,116,250
73,92,153
79,86,182
78,90,113
32,96,119
73,101,118
83,125,92
32,70,133
87,94,191
72,75,115
69,84,107
84,117,274
72,96,204
69,86,96
82,106,123
32,83,137
73,106,165
84,122,124
32,115,146
73,106,165
83,125,92
32,70,133
65,109,114
78,77,114
32,76,147
16,250,297
222,119,160
73,99,173
77,148,185
85,79,441
78,107,199
8,430,606
84,100,168
8,430,606
77,100,194
78,87,157
8,430,606
85,87,193
84,98,137
65,93,185
66,99,115
76,82,104
69,184,109
16,298,331
222,119,160
32,90,158
73,106,165
78,84,134
8,430,606
16,298,331
57,173,450
79,102,182
