VK,HT,FT
16,0,-1
73,140,248
8,58,803
16,156,953
70,119,417
79,89,0
82,100,98
32,53,285
77,60,207
65,100,164
78,27,113
89,115,166
32,94,0
89,122,0
69,172,290
65,11,199
82,98,235
83,102,216
188,72,183
32,84,126
84,118,384
72,75,125
69,84,112
32,115,129
67,136,374
73,75,353
86,110,369
73,54,351
76,175,28
32,129,210
8,596,820
16,424,1041
65,63,254
32,74,135
67,69,285
79,126,186
82,196,136
69,131,196
32,59,182
82,133,0
8,0,0
80,106,345
82,64,76
73,93,18
78,134,96
67,114,214
73,112,0
80,146,231
76,164,231
69,19,0
32,179,0
73,5,214
78,152,124
32,70,211
69,87,732
86,126,301
65,94,111
76,94,14
85,93,127
65,73,349
84,53,289
73,72,59
78,93,115
71,73,110
32,152,0
83,132,155
79,131,185
77,153,177
69,91,86
8,0,398
87,66,21
72,103,395
69,192,253
84,96,256
72,102,107
69,55,168
82,77,119
32,96,267
65,77,275
32,97,289
67,82,408
69,95,196
82,111,92
84,48,343
65,149,177
73,57,0
78,156,205
32,104,102
67,177,286
72,85,160
65,52,98
82,84,248
65,123,302
67,60,244
84,97,143
69,41,181
82,188,197
73,126,366
83,86,37
73,47,156
8,0,285
84,109,597
73,238,295
67,69,110
32,87,208
73,76,300
83,87,0
32,134,0
83,79,138
79,86,84
77,157,103
69,134,115
84,130,103
72,128,0
73,184,172
78,102,125
71,101,37
32,130,135
84,72,183
72,76,404
65,96,239
84,72,156
32,87,102
67,134,178
65,144,126
78,181,108
32,138,242
66,48,56
69,39,174
32,97,22
68,89,275
69,101,161
83,179,30
67,60,20
82,98,229
8,307,215
67,87,549
8,82,791
67,76,163
65,131,17
78,166,152
32,95,346
66,57,306
69,97,150
32,91,0
87,138,138
79,62,1
82,120,169
84,55,102
72,91,85
89,56,127
32,122,215
79,120,495
70,141,143
32,118,150
76,120,232
69,62,90
71,62,172
65,75,169
76,44,0
32,102,148
67,84,290
73,158,247
86,107,435
73,60,104
76,189,63
32,159,248
82,88,111
73,68,62
71,99,60
72,52,49
84,116,133
83,176,207
32,90,312
80,133,268
82,119,153
79,51,342
84,69,0
69,159,470
67,57,350
84,20,163
73,140,166
79,67,33
78,114,147
32,134,180
73,142,530
83,0,86
32,109,0
87,132,340
72,129,203
87,104,247
69,226,82
72,70,339
8,470,614
69,137,630
84,43,1
72,81,131
69,160,107
82,106,123
32,91,220
73,124,0
84,151,190
32,92,46
73,116,139
83,84,133
32,0,36
65,60,171
78,73,62
32,136,157
73,194,720
77,121,213
8,637,482
16,761,881
222,75,108
73,34,230
77,126,0
85,98,442
84,86,240
65,131,197
66,101,148
76,74,47
69,177,46
16,321,119
222,45,67
32,123,0
16,213,635
57,103,108
73,74,439
78,115,275
32,103,98
79,126,403
84,105,123
72,77,130
69,112,131
82,97,115
32,121,87
87,109,184
79,106,32
82,164,209
68,84,228
83,156,120
188,62,441
32,150,310
85,175,282
78,0,236
67,128,150
72,86,120
65,103,180
71,114,98
8,146,610
78,154,60
71,138,177
69,102,206
65,72,121
66,70,405
76,0,243
69,142,20
16,306,427
48,141,163
32,132,97
67,118,422
72,117,118
65,132,135
82,119,226
65,145,803
67,134,113
84,103,207
69,134,173
82,190,198
73,56,175
83,123,0
84,118,91
73,58,233
67,106,97
190,0,0
32,0,165
16,539,13
84,161,396
72,127,287
69,123,209
32,122,172
67,141,318
79,153,93
76,84,112
79,116,84
82,51,38
32,90,321
79,117,216
70,86,81
32,83,144
79,180,292
78,93,126
69,48,80
222,85,87
83,101,150
32,123,309
83,37,81
75,109,111
73,112,241
78,23,131
32,102,132
73,100,610
83,94,98
32,96,174
73,66,160
77,172,324
85,53,145
84,70,161
65,190,254
66,121,267
76,117,117
69,50,95
190,145,164
32,73,673
16,438,1089
84,99,272
72,90,54
69,101,8
32,132,71
67,83,258
79,35,89
78,103,132
8,528,245
85,159,0
78,271,293
84,115,0
82,38,167
89,99,104
32,42,117
79,22,0
70,87,81
32,106,162
79,58,334
78,108,78
69,187,0
222,77,234
83,119,13
32,82,92
66,79,863
73,80,97
82,119,0
84,41,241
72,99,116
32,117,123
73,134,102
83,103,0
32,0,90
73,21,392
77,55,186
85,103,195
84,88,422
65,137,183
66,127,0
76,95,157
69,138,175
190,123,88
32,129,513
16,947,67
84,124,357
72,80,154
79,127,108
83,86,103
8,443,1117
72,32,489
85,32,274
83,110,51
32,34,149
82,179,239
65,123,171
67,136,121
69,142,374
32,64,463
65,86,27
78,101,135
68,131,159
32,68,95
78,133,327
65,159,170
84,176,107
73,98,76
79,99,52
78,80,135
65,105,179
76,107,89
32,138,145
79,129,364
82,130,179
73,93,225
71,112,232
73,64,75
78,129,140
32,132,0
67,116,651
65,119,117
78,206,0
32,88,162
66,132,96
69,102,95
8,719,607
65,122,119
82,0,406
69,35,195
32,96,152
67,121,395
72,0,182
65,67,177
82,56,53
65,34,0
67,144,243
84,146,109
69,74,52
82,95,156
73,117,279
83,141,133
84,173,189
73,41,219
67,120,110
83,159,121
32,121,194
79,142,552
70,107,0
32,105,186
67,105,956
73,97,287
86,101,127
73,75,338
76,172,239
32,90,112
82,92,392
73,74,162
71,71,130
72,92,52
84,35,111
83,214,76
32,126,22
8,0,755
80,97,951
82,130,209
79,126,185
84,130,206
69,111,202
67,127,81
84,94,261
69,82,257
68,69,389
32,126,158
85,76,317
78,0,197
68,93,150
69,105,158
82,55,85
32,119,87
67,163,129
73,163,147
86,96,109
73,98,178
76,176,286
32,124,346
82,72,290
73,71,183
71,94,151
72,103,62
84,116,80
83,134,313
32,108,0
76,86,524
65,104,117
87,106,117
83,90,271
190,125,1085
32,118,173
16,581,146
70,55,327
79,75,36
82,107,0
32,92,0
77,95,474
65,127,135
78,63,160
89,151,50
32,36,171
89,33,214
69,141,61
65,18,231
82,71,178
83,52,311
188,102,36
32,94,0
73,3,525
84,105,0
32,126,229
87,44,297
65,96,201
83,75,39
32,118,160
84,66,240
72,33,166
79,41,277
85,131,149
71,126,358
72,65,174
84,0,230
32,128,303
84,154,936
72,76,164
65,81,69
84,56,149
32,67,52
72,68,0
79,98,127
77,179,82
69,127,181
8,762,497
79,88,353
83,162,197
69,69,363
88,99,477
85,136,177
65,61,130
76,181,71
73,116,464
84,141,70
89,88,388
32,43,309
87,137,1174
65,205,160
83,86,157
32,30,175
84,132,344
72,132,103
69,147,191
32,28,98
80,111,1051
79,0,261
8,1168,568
86,108,652
69,118,86
82,71,199
89,128,130
32,46,0
79,103,315
80,364,95
79,100,434
83,138,163
73,117,370
84,81,121
69,114,275
32,82,174
79,91,554
70,164,90
32,77,108
73,67,628
77,172,168
85,94,373
84,12,85
65,64,159
66,137,438
76,99,189
69,46,136
32,81,161
189,32,452
32,0,37
73,160,168
84,66,150
32,138,149
87,102,220
65,105,217
83,61,129
32,21,173
65,147,211
32,37,130
67,152,180
72,149,67
79,221,154
73,142,176
67,89,578
69,170,86
16,423,102
186,139,612
32,107,0
73,154,195
84,61,134
8,902,751
65,66,151
32,98,0
68,93,286
69,121,227
86,77,352
73,105,188
65,64,252
78,89,269
84,90,168
188,71,0
32,97,102
73,146,0
8,34,146
83,145,259
73,76,32
78,14,172
70,103,178
85,96,90
76,220,242
32,140,217
67,123,214
72,6,192
79,439,154
73,98,30
67,167,267
69,216,240
188,83,800
32,154,266
65,99,159
84,115,16
32,71,116
84,70,349
72,67,226
65,105,133
84,64,0
190,0,19
32,99,25
16,582,297
65,114,243
77,145,199
69,124,30
82,83,62
73,98,186
67,144,114
65,172,178
222,138,231
83,122,15
32,61,109
80,120,469
8,245,503
16,266,935
80,96,605
85,169,75
82,166,89
73,54,194
84,169,196
65,161,217
78,80,195
32,88,110
82,75,221
79,110,158
84,139,164
83,106,224
32,139,73
8,57,364
16,200,574
66,119,310
85,158,399
84,110,159
32,105,0
78,88,200
79,60,167
87,80,137
188,99,0
32,37,155
8,343,397
16,0,1134
87,127,550
73,113,149
84,102,0
72,62,255
32,71,267
69,124,413
86,126,214
69,128,725
82,95,95
89,33,272
32,74,366
78,124,76
69,194,133
87,71,0
32,126,240
83,32,0
84,49,129
85,94,206
68,156,144
89,119,249
32,27,90
84,100,125
72,92,120
65,120,19
84,137,110
32,67,85
67,83,198
79,176,192
77,233,36
69,81,288
83,107,121
32,102,37
79,210,0
85,96,338
84,117,0
188,132,42
32,67,134
72,99,467
79,114,49
87,58,152
69,56,131
86,157,170
69,164,191
82,91,115
188,89,0
32,83,90
84,64,565
72,112,129
69,198,160
32,73,103
69,143,165
86,135,176
73,93,45
68,80,71
69,64,188
78,108,50
67,105,175
69,103,170
32,92,126
69,134,10
77,147,252
69,164,172
82,169,124
71,29,170
69,69,103
78,70,237
67,89,156
69,82,172
83,180,128
32,75,198
84,133,444
72,87,126
65,106,168
84,188,148
32,0,160
72,158,110
79,87,223
77,143,177
79,100,326
83,112,211
69,60,183
88,65,24
85,86,313
65,85,259
76,123,174
73,124,233
84,119,190
89,49,237
32,101,290
73,78,238
83,96,57
32,74,62
78,144,199
79,192,101
32,95,306
