VK,HT,FT
16,329,-1
87,87,751
72,57,130
89,75,314
32,82,120
65,75,414
82,50,356
69,50,165
32,109,89
84,52,190
79,67,0
32,100,120
80,69,89
69,72,120
79,84,102
80,58,177
76,49,107
69,64,279
32,98,179
87,56,59
72,49,101
79,180,308
32,88,133
65,77,267
82,0,275
69,37,166
32,94,125
73,51,190
78,53,349
32,68,127
76,84,370
79,67,160
86,57,180
69,74,194
32,90,102
69,56,478
86,77,544
69,62,0
78,55,74
32,92,136
81,442,363
85,71,668
69,77,6
83,61,233
84,56,118
73,67,161
79,51,162
78,59,240
32,104,96
73,65,553
70,57,383
32,69,105
84,37,111
72,70,103
69,94,177
89,59,127
32,88,139
67,78,682
65,82,0
78,69,25
32,78,111
77,68,600
65,79,37
82,596,0
89,38,0
16,48,447
191,121,108
32,45,178
16,1090,431
87,77,203
72,56,122
89,60,137
32,103,162
73,58,180
83,78,90
32,76,119
84,63,0
72,68,140
73,62,178
83,68,129
32,64,98
73,60,712
83,57,128
32,99,110
69,80,98
86,59,0
69,63,596
78,53,89
32,74,150
67,59,1046
79,62,102
77,0,201
73,67,0
78,50,235
71,57,113
32,74,85
85,58,181
80,57,808
32,81,137
73,63,609
78,49,77
32,125,142
67,69,587
79,71,143
78,45,49
86,64,177
69,72,241
82,58,147
83,75,0
65,77,136
84,72,296
73,53,38
79,69,194
78,58,253
32,100,273
65,63,0
77,55,142
79,7,250
71,63,103
78,56,0
83,39,578
84,53,180
32,75,142
70,61,325
82,64,0
73,70,1056
69,48,94
78,51,237
68,55,188
83,79,347
188,75,439
32,115,116
8,540,914
39,336,888
71,49,439
8,232,986
32,100,375
65,63,0
78,55,135
68,58,106
32,78,99
69,70,0
83,74,187
80,73,369
69,74,124
67,78,744
73,67,574
65,63,206
76,49,48
89,55,294
32,95,148
8,0,405
65,81,307
78,61,208
32,101,171
69,57,5
86,73,0
69,69,375
78,65,293
32,97,177
66,59,591
69,65,220
84,177,189
69,38,153
82,61,384
32,102,122
81,341,47
85,57,38
8,0,386
69,47,270
83,224,173
84,64,224
73,55,81
79,47,124
78,69,283
188,54,1040
32,82,97
80,60,238
79,22,53
76,51,226
73,52,1011
84,55,320
73,55,51
67,71,663
83,62,403
16,0,0
191,157,76
32,83,18
16,611,229
73,74,0
70,55,0
32,64,148
20,510,246
65,65,687
32,104,83
8,656,1037
20,369,722
65,84,727
32,100,104
77,65,543
65,77,322
78,49,141
32,91,208
65,79,1223
78,67,148
68,75,129
32,72,103
65,68,468
32,91,110
87,69,454
79,62,140
77,79,328
69,41,0
78,57,206
32,86,124
8,313,-1
78,61,0
79,60,258
84,69,36
72,62,202
69,74,263
82,63,149
32,92,46
77,53,730
65,66,220
78,54,53
32,79,141
76,46,572
79,75,207
86,70,124
69,59,169
32,94,104
69,64,230
65,72,0
67,63,196
72,53,76
32,37,0
79,58,128
84,0,40
72,60,131
69,48,32
82,41,214
32,88,162
73,59,611
84,137,377
32,75,119
73,51,451
83,78,184
32,82,101
78,61,182
79,53,289
84,0,167
32,79,107
85,65,7
80,65,342
32,89,1
84,53,304
79,58,110
32,81,130
65,53,211
78,51,146
89,77,370
79,48,398
78,57,461
69,114,120
32,86,71
69,61,383
76,107,168
83,114,189
69,54,162
32,75,0
66,75,510
85,62,377
84,72,116
32,80,82
84,59,0
72,74,111
79,205,310
83,36,357
69,79,25
32,84,193
84,61,473
87,75,0
79,67,155
32,81,141
80,69,0
69,69,124
79,80,485
80,49,179
76,66,209
69,70,175
32,97,33
188,123,135
77,80,586
8,713,441
188,46,275
32,105,91
73,62,377
70,66,175
32,89,105
84,78,0
72,67,130
69,51,165
89,55,92
32,57,131
83,56,0
72,51,158
79,123,350
85,60,240
76,67,225
68,53,145
32,99,81
71,64,749
69,72,186
84,130,383
32,70,155
77,70,317
65,75,208
82,282,361
73,63,133
69,113,78
83,208,196
8,801,752
68,47,238
190,92,829
32,88,110
16,527,430
71,52,0
79,63,326
8,0,598
16,692,151
70,79,197
79,94,80
82,74,183
32,89,257
84,81,138
72,75,102
69,94,141
32,70,239
16,627,795
82,331,387
69,49,249
76,64,0
73,55,634
71,100,311
73,58,352
79,58,239
85,57,225
83,37,127
32,88,196
67,76,352
79,76,118
77,95,179
85,70,373
78,56,434
73,53,189
84,49,542
89,72,337
32,99,110
84,55,119
79,56,77
32,94,127
71,61,278
69,76,86
84,151,118
32,80,110
73,55,744
78,57,302
86,74,170
79,65,354
76,21,105
86,76,109
69,74,79
68,92,279
32,92,90
73,61,651
83,76,148
32,95,92
82,76,143
73,67,181
68,92,384
73,56,299
67,58,0
85,61,182
76,48,187
85,65,252
83,70,598
32,67,269
8,164,1233
190,113,888
32,108,77
16,446,482
84,66,409
72,85,188
69,74,159
89,46,90
32,103,143
8,272,527
188,90,397
32,105,149
77,67,916
79,40,283
82,68,122
8,1051,661
82,0,619
65,71,528
76,71,372
73,65,0
84,58,315
89,110,610
32,104,134
83,75,906
72,63,146
79,141,429
85,62,167
76,37,247
68,68,129
32,74,90
78,96,71
69,102,121
86,80,530
69,68,309
82,58,8
32,90,61
66,62,873
69,72,48
32,94,56
82,67,692
69,57,141
71,25,0
85,68,216
76,61,267
65,67,69
84,78,215
69,54,129
68,92,187
32,87,88
79,53,114
82,52,97
32,114,63
80,63,574
85,67,356
83,84,317
72,59,132
69,52,217
68,74,240
32,89,104
79,78,728
78,69,184
32,89,90
84,54,206
79,64,155
32,72,113
65,52,65
32,75,121
67,84,582
69,82,58
82,55,136
84,0,507
65,37,500
73,66,480
78,46,216
32,80,148
71,92,840
82,0,435
79,80,167
85,64,183
80,71,360
190,108,817
32,95,102
16,1036,0
77,83,955
65,73,189
73,68,184
78,58,250
76,12,268
89,48,0
32,85,208
84,68,530
72,64,118
73,59,120
83,79,145
32,75,112
73,66,600
83,77,200
32,82,115
65,63,555
32,90,104
77,62,0
79,19,257
84,52,114
32,84,87
80,65,109
79,62,156
73,59,112
78,53,208
84,48,0
32,96,139
65,69,20
78,48,122
68,62,128
32,78,98
87,60,523
69,80,380
32,87,58
8,381,604
188,96,592
32,73,134
65,75,356
83,81,0
32,74,469
65,58,307
32,68,109
83,58,697
79,82,525
67,56,76
73,71,389
69,51,70
84,12,177
89,92,164
188,62,863
32,76,112
78,60,1201
69,39,117
68,75,238
32,82,117
84,63,145
79,69,109
32,79,135
84,71,0
85,59,312
82,0,517
78,57,105
32,110,138
84,57,638
72,56,67
73,50,423
83,81,127
32,94,101
65,62,0
82,0,173
79,59,139
85,56,222
78,56,335
68,68,0
32,67,81
65,73,0
78,64,142
68,46,149
32,83,96
70,57,44
73,72,0
71,156,208
85,51,277
82,121,213
69,61,230
32,80,109
79,84,884
85,62,236
84,60,102
32,78,82
87,58,840
72,82,87
89,58,158
32,106,140
87,62,241
69,68,109
32,68,134
65,78,0
82,532,88
69,54,88
32,58,78
76,41,415
69,65,330
84,128,269
73,39,315
78,64,211
71,67,110
32,98,95
79,71,198
85,59,232
84,53,131
32,81,87
68,78,104
65,89,484
84,86,390
69,59,51
68,78,293
32,86,89
76,61,383
65,61,238
87,63,62
83,113,309
32,108,0
67,71,329
79,64,101
77,181,207
69,73,154
32,81,106
66,70,462
69,66,83
84,3,417
87,62,312
69,58,184
78,61,386
32,87,154
76,71,453
79,77,146
86,67,156
69,43,225
32,85,107
65,72,451
78,74,121
68,69,137
32,79,96
87,64,13
72,56,68
65,41,130
84,85,245
32,49,124
73,67,33
83,59,133
32,86,115
82,74,737
73,63,363
71,53,138
72,71,124
84,96,182
190,105,672
32,104,97
