VK,HT,FT
16,538,-1
71,55,92
65,110,280
89,122,149
32,108,233
77,82,265
65,129,61
82,148,162
73,70,232
65,84,125
71,116,98
69,126,123
8,299,521
16,461,0
222,46,0
77,84,295
65,100,61
82,583,176
73,100,90
65,59,52
71,167,252
69,127,218
16,323,0
222,65,0
32,55,383
73,127,97
83,68,93
32,75,314
65,135,317
78,132,164
32,153,83
79,42,29
66,61,257
73,5,232
77,19,265
73,126,194
8,0,503
65,64,57
66,139,176
79,75,331
77,129,245
73,60,316
78,131,174
65,214,89
84,98,182
73,56,131
79,129,59
78,99,285
32,121,80
84,97,60
79,41,46
32,42,64
16,369,166
71,99,250
79,120,243
68,133,201
16,0,65
49,135,430
32,35,222
16,655,771
77,68,277
65,96,189
82,226,115
73,154,373
65,149,235
71,117,79
69,108,60
32,101,539
73,133,147
83,88,40
32,97,69
76,121,979
69,122,177
8,41,382
67,181,298
69,97,236
8,215,880
76,174,501
69,95,112
65,142,261
82,141,130
76,100,0
89,156,77
32,153,111
68,90,712
69,85,112
70,125,210
73,32,240
69,69,149
8,560,504
78,102,155
69,100,325
68,84,635
32,71,250
84,83,134
8,0,231
73,84,60
78,144,130
32,147,0
84,123,119
72,89,103
69,145,0
32,61,202
66,66,262
73,101,288
8,1500,423
16,628,1052
66,104,0
73,64,236
71,49,329
8,0,531
66,152,0
76,134,328
69,109,129
32,95,355
65,144,81
83,113,243
32,66,90
65,82,206
32,44,70
85,55,315
78,148,177
73,50,130
79,143,236
78,89,252
32,107,123
66,32,67
84,94,24
8,652,754
69,139,285
84,99,215
87,41,282
69,196,303
78,93,289
32,114,193
65,123,260
32,133,109
77,106,186
65,104,120
78,83,159
32,124,267
65,150,61
78,94,144
68,82,117
32,62,137
65,106,307
32,99,105
87,120,406
79,105,46
69,188,178
8,0,0
77,61,538
69,135,186
78,8,145
190,107,263
32,0,430
16,623,421
71,117,147
8,663,269
13,600,130
16,155,911
71,116,51
79,116,87
68,134,162
79,107,185
32,110,97
8,0,158
32,350,872
77,69,56
65,133,168
68,87,292
69,131,194
32,62,116
16,354,188
65,100,3
68,204,364
65,92,372
77,92,536
32,121,0
65,33,713
78,96,126
68,144,147
32,87,263
16,100,40
86,96,27
69,103,166
8,980,610
16,442,140
69,181,370
86,64,230
190,3,112
8,306,100
69,63,531
190,56,186
32,238,206
16,434,0
78,70,503
79,137,305
84,90,88
32,88,0
16,499,948
65,104,421
68,108,428
65,76,186
77,95,457
32,103,285
65,155,299
78,118,180
68,102,117
32,58,350
16,84,169
83,114,75
84,149,143
69,96,0
