VK,HT,FT
16,11,-1
84,59,91
8,901,724
16,29,883
65,566,55
77,189,227
69,68,92
82,769,962
73,79,170
67,187,145
65,956,690
78,32,729
32,61,161
73,78,137
8,574,253
32,66,140
73,71,135
83,204,393
32,65,125
70,864,911
65,841,532
67,640,768
73,80,155
78,214,797
71,32,855
32,64,152
65,106,373
32,63,142
77,170,37
79,62,167
82,998,181
65,795,409
76,32,889
32,67,135
67,326,800
72,378,531
65,170,933
76,143,123
69,68,138
78,816,41
71,124,69
69,74,101
32,65,156
87,792,643
73,75,169
84,59,179
72,163,368
32,61,155
84,66,166
72,92,797
69,70,108
32,63,158
82,502,418
69,79,121
67,516,732
69,68,105
78,880,584
84,64,184
32,70,117
71,186,439
65,83,853
89,128,722
32,67,171
77,983,106
65,189,963
82,160,281
73,70,174
65,372,420
69,62,102
8,196,721
71,344,482
69,77,144
32,69,145
76,673,114
65,739,841
87,127,223
83,207,95
32,67,166
84,67,90
72,741,979
65,215,246
84,56,161
32,65,157
72,77,239
65,937,222
86,730,467
69,66,144
32,61,131
66,173,604
69,78,108
78,497,947
32,65,116
65,145,95
68,182,453
79,67,115
80,996,347
84,57,125
69,69,117
68,603,679
32,61,142
83,290,36
85,791,948
80,16,326
79,66,99
82,748,315
84,62,131
73,80,141
86,829,304
69,65,131
8,389,508
188,162,278
32,63,160
73,87,176
78,256,48
32,70,127
83,33,143
85,713,34
80,522,685
79,55,193
82,458,496
84,66,115
32,70,150
79,58,186
70,85,910
32,67,162
72,860,476
65,756,897
86,652,47
73,92,179
78,743,494
71,12,839
32,68,147
83,24,163
65,901,611
77,450,943
69,69,100
32,61,138
83,746,645
69,67,140
88,350,784
32,64,131
77,463,686
65,840,472
82,784,95
73,89,137
65,245,205
71,774,141
69,77,84
83,211,260
8,699,44
16,282,312
84,62,159
79,62,171
83,145,183
65,207,161
8,357,456
68,592,132
65,931,415
84,67,112
8,887,838
89,830,540
32,68,125
16,889,377
8,482,293
188,376,669
32,65,160
16,227,578
65,807,252
77,805,104
69,71,138
82,0,759
73,93,150
67,193,760
65,696,99
32,62,130
73,79,162
83,92,107
32,65,158
70,292,762
65,452,567
67,86,334
73,91,175
78,440,787
71,241,882
32,65,126
65,420,140
32,64,166
77,879,980
79,67,145
82,93,486
76,832,166
8,101,967
65,776,376
76,442,86
32,66,130
67,515,86
72,574,308
65,358,178
76,407,425
69,68,106
78,18,627
69,79,138
71,84,942
69,73,104
8,698,285
71,315,923
69,68,141
190,705,582
32,70,172
16,803,556
78,264,349
89,177,411
85,638,653
8,517,701
85,800,503
77,964,689
69,67,105
82,647,495
79,55,107
85,955,529
83,47,902
32,64,151
83,114,801
84,64,151
65,714,728
84,66,169
69,64,82
83,750,673
32,62,166
73,85,138
78,830,296
32,68,171
82,7,295
69,78,104
67,433,940
69,63,109
78,781,908
84,65,129
32,66,151
89,145,258
69,61,94
65,650,263
82,896,39
83,890,893
32,69,124
72,655,755
65,463,314
86,258,674
69,73,118
32,66,149
65,174,706
68,926,813
79,60,101
80,452,896
84,59,137
69,73,83
68,852,87
32,64,135
76,951,636
65,799,493
87,124,909
83,647,264
32,66,159
84,59,169
72,972,259
65,530,420
84,57,96
32,68,133
65,84,760
82,680,58
69,64,131
32,66,173
73,72,178
78,876,854
32,70,135
70,396,639
65,450,558
86,223,908
79,70,148
