VK,HT,FT
175,469,-1
16,695,304
71,724,817
65,530,290
89,62,10
32,130,99
77,340,702
65,410,974
82,834,827
73,567,727
65,526,224
71,96,212
69,562,424
32,63,119
83,110,36
72,127,377
79,111,577
85,480,677
76,479,3
68,546,565
32,125,125
78,733,775
8,643,350
66,197,81
69,812,698
32,110,113
73,828,847
76,750,201
69,633,554
71,763,801
65,764,523
76,502,199
32,110,110
73,47,976
78,389,707
32,132,90
84,540,941
72,549,898
69,724,92
32,130,99
16,857,377
85,787,362
190,535,560
16,616,231
83,358,286
190,142,373
32,131,55
16,922,858
77,748,113
65,365,69
82,797,515
73,419,660
65,970,786
71,759,687
69,518,148
32,33,198
87,816,526
65,893,669
83,333,411
32,96,156
68,623,358
69,790,450
83,80,400
73,722,870
71,867,232
78,870,720
69,6,623
68,397,292
32,132,176
70,117,978
79,340,704
82,24,336
32,137,100
79,469,560
78,608,827
69,143,137
32,143,114
77,753,85
65,47,295
78,522,70
32,127,173
65,853,757
78,90,135
68,415,597
32,150,110
79,260,176
78,192,959
69,59,476
32,152,83
87,826,781
79,278,886
77,420,503
65,622,184
78,706,357
32,125,153
79,731,414
78,218,586
76,301,681
89,629,81
190,734,351
32,128,172
16,536,418
84,208,698
72,749,531
69,146,687
32,110,117
80,575,63
85,268,379
82,452,85
80,303,949
79,13,475
83,779,584
69,590,26
32,139,53
79,318,752
70,925,19
32,110,153
77,374,791
65,843,618
82,191,674
73,187,324
65,521,953
71,480,366
69,925,431
32,110,160
73,303,484
83,326,633
32,100,100
70,858,980
79,960,653
82,7,499
32,130,115
80,45,271
82,103,240
79,374,833
67,336,138
82,557,401
69,826,800
65,116,554
84,608,709
73,926,772
79,325,208
78,495,447
188,6,325
32,124,115
65,348,853
75,413,569
65,857,363
32,120,130
70,20,374
79,227,578
82,666,321
32,144,105
80,260,181
82,964,895
79,125,451
68,514,109
85,894,69
67,920,604
73,630,372
78,846,873
71,26,221
32,144,123
79,178,987
70,946,948
83,37,652
80,285,216
82,364,873
73,70,769
78,913,243
71,553,594
190,600,223
32,110,110
16,403,650
73,950,970
78,440,986
32,71,115
71,348,328
65,662,755
89,678,492
32,114,182
77,72,436
65,448,377
82,76,957
73,593,506
65,701,349
71,601,444
69,714,639
188,5,167
32,136,110
89,979,104
79,93,726
85,496,914
32,128,115
67,820,710
65,326,108
78,980,870
79,949,604
84,313,334
32,126,110
80,18,638
82,950,625
79,560,244
68,174,480
85,74,123
67,189,233
69,919,987
32,101,79
79,347,728
70,521,41
83,500,797
80,105,551
82,498,571
73,961,695
78,692,710
71,663,524
32,102,110
78,548,427
65,905,387
84,258,244
85,329,451
82,310,924
65,454,55
76,270,120
89,237,215
190,180,906
32,137,159
16,728,887
89,970,731
79,266,223
85,642,854
32,99,91
87,32,261
79,527,868
85,527,321
76,524,406
68,85,179
32,129,105
72,632,375
65,571,684
86,996,117
69,64,315
32,144,0
84,634,398
79,316,345
32,99,128
68,564,299
79,525,193
32,136,82
73,250,320
84,720,425
32,162,0
65,738,80
82,260,825
84,501,233
73,618,841
70,551,309
73,234,573
67,462,696
73,68,832
8,834,363
73,659,448
65,136,656
76,941,3
89,674,198
188,462,247
32,141,154
87,697,76
72,739,239
73,457,938
67,205,805
72,268,165
32,115,156
73,365,539
83,247,607
32,137,171
78,117,661
79,669,345
84,505,157
32,142,100
87,723,318
72,573,388
65,346,99
84,152,965
32,87,107
87,20,374
65,761,544
83,602,618
32,83,111
73,974,950
78,180,689
84,539,276
69,440,531
78,102,52
68,32,596
69,966,604
68,923,97
32,106,101
70,598,197
8,683,851
87,417,189
72,873,5
69,135,693
78,370,233
32,130,112
77,344,34
69,398,486
8,329,206
65,877,507
82,329,213
73,218,685
65,101,809
71,115,148
69,340,631
32,137,108
87,718,864
65,696,393
83,603,186
32,110,87
73,412,870
78,184,849
83,708,331
84,415,469
73,599,872
84,85,64
85,703,740
84,582,60
69,271,859
68,544,956
190,124,120
32,154,175
16,278,959
79,827,528
78,643,300
69,324,66
32,104,110
66,501,730
8,694,444
16,96,442
73,851,475
84,321,591
32,158,176
87,692,964
65,135,37
8,239,555
84,792,216
32,160,1
87,315,903
65,120,948
83,461,134
32,137,177
78,279,838
79,933,776
84,259,970
32,138,80
73,606,647
78,784,257
32,101,86
16,185,237
71,61,672
79,3,38
222,40,241
8,394,797
68,467,497
222,345,602
83,865,217
32,110,100
80,333,374
76,386,740
65,75,747
78,612,968
32,131,116
84,342,504
79,478,643
32,101,73
72,574,632
65,809,961
86,817,824
69,876,684
32,89,86
84,295,119
87,998,613
79,805,984
32,130,153
83,66,218
69,227,26
8,128,449
88,800,666
69,630,292
83,132,998
32,126,100
79,99,595
70,649,409
32,130,80
79,145,707
78,617,469
69,275,160
32,110,152
8,866,870
84,128,41
79,405,640
32,139,100
77,964,455
65,636,640
82,376,276
89,244,847
32,91,161
69,349,569
65,171,378
67,347,989
72,60,232
32,142,113
79,267,155
84,159,714
72,947,298
69,812,302
82,762,806
188,434,705
32,91,85
73,878,267
84,479,699
32,110,156
8,671,117
87,259,214
69,704,238
32,162,88
67,131,742
65,676,942
78,542,658
32,105,155
83,263,571
69,492,808
32,117,102
73,5,644
78,139,472
32,144,84
8,302,420
84,389,454
72,863,656
65,319,75
84,350,314
32,104,154
87,508,505
65,103,64
83,694,336
32,42,154
78,928,126
79,485,755
84,511,694
32,130,134
72,867,139
79,355,603
87,508,431
32,101,85
87,383,289
69,112,838
32,55,92
87,895,142
69,455,489
82,388,912
69,377,361
32,53,116
71,32,375
69,950,50
78,176,279
69,735,491
84,427,152
73,351,41
67,909,900
65,587,791
76,584,345
89,467,807
32,155,110
68,279,207
69,315,11
83,331,698
73,777,815
71,980,114
78,338,922
69,812,716
68,137,504
190,784,868
32,138,79
16,86,173
73,6,164
70,751,817
32,124,192
65,220,304
32,100,110
71,725,702
65,265,274
89,260,731
32,155,55
67,308,475
79,776,202
85,657,314
80,221,687
76,958,239
69,767,812
32,139,85
72,187,568
65,400,683
83,832,630
32,137,115
65,117,327
32,56,200
67,564,645
72,290,557
73,218,850
76,491,958
68,218,899
188,90,106
32,137,95
84,495,807
72,566,916
65,366,487
84,783,43
32,110,190
67,716,331
72,19,476
73,300,608
76,353,622
68,469,339
32,137,110
87,591,28
73,179,265
76,17,56
32,65,173
76,899,605
73,605,481
86,918,186
69,708,405
32,95,198
65,326,926
32,98,63
76,975,717
73,41,880
70,523,445
69,759,175
32,39,162
79,981,979
70,725,880
32,127,89
84,140,42
79,380,44
82,884,593
77,683,351
69,813,153
78,847,220
84,323,10
32,107,106
70,368,382
