VK,HT,FT
16,166,-1
77,140,79
65,84,6
82,240,171
73,91,306
65,133,138
71,153,156
69,161,36
32,93,133
73,176,118
83,107,97
32,89,104
65,94,367
32,5,111
83,116,494
79,77,130
67,133,129
73,94,145
69,140,232
84,151,453
65,98,126
76,151,97
32,98,233
73,135,104
78,138,79
83,120,183
84,193,164
73,97,83
84,100,174
85,100,114
84,129,44
73,72,81
79,151,58
78,169,58
32,118,901
87,105,156
72,95,119
73,77,103
67,127,117
72,126,141
32,97,90
69,101,386
78,119,106
83,140,74
85,117,82
82,116,146
69,106,55
32,102,247
83,124,946
84,113,133
65,98,69
66,70,323
73,140,94
76,143,89
73,161,35
84,149,123
89,118,132
190,139,127
32,117,898
16,160,1056
67,199,106
72,129,142
73,96,97
76,5,97
68,120,202
82,169,108
69,105,79
78,140,110
32,120,82
65,111,207
82,144,171
69,212,88
32,111,120
67,98,1226
65,118,99
82,149,110
69,119,69
68,119,215
32,97,188
70,79,347
79,97,98
82,100,140
188,131,477
32,115,109
80,87,381
82,137,45
79,87,113
80,142,90
69,163,341
82,158,90
84,126,296
89,98,139
32,101,7
73,154,1039
83,112,131
32,99,120
80,131,245
65,89,111
83,140,88
69,119,383
68,178,180
32,108,113
79,107,122
78,163,68
8,56,366
16,235,333
80,47,362
69,150,156
79,75,181
80,148,129
76,180,224
69,89,111
32,100,141
80,93,253
82,125,173
79,177,73
86,38,187
73,126,151
68,74,133
69,127,170
32,119,141
83,116,319
85,97,17
80,58,78
79,133,281
82,28,98
84,105,131
32,88,129
70,81,188
79,87,99
82,129,109
32,101,43
69,114,185
65,220,143
67,130,172
72,129,78
32,116,79
79,33,276
84,105,234
72,88,143
69,155,300
82,151,109
188,107,306
32,109,170
67,105,213
72,119,93
73,89,89
76,146,104
68,81,1291
82,161,117
69,178,86
78,109,131
32,49,125
65,57,143
82,197,111
69,160,102
32,109,188
67,139,213
65,109,90
82,163,163
69,147,87
68,128,208
32,109,25
70,61,270
79,79,58
82,37,162
188,193,348
32,98,133
80,93,275
82,136,123
79,168,92
80,150,10
69,152,137
82,120,62
84,138,221
89,108,129
32,94,133
73,99,1048
83,89,131
32,88,92
80,94,183
65,131,181
83,254,207
69,127,120
68,79,189
32,97,113
79,108,106
78,133,61
188,138,340
32,109,137
65,149,129
76,120,98
32,108,120
66,76,255
69,86,181
67,132,265
65,118,99
85,90,76
83,247,110
69,131,237
32,98,120
83,133,485
79,102,110
67,128,295
8,537,494
73,99,145
69,101,148
84,63,247
89,129,95
222,898,68
83,123,108
32,21,200
76,65,169
65,140,131
87,136,159
83,140,121
32,98,160
80,128,265
82,120,124
79,87,76
68,38,133
8,75,373
86,96,299
73,123,214
68,135,125
69,205,163
32,77,87
65,93,137
32,99,125
87,135,167
65,93,100
89,97,140
32,142,114
70,6,91
79,88,75
82,95,215
32,98,6
80,121,291
69,175,126
79,109,350
80,134,232
76,118,87
69,147,141
32,109,87
79,87,125
32,49,1260
8,121,365
84,147,270
79,96,69
32,119,99
69,120,177
83,131,102
84,129,131
65,119,113
66,101,257
76,129,120
73,139,129
83,125,96
72,89,121
32,109,79
84,100,106
72,91,82
65,99,116
84,139,111
32,92,48
8,537,373
84,86,269
79,227,67
32,111,100
74,487,960
79,151,95
73,105,1048
78,89,89
32,118,242
84,77,319
72,119,115
69,155,107
73,109,85
82,123,142
32,107,156
76,169,292
73,129,107
86,100,173
69,154,97
83,161,210
32,101,154
73,130,194
78,140,93
32,127,83
65,108,201
32,101,92
87,108,432
65,102,111
89,123,252
32,110,193
84,100,189
72,88,81
65,99,121
84,109,86
32,100,69
69,152,993
86,79,112
69,115,83
82,143,69
89,107,111
79,68,111
78,119,98
69,109,112
32,73,140
77,140,193
85,109,231
83,134,145
84,133,143
32,106,264
82,104,120
69,161,86
67,125,175
79,119,80
71,110,139
78,120,99
73,102,890
69,141,139
8,65,1183
90,47,708
69,123,395
190,85,893
