VK,HT,FT
16,521,-1
71,84,119
65,107,179
89,49,623
32,95,98
77,121,375
65,119,203
82,89,170
73,130,119
65,115,135
71,89,129
69,102,138
32,86,89
83,115,175
72,123,88
79,110,60
85,118,112
76,142,116
68,95,203
32,67,122
66,880,666
69,99,75
65,113,174
8,197,474
32,94,106
65,120,185
76,147,136
79,114,117
87,363,949
69,86,144
68,96,191
190,359,215
32,78,95
16,433,59
77,965,274
65,113,172
82,116,209
73,149,136
65,106,174
71,87,109
69,101,95
32,92,99
73,143,132
83,106,131
32,89,76
78,136,131
79,104,156
84,91,101
32,78,74
65,114,112
32,80,85
82,114,134
69,91,84
76,146,112
73,129,121
71,90,170
73,144,122
79,115,65
85,102,109
83,118,157
32,78,95
73,119,111
78,129,122
83,100,163
73,150,132
84,86,101
73,135,113
8,147,431
84,93,167
73,128,98
84,95,126
85,101,115
84,85,190
73,124,118
79,112,76
78,107,95
32,68,86
65,105,118
83,110,144
32,70,112
83,113,179
79,101,137
32,84,78
77,678,744
65,116,164
78,111,100
89,970,104
32,85,85
80,104,511
69,85,112
82,121,81
80,770,651
69,100,149
84,86,80
85,105,128
65,116,201
84,84,253
69,95,83
190,475,667
32,78,119
16,390,516
73,124,128
84,93,198
222,70,553
83,114,192
32,78,123
65,108,184
32,74,107
76,154,134
69,89,116
71,90,151
65,110,124
76,132,125
32,69,90
67,102,255
79,104,109
78,122,104
84,96,249
82,101,67
65,116,162
67,107,172
84,94,103
190,9,785
32,87,78
16,383,899
65,103,166
32,76,94
72,123,80
69,104,134
84,81,134
69,100,83
82,104,75
79,111,111
83,102,164
69,98,92
88,534,116
85,105,112
65,111,147
76,153,131
32,80,111
67,115,206
79,111,99
85,113,115
80,774,15
76,132,131
69,91,144
32,83,76
67,115,230
65,103,115
78,138,102
32,77,109
72,107,57
65,105,92
86,684,51
69,104,141
32,85,88
65,104,198
32,72,106
16,686,654
71,88,117
79,101,109
68,90,117
189,290,920
65,118,158
66,540,391
73,130,119
68,95,215
73,123,138
78,119,96
71,89,160
32,69,97
87,931,770
69,83,82
68,98,143
73,120,107
78,129,118
71,82,178
32,75,115
73,128,106
78,140,96
32,89,107
65,111,180
32,92,92
67,121,218
72,118,85
85,111,111
82,96,66
67,98,223
72,109,95
32,72,119
65,108,112
78,111,116
68,96,239
32,57,124
84,91,129
72,109,62
69,92,122
32,90,102
80,234,623
82,89,116
69,97,83
65,105,99
67,105,221
72,111,78
69,104,141
82,102,222
32,72,123
65,106,171
8,264,510
67,103,188
65,107,140
78,138,99
32,92,95
80,689,582
82,119,175
79,108,136
78,126,132
79,104,94
85,104,131
78,139,106
67,99,214
69,97,90
32,91,76
84,90,154
72,109,78
69,103,149
77,101,928
32,91,101
77,590,231
65,115,97
78,114,93
32,79,86
65,101,105
78,115,131
68,89,263
32,64,122
87,195,246
73,134,133
70,83,137
69,88,139
188,429,152
32,95,94
66,456,718
85,101,126
84,93,152
32,79,65
85,105,112
78,111,104
84,87,250
73,146,111
76,146,114
32,72,82
84,93,313
72,108,70
69,104,148
89,983,926
32,79,79
83,99,110
73,120,97
71,80,179
78,117,135
32,77,97
80,693,456
65,117,176
80,38,188
69,105,93
82,122,239
87,590,507
79,105,115
82,100,78
75,355,559
32,72,79
73,127,129
83,117,89
85,110,112
69,85,82
68,86,164
32,71,112
66,450,782
89,900,444
32,86,113
84,97,284
72,111,81
69,101,151
32,77,108
71,80,177
79,112,95
69,99,144
8,201,387
86,369,36
68,85,160
82,91,230
78,119,128
8,123,505
69,81,141
82,91,191
78,115,132
77,588,984
69,82,117
78,134,102
84,88,82
188,672,635
32,91,108
84,88,324
72,112,89
69,96,88
89,878,395
32,87,107
65,115,106
82,115,201
69,100,113
32,87,104
78,128,115
79,102,108
84,86,102
32,78,69
16,949,832
76,153,123
69,102,150
71,92,121
65,104,181
76,124,111
89,241,491
32,95,105
77,197,676
65,106,162
82,115,106
73,127,139
69,103,104
68,90,155
190,921,176
32,85,100
16,733,822
84,90,180
72,111,72
73,152,101
83,100,73
32,76,115
73,131,103
83,107,160
78,113,114
222,96,828
84,81,198
32,82,68
65,112,157
32,82,111
82,104,134
69,86,96
76,141,125
73,141,119
71,81,178
73,131,113
79,111,55
85,101,114
83,111,128
32,77,122
73,133,103
83,116,76
85,117,112
69,85,86
190,838,894
32,85,98
16,800,261
73,127,130
84,93,187
222,165,983
83,117,195
32,69,124
65,116,109
32,80,79
80,180,270
65,113,94
80,515,397
69,91,93
82,117,203
87,83,945
79,102,101
82,111,104
75,378,10
32,88,125
73,147,105
83,109,70
85,112,117
69,87,147
190,304,517
32,84,117
16,864,392
71,88,150
65,120,103
89,77,464
83,109,199
32,77,125
8,214,484
