VK,HT,FT
16,527,-1
73,173,176
32,145,66
68,130,466
79,156,143
78,108,48
222,671,610
84,160,216
32,176,88
8,317,499
16,277,353
71,128,680
65,103,371
89,145,245
32,166,139
16,74,0
77,170,127
65,136,295
82,316,299
79,132,0
8,1160,940
73,99,263
65,141,339
71,100,107
69,167,172
32,141,138
73,174,305
83,136,74
32,128,176
65,140,119
32,143,73
83,145,297
73,115,174
78,239,90
188,121,376
32,152,152
65,133,350
83,136,205
32,158,160
65,145,180
32,116,119
16,30,408
67,108,325
72,85,247
82,149,0
73,109,403
83,127,155
84,133,230
73,138,161
65,126,295
78,138,90
32,159,199
16,358,420
78,128,367
65,129,495
84,497,319
73,157,115
79,138,132
78,195,461
32,138,55
73,125,742
84,136,213
32,106,138
83,103,188
72,95,39
79,0,375
85,139,89
76,151,187
68,120,185
32,128,0
78,121,0
79,129,202
84,142,125
32,174,51
69,173,232
86,98,160
69,160,124
78,125,99
32,146,154
66,135,560
69,42,130
32,166,195
67,142,295
79,183,106
78,128,0
83,180,289
73,189,0
68,128,176
69,213,394
82,154,0
69,137,308
68,175,115
190,121,601
32,206,174
16,300,363
84,80,222
72,144,45
69,168,132
32,109,149
66,124,276
8,0,265
73,137,0
66,0,304
76,241,291
69,133,173
32,152,176
67,124,788
76,132,262
69,119,287
65,139,230
82,214,477
76,166,191
89,120,181
32,142,158
83,143,471
84,124,184
65,119,341
84,0,177
69,139,182
83,147,153
32,144,30
84,106,475
72,125,98
65,142,87
84,150,200
32,188,143
84,121,0
79,98,84
32,138,0
76,125,355
65,149,371
89,112,163
32,152,225
87,123,0
73,155,315
84,112,221
72,125,160
32,154,452
65,146,331
78,129,75
79,169,213
84,152,136
72,109,104
69,193,106
82,159,469
32,160,81
77,112,238
65,135,294
78,134,114
32,141,215
8,268,35
72,115,343
79,83,299
77,177,64
69,144,68
83,123,97
69,91,240
88,916,471
73,172,207
8,44,1082
65,97,356
85,113,101
76,191,329
65,142,167
73,182,313
8,672,700
73,163,0
84,136,365
89,101,101
32,177,141
73,162,340
83,147,326
32,132,141
65,99,254
32,123,115
83,127,311
73,138,120
78,60,221
190,113,978
32,197,195
16,690,91
73,168,95
32,143,300
8,0,599
16,203,201
73,171,135
84,137,253
32,163,140
73,167,351
83,155,298
32,240,193
8,510,924
65,115,299
32,119,131
67,152,470
79,141,102
73,149,422
8,1274,727
72,94,44
73,132,481
79,193,116
8,140,78
79,184,277
73,167,86
67,118,539
69,253,16
32,150,113
84,116,296
79,99,83
32,119,0
66,0,253
69,232,218
32,145,156
72,117,160
79,273,273
77,94,461
69,184,0
83,147,189
69,260,224
88,196,333
85,108,283
65,115,244
76,282,169
188,107,438
32,158,54
37,87,81
8,958,754
79,120,328
39,217,946
65,101,241
78,137,0
68,127,123
32,137,120
73,149,467
84,139,384
32,126,225
72,106,542
65,111,0
83,166,389
32,61,242
66,48,420
69,82,173
78,124,188
32,144,265
80,129,301
82,164,278
79,130,146
86,114,157
69,109,198
78,137,205
32,131,156
84,58,213
73,144,228
77,125,151
69,90,177
32,118,135
65,127,513
78,140,76
68,138,125
32,148,138
84,118,216
73,145,121
77,95,409
69,160,194
32,144,93
65,127,284
32,125,159
8,673,634
71,155,103
65,120,257
73,184,236
78,118,171
32,153,79
66,43,596
89,105,31
32,160,191
71,122,458
79,135,236
68,136,318
32,181,126
67,123,331
8,1118,603
16,602,0
67,113,370
72,153,34
82,166,191
73,129,0
83,148,56
84,107,240
65,129,531
8,1042,873
73,185,13
65,56,276
78,147,39
32,174,202
16,546,486
83,228,0
67,154,253
73,123,111
69,141,149
78,117,154
84,89,226
73,128,187
83,141,57
84,105,165
83,128,404
32,246,88
84,115,149
72,132,51
65,116,114
84,176,190
32,117,88
73,146,668
84,139,0
32,156,135
67,133,473
65,122,293
78,121,398
32,159,58
66,136,298
69,154,193
32,154,168
84,122,57
72,146,46
69,120,169
82,168,231
69,96,209
80,187,258
85,128,319
84,62,272
73,170,200
67,155,113
76,145,203
8,713,235
65,110,379
76,256,208
89,105,374
32,148,87
82,141,0
69,262,200
77,114,0
79,188,324
86,97,324
69,182,211
68,147,321
32,190,144
70,135,745
82,130,273
79,151,283
77,144,23
32,163,151
84,131,378
72,96,82
69,145,149
32,154,155
77,123,395
69,167,349
78,112,174
32,178,144
65,108,273
78,109,175
68,128,113
32,173,86
87,144,251
79,171,10
77,144,198
69,151,137
78,99,217
32,149,148
84,137,179
72,129,65
65,120,69
84,95,119
32,188,127
67,119,388
72,124,120
79,127,208
83,141,406
69,210,360
32,190,219
84,94,0
79,152,114
32,157,210
83,115,683
85,116,172
70,110,347
69,128,290
82,169,148
32,179,24
70,107,341
82,195,519
79,127,317
77,152,68
32,211,174
84,123,424
72,145,61
73,179,0
83,141,43
32,127,84
67,111,505
79,101,82
78,117,0
68,116,243
73,198,475
84,91,0
73,165,171
79,205,154
78,104,232
190,152,529
32,167,164
16,244,387
84,332,354
72,112,181
73,105,0
83,173,143
32,151,131
73,163,0
83,174,105
32,235,180
8,655,887
16,241,336
86,55,349
66,41,545
8,976,427
16,0,13
66,135,181
69,166,176
67,137,345
65,147,341
85,130,353
83,192,382
69,187,300
32,184,63
16,288,330
73,220,114
32,155,199
66,43,756
69,98,205
76,199,463
73,160,30
69,119,268
86,131,330
69,122,82
32,145,94
84,145,368
72,125,144
69,127,89
32,154,214
87,126,114
65,115,240
89,146,469
