VK,HT,FT
16,151,-1
84,166,456
72,100,160
69,136,90
82,182,66
69,0,126
32,160,573
65,96,160
82,75,177
69,112,80
32,112,112
77,177,158
65,111,84
78,140,89
89,104,232
32,85,106
80,81,569
69,130,159
79,87,71
80,177,106
76,200,184
69,113,90
32,90,283
84,9,116
72,104,120
65,162,88
84,100,65
32,121,81
79,120,120
80,109,269
79,135,301
83,80,136
69,105,181
32,110,484
71,97,357
65,108,47
89,79,161
32,87,112
77,71,221
65,107,29
82,288,225
73,121,289
65,137,473
71,120,95
69,72,115
32,72,94
66,102,258
69,143,137
67,100,228
65,143,49
85,120,100
83,79,96
69,136,71
32,94,874
84,105,153
72,75,79
69,104,151
89,64,172
32,113,88
86,95,519
73,102,208
69,64,127
87,74,129
32,146,105
77,80,152
65,128,80
82,127,204
73,104,634
65,149,168
71,175,396
69,119,195
32,111,72
65,90,7
83,100,90
32,139,128
65,152,81
32,64,109
83,63,669
65,128,224
67,238,164
82,114,301
69,100,203
68,159,162
32,30,439
66,88,238
79,57,124
78,124,81
68,63,170
32,112,191
83,8,86
84,127,141
82,80,183
73,169,132
67,128,175
76,157,70
89,89,202
32,131,102
66,108,457
69,115,71
84,100,648
87,45,516
69,224,209
78,160,241
32,84,117
65,143,178
32,150,85
77,144,54
65,113,85
78,152,148
32,151,81
65,72,125
78,120,121
68,113,195
32,77,80
65,104,120
32,123,120
87,82,203
79,82,115
77,86,120
65,114,128
78,104,79
32,87,139
84,135,238
72,64,109
65,31,74
84,148,79
32,146,70
83,102,128
73,171,173
71,86,118
78,135,112
73,109,101
70,11,174
73,136,44
69,80,64
83,143,224
32,95,240
69,86,306
84,103,110
69,119,586
82,160,48
78,213,156
65,135,80
76,71,68
32,136,240
76,83,122
79,136,144
86,79,115
69,138,64
190,51,111
32,95,226
16,1089,151
71,120,3
65,82,126
89,159,211
32,95,233
77,71,617
73,155,168
8,93,891
65,116,75
82,287,90
73,127,329
65,88,240
71,120,104
69,119,136
32,120,40
65,134,112
76,247,58
83,75,81
79,58,76
32,16,78
83,155,112
73,150,112
71,104,103
78,155,76
73,79,141
70,105,88
73,163,112
69,136,80
83,97,122
32,127,162
84,94,141
72,100,78
69,115,147
32,103,84
83,104,137
65,134,135
77,124,139
69,66,123
32,81,80
84,88,209
72,108,144
73,139,100
78,104,198
71,111,106
32,111,186
84,103,95
72,94,87
79,143,88
85,96,104
71,53,70
72,67,97
190,64,268
32,96,233
84,95,160
16,156,152
73,96,176
84,47,399
32,133,89
73,72,151
83,78,89
32,114,123
65,119,145
32,78,96
83,148,181
89,37,118
77,121,124
66,62,424
79,140,93
76,136,185
32,95,60
79,114,172
70,80,145
32,76,149
69,100,40
84,95,21
69,172,108
78,76,83
8,235,510
82,211,125
78,65,446
65,88,260
76,79,112
32,87,263
76,26,144
79,63,224
86,103,104
69,106,96
32,122,76
66,97,165
69,150,117
84,125,158
87,128,144
69,249,48
78,136,280
32,155,128
84,55,84
87,110,157
79,79,102
32,107,67
80,127,229
69,120,181
79,110,111
80,149,7
76,68,90
69,163,34
188,74,200
32,94,219
65,91,198
78,88,159
68,88,79
32,119,97
73,117,102
84,98,69
32,80,111
72,82,139
65,160,85
83,37,39
32,39,93
78,162,118
79,173,146
32,19,251
67,112,211
79,96,47
78,70,26
83,122,16
69,79,128
81,112,240
85,155,94
69,159,85
78,64,304
86,120,158
69,160,101
32,99,120
8,208,292
67,88,112
69,198,193
32,111,94
79,135,90
78,177,111
32,160,141
84,67,80
72,105,98
69,143,137
32,5,83
76,52,113
73,8,68
86,108,125
69,120,101
83,107,217
32,70,390
79,124,152
70,101,98
32,84,170
84,84,92
72,128,87
69,60,94
32,71,281
80,95,131
69,10,29
80,75,112
8,172,459
79,88,992
80,110,148
76,70,106
69,125,153
32,80,159
84,86,223
72,66,251
65,180,86
84,65,104
32,133,567
79,90,304
80,91,165
79,121,330
83,149,183
69,86,126
32,111,106
73,102,145
84,94,215
190,96,968
32,104,166
16,248,144
73,74,319
78,74,147
32,65,117
70,65,91
65,90,72
67,109,152
84,109,385
188,41,113
32,96,107
73,96,210
84,86,134
32,134,85
72,72,39
65,20,110
83,142,5
32,142,80
84,70,91
72,104,150
69,112,15
32,84,101
83,57,187
65,117,58
77,79,351
69,63,110
32,89,18
65,142,117
77,105,124
79,160,62
85,160,95
78,108,172
84,63,2
32,120,320
79,58,305
70,116,62
32,57,81
67,87,376
79,117,112
78,101,97
83,125,264
69,86,139
81,80,349
85,73,90
69,71,104
78,71,152
67,72,93
69,95,358
32,158,176
65,104,78
83,30,96
32,75,104
65,152,121
32,144,120
78,80,100
79,81,185
82,108,93
77,56,134
65,83,192
76,100,122
32,101,295
77,98,281
65,124,143
82,240,207
73,66,324
8,693,448
82,102,211
73,101,467
65,152,62
71,64,152
69,110,80
190,100,244
32,297,72
16,212,251
78,101,82
69,152,271
73,136,65
84,59,220
72,138,61
69,111,119
82,80,69
32,120,90
79,49,155
70,46,142
32,108,969
84,124,298
72,96,88
69,96,279
77,85,95
32,1,198
68,64,223
82,146,475
65,116,88
83,88,80
84,203,272
73,134,140
67,97,125
65,128,196
76,233,103
89,63,477
32,96,149
67,78,152
72,63,286
65,133,53
78,11,963
71,129,78
69,80,140
32,70,82
84,91,106
72,88,34
69,128,88
32,128,166
76,103,699
73,96,181
86,76,122
69,154,128
83,75,143
32,126,146
79,95,708
70,79,133
32,120,191
84,122,119
72,96,71
69,16,79
32,96,130
80,88,169
