VK,HT,FT
16,394,-1
71,126,206
65,132,220
82,109,142
8,664,320
89,78,435
32,91,155
77,104,239
65,113,125
82,300,176
73,98,324
65,108,148
71,90,152
69,93,193
32,118,198
73,88,215
83,125,90
32,111,109
65,124,233
32,103,122
72,96,395
85,90,208
77,80,186
65,116,133
78,107,117
32,112,58
8,373,553
67,113,327
73,83,194
86,92,180
73,107,93
76,90,173
32,97,128
82,110,285
73,82,123
71,77,123
72,84,127
84,103,97
32,111,143
8,305,651
83,96,304
32,100,145
73,93,319
83,109,135
85,87,275
69,89,111
190,94,383
32,152,326
16,234,360
66,85,147
89,118,242
32,94,119
76,124,181
65,117,123
87,85,309
188,123,239
32,115,95
67,114,392
79,117,129
85,103,101
80,135,214
76,123,183
69,101,175
83,127,156
32,128,128
87,109,369
72,82,174
79,106,209
32,117,127
65,86,156
82,143,144
69,128,141
32,119,184
77,104,218
65,108,108
82,224,154
73,99,301
69,96,112
68,116,183
32,120,116
72,98,208
65,119,112
86,88,162
69,104,127
32,125,136
83,106,227
79,97,110
32,90,178
77,77,245
65,97,104
78,104,125
89,94,301
32,97,210
76,93,177
69,81,185
71,80,207
65,115,139
76,103,182
32,101,253
82,124,287
73,103,129
71,83,107
72,94,104
84,100,103
83,113,205
32,109,102
84,82,123
72,74,79
65,104,66
84,114,118
32,83,143
65,102,206
82,96,143
69,119,125
32,90,80
68,89,135
69,120,218
78,95,205
73,105,236
69,85,180
68,92,191
32,120,110
84,112,143
79,113,84
32,112,261
67,94,206
79,96,103
77,164,180
73,98,309
84,105,243
69,118,125
68,94,208
32,128,216
71,91,348
65,129,151
89,110,101
32,87,128
67,116,185
79,117,90
85,120,94
80,125,152
76,115,136
69,98,176
83,110,216
190,121,364
32,131,281
16,235,221
70,106,225
82,91,149
79,122,167
77,98,153
32,94,111
84,129,248
65,123,170
88,121,235
69,114,264
83,152,246
188,109,179
32,98,147
84,89,183
79,106,149
32,106,102
73,89,246
78,98,137
83,86,220
85,91,129
82,114,135
65,111,209
78,103,127
67,87,219
69,88,168
188,95,136
32,94,96
84,92,268
79,106,126
32,119,110
86,111,303
65,109,124
76,111,133
73,92,109
68,89,109
73,101,167
84,95,308
89,117,119
