VK,HT,FT
16,164,-1
71,143,23
65,137,190
82,153,134
8,129,1079
89,102,165
32,134,127
77,117,220
65,152,99
82,316,140
73,105,280
65,173,138
71,97,26
69,157,128
32,93,101
73,93,124
83,162,129
32,144,185
65,147,148
32,149,131
72,106,112
85,90,311
77,115,166
65,145,112
78,120,95
32,155,101
8,769,378
67,149,219
73,144,159
86,153,158
73,118,112
76,151,170
32,137,111
82,140,335
73,88,88
71,85,159
72,29,108
84,105,120
32,120,109
8,1500,664
83,161,135
32,119,114
73,114,162
83,162,127
85,83,183
69,148,158
190,134,144
32,138,103
16,198,212
66,115,289
89,106,155
32,149,127
76,123,142
65,161,220
87,169,142
188,150,104
32,147,78
67,129,433
79,88,89
85,127,245
80,100,382
76,236,174
69,187,140
83,173,128
32,114,107
87,189,213
72,106,99
79,87,183
32,112,128
65,190,178
82,102,140
69,178,89
32,126,113
77,127,374
65,81,99
82,304,144
73,107,338
69,125,126
68,146,230
32,121,65
72,99,109
65,128,108
86,107,205
69,185,194
32,116,110
83,128,194
79,154,133
32,131,92
77,112,267
65,152,115
78,143,124
89,136,155
32,156,119
76,83,295
69,175,131
71,151,161
65,172,239
76,110,111
32,156,111
82,147,189
73,97,104
71,85,161
72,91,32
84,46,136
83,179,222
32,129,123
84,132,130
72,96,113
65,183,190
84,60,301
32,138,115
65,142,173
82,94,140
69,185,123
32,121,115
68,140,447
69,136,212
78,119,142
73,100,120
69,173,91
68,177,283
32,73,91
84,148,333
79,94,150
32,146,104
67,151,434
79,90,85
77,180,128
73,96,678
84,165,270
69,175,660
68,144,230
32,115,97
71,112,48
65,173,228
89,113,149
32,144,307
67,133,481
79,67,98
85,144,108
80,162,133
76,202,193
69,153,104
83,173,105
190,88,192
32,116,100
16,118,172
70,65,169
82,134,131
79,128,145
77,143,230
32,149,140
84,81,130
65,161,182
88,15,844
69,166,103
83,212,132
188,125,179
32,129,89
84,114,193
79,101,129
32,142,118
73,110,135
78,132,215
83,141,196
85,133,232
82,256,140
65,169,152
78,128,138
67,147,347
69,163,120
188,122,276
32,146,89
84,106,152
79,116,136
32,148,104
86,175,210
65,148,363
76,85,157
73,101,202
68,126,240
73,179,216
84,135,121
89,112,199
32,114,167
73,111,373
78,74,215
32,105,29
84,92,175
72,81,131
69,173,104
32,126,128
69,171,144
89,144,155
69,160,165
83,212,124
32,120,99
79,108,422
70,150,140
32,144,162
83,142,280
79,114,144
67,164,435
73,144,228
69,179,164
84,125,196
89,112,350
188,125,187
32,146,93
80,203,342
69,182,216
79,177,158
80,148,109
76,142,171
69,161,98
32,145,108
87,157,362
72,94,110
79,105,178
32,110,116
65,205,147
82,119,120
69,174,85
32,135,121
71,137,123
65,43,204
89,121,203
32,48,114
65,161,176
82,128,148
69,195,87
32,136,107
70,129,181
79,108,107
82,114,92
67,183,302
69,203,190
68,157,297
32,102,106
84,129,196
79,125,147
32,149,117
76,85,210
73,120,176
86,107,430
69,190,165
32,128,91
84,122,175
8,1500,750
76,114,161
73,107,184
75,494,939
69,139,116
32,135,79
83,129,156
69,203,144
67,115,317
79,100,66
78,132,160
68,158,148
173,124,731
67,103,198
76,234,167
65,176,275
83,258,92
32,149,103
67,65,975
73,47,130
84,125,143
73,176,124
90,669,657
69,176,182
78,123,64
83,139,159
32,147,121
87,192,253
72,92,325
79,102,118
32,146,104
65,131,150
82,137,152
69,173,111
32,122,108
68,143,199
69,155,212
78,116,58
73,98,149
69,174,134
68,155,53
32,124,65
84,120,130
72,102,112
69,164,107
32,136,103
77,135,260
79,97,94
83,131,107
84,104,170
32,129,118
66,109,159
65,161,113
83,370,231
73,138,45
67,162,279
32,152,131
82,121,469
73,87,108
71,102,131
72,95,23
84,128,112
32,130,115
79,86,385
70,169,108
32,129,130
77,118,244
65,69,112
82,283,155
73,102,339
65,164,140
71,91,154
8,121,373
89,114,358
73,97,177
78,131,89
71,148,116
32,161,103
84,87,126
72,99,130
69,148,120
32,161,37
80,114,526
69,165,113
82,150,137
83,162,309
79,153,116
78,149,168
32,152,105
84,116,170
72,88,130
69,160,104
89,112,222
32,143,119
76,105,249
79,99,116
86,111,110
69,185,193
190,90,86
13,254,766
16,203,375
77,108,165
65,136,99
82,336,156
73,80,330
65,129,132
71,98,185
69,181,166
32,134,107
73,125,124
83,160,132
32,147,86
65,161,102
78,110,123
32,155,98
65,120,182
71,97,182
82,126,128
69,231,84
77,108,180
69,166,116
78,116,140
84,133,178
32,119,114
66,140,241
69,139,103
84,142,178
87,190,303
69,147,121
78,126,255
32,159,176
84,90,150
87,157,178
79,154,414
32,143,116
80,105,135
69,164,118
79,180,155
80,135,133
76,236,172
69,189,131
188,125,329
32,133,113
65,154,171
78,110,128
68,185,152
32,135,95
73,83,548
84,164,151
32,129,89
68,48,22
79,126,154
69,182,251
83,173,85
78,156,152
222,166,118
84,93,97
32,134,116
72,90,121
65,128,135
82,274,131
77,116,202
32,139,118
65,147,212
78,110,108
89,116,278
77,106,214
79,125,93
8,355,769
79,83,111
78,120,197
69,173,100
32,161,78
69,179,192
76,196,222
83,113,160
69,170,125
32,160,131
73,126,133
70,168,466
32,136,100
84,108,167
87,196,254
79,88,258
32,126,143
80,93,337
69,130,110
79,180,139
80,105,92
76,64,199
69,164,131
32,169,108
79,110,163
70,140,106
32,134,118
84,87,274
72,89,105
69,148,108
32,111,109
83,129,392
65,152,108
77,106,200
69,152,168
32,134,130
83,172,286
69,201,136
88,351,351
32,144,103
67,65,40
72,87,110
79,76,162
83,170,101
69,181,132
32,128,122
84,123,227
79,92,114
32,142,109
65,147,118
71,90,159
82,363,483
69,193,84
32,66,121
66,163,277
8,776,427
84,129,80
79,92,140
32,182,108
66,91,43
69,177,539
32,135,79
73,93,116
78,138,169
32,144,78
84,101,278
72,91,89
65,206,235
84,149,140
32,110,62
75,603,584
73,146,546
78,151,196
68,146,156
32,128,95
79,98,118
70,169,125
32,134,118
76,125,159
79,179,303
86,177,53
73,159,216
78,119,177
71,147,117
188,136,149
32,150,89
67,156,310
79,98,98
77,247,91
73,125,146
84,163,177
69,169,145
68,153,56
32,123,92
82,141,329
69,155,84
76,106,222
65,144,363
84,167,365
73,152,25
79,130,106
78,192,162
83,138,128
72,95,125
73,112,104
80,115,190
190,94,144
32,171,123
16,161,241
73,112,284
84,105,202
32,136,112
67,129,281
65,159,253
78,100,99
32,155,155
79,130,255
78,132,165
76,105,168
89,47,111
32,115,174
66,106,152
69,180,145
78,110,116
69,161,100
70,174,104
73,96,130
84,129,38
32,98,111
69,184,152
86,127,273
69,152,234
82,36,37
89,123,164
79,126,121
78,134,153
69,161,129
190,111,334
8,94,365
190,138,314
13,680,23
8,407,1162
13,511,386
16,248,588
71,115,166
65,187,290
89,118,147
32,142,112
77,135,261
65,158,96
82,315,158
73,51,337
65,90,149
71,97,188
69,176,165
32,170,98
73,115,84
78,111,228
32,143,47
84,108,163
72,90,128
69,160,126
32,49,104
78,110,179
69,161,100
88,393,889
84,151,556
32,110,23
83,144,523
84,170,135
69,177,121
80,149,111
32,160,131
73,121,127
78,119,221
32,146,117
79,111,978
85,128,128
82,227,126
32,137,117
67,148,434
73,142,160
86,101,276
73,35,112
76,113,119
73,121,218
90,137,297
65,171,155
84,139,116
73,152,149
79,136,91
78,190,160
83,105,184
32,156,101
67,44,464
82,163,141
85,128,317
83,156,344
65,171,192
68,147,294
69,166,206
32,134,121
70,98,173
79,123,133
82,148,125
32,99,88
67,129,323
73,150,138
76,152,271
8,779,357
86,105,208
73,159,215
76,143,179
8,93,1259
66,106,878
65,149,221
83,273,266
73,55,172
67,157,434
32,144,119
72,91,55
85,128,118
77,114,204
65,174,122
78,98,34
32,134,158
82,124,334
73,33,114
71,87,195
72,105,109
84,119,123
83,177,398
32,131,98
70,92,235
79,141,274
82,126,124
32,116,58
65,138,773
76,152,131
190,95,186
