VK,HT,FT
16,192,-1
71,111,229
65,113,138
89,21,609
32,110,112
77,650,819
65,111,135
82,153,91
8,512,412
16,177,173
77,13,545
65,112,206
82,144,76
73,113,318
65,114,206
71,120,225
69,120,106
32,96,112
73,102,364
83,101,143
32,110,146
65,119,125
66,88,147
79,95,235
85,114,75
84,131,146
32,115,135
79,115,139
78,111,192
69,129,95
32,107,103
84,147,109
72,100,85
73,108,329
78,118,170
71,118,186
32,120,116
65,124,150
78,93,80
68,110,97
32,102,112
79,112,169
78,102,143
69,121,71
32,121,120
84,135,137
72,105,88
73,132,286
78,104,177
71,128,318
83,102,112
32,99,124
65,131,93
76,104,284
79,95,154
78,140,104
8,206,334
32,101,126
65,110,152
76,115,306
79,119,121
78,117,92
69,103,85
190,916,44
32,116,105
16,171,114
77,629,516
65,112,120
82,182,71
73,134,297
65,125,90
71,128,438
69,120,84
32,111,116
73,132,248
83,108,96
32,99,148
65,120,115
66,84,139
79,106,112
85,110,77
84,111,170
32,115,132
84,129,95
72,106,100
69,120,71
32,118,114
76,97,375
79,97,137
86,439,586
69,112,83
32,114,126
79,110,241
70,394,491
32,108,103
84,151,91
87,411,275
79,96,156
32,121,161
80,786,613
69,126,97
79,110,127
80,811,626
76,102,201
69,101,116
190,60,454
32,117,101
16,179,299
73,139,115
70,789,200
32,107,117
84,139,129
87,138,182
79,112,138
32,100,127
80,871,281
69,118,108
79,94,236
80,34,107
76,112,289
69,106,119
32,108,119
65,109,206
82,147,111
69,100,101
32,97,107
73,119,387
78,114,172
32,123,102
76,109,224
79,116,239
86,422,360
69,115,89
188,291,669
32,112,150
87,170,845
72,102,79
79,104,148
32,96,144
73,140,245
83,104,120
32,97,152
81,326,902
85,99,78
76,94,227
65,129,143
8,398,467
65,129,168
76,99,173
73,130,355
70,324,754
73,120,200
69,94,93
8,210,412
82,150,167
8,302,489
32,108,117
82,146,91
73,109,307
71,106,238
72,114,84
84,128,120
32,102,106
84,124,128
79,120,120
32,95,164
8,162,428
81,847,512
85,92,108
65,107,167
8,427,522
16,180,130
78,141,114
79,100,183
32,115,165
79,118,202
78,109,165
69,124,136
32,106,107
79,101,241
85,103,104
84,126,119
83,103,139
73,126,245
68,109,101
69,109,122
32,105,103
79,106,226
70,845,674
32,102,92
84,142,109
72,105,76
79,100,196
83,128,101
69,97,62
32,111,107
84,126,122
87,210,126
79,104,228
32,122,112
80,915,961
69,121,76
79,117,97
80,219,371
76,115,377
69,94,123
32,106,105
67,845,724
65,117,138
78,99,85
32,124,92
75,702,539
78,142,92
79,118,199
87,649,917
32,101,100
8,349,453
84,137,149
72,108,81
65,120,160
84,133,171
8,396,449
16,165,403
78,134,148
79,103,104
32,116,153
72,96,81
8,203,519
79,96,180
78,106,179
69,121,66
32,121,118
72,106,97
65,117,201
83,112,76
32,107,121
84,140,92
72,105,83
69,113,70
32,104,125
82,115,126
73,126,191
71,103,262
72,103,82
84,113,167
32,122,163
79,117,95
82,140,166
32,101,120
83,128,153
72,99,87
79,105,239
85,102,129
76,112,243
68,108,94
32,102,114
68,119,95
8,177,439
65,129,116
83,107,82
85,116,88
77,314,145
69,123,71
32,103,118
84,147,87
72,93,88
69,108,71
32,110,107
82,157,139
73,141,275
71,118,394
72,111,76
84,117,102
32,107,127
84,137,75
79,98,192
32,109,100
68,119,98
69,120,120
84,122,103
69,129,133
82,173,111
77,873,552
73,110,305
78,141,118
69,104,68
32,108,122
84,139,114
72,90,90
65,131,169
84,112,174
32,111,145
65,130,102
78,93,92
79,102,171
84,135,125
72,108,78
69,117,77
82,150,93
222,900,396
83,122,103
