VK,HT,FT
16,321,-1
69,122,197
86,725,441
69,117,144
82,93,223
32,104,141
83,102,151
73,97,191
78,103,265
67,113,172
69,125,169
32,106,175
16,342,295
73,87,184
32,105,202
87,104,133
65,116,364
83,117,193
32,104,154
66,529,565
79,90,153
82,94,237
78,107,182
188,111,183
32,105,212
16,351,247
73,90,187
32,104,152
87,104,141
65,110,371
83,110,169
32,104,147
82,107,223
65,112,204
73,93,166
83,94,187
69,113,183
68,129,156
32,103,193
79,92,152
78,108,217
32,106,191
83,105,153
84,111,226
82,97,161
79,102,186
78,106,141
71,35,441
188,108,169
32,106,209
16,382,225
67,104,225
72,103,149
82,99,221
73,94,168
83,107,150
84,117,228
73,105,159
65,108,297
78,108,152
32,105,195
66,367,31
8,135,413
86,622,69
65,104,387
76,157,176
85,89,209
69,115,182
83,103,162
188,106,220
32,104,219
74,828,475
85,96,197
83,93,166
84,125,236
32,109,158
65,105,486
83,109,199
32,105,130
84,94,241
72,95,161
73,90,170
83,106,148
32,105,134
67,115,191
79,90,161
85,86,221
78,104,124
84,97,292
82,104,166
89,756,393
32,107,179
84,95,296
72,100,167
65,105,177
84,98,253
32,103,187
87,104,128
69,122,175
32,104,130
65,110,534
76,144,160
32,105,138
76,113,150
73,96,179
86,962,878
69,101,190
32,105,156
73,92,182
78,106,146
32,108,214
87,103,145
65,108,150
83,116,156
190,564,792
16,636,270
32,106,204
69,100,153
86,921,558
69,125,169
82,115,194
89,219,209
32,106,205
16,344,215
83,99,163
85,88,199
78,105,230
68,109,164
65,117,238
89,685,353
188,112,205
32,107,212
16,356,222
73,94,185
32,103,194
87,104,155
79,101,161
85,93,263
76,118,165
68,122,168
32,108,184
71,514,733
79,104,150
32,108,189
84,94,264
79,100,174
32,105,175
67,115,201
72,105,179
85,87,226
82,120,221
67,116,188
72,98,173
190,951,104
32,107,201
16,331,244
69,88,174
86,983,737
69,114,182
82,95,212
89,702,172
32,103,162
78,111,166
73,98,168
71,562,545
72,104,148
84,105,215
188,104,180
32,106,212
16,332,278
73,89,160
32,107,204
87,104,143
79,89,185
85,84,253
76,109,171
68,107,182
32,108,154
83,105,173
65,115,341
89,67,602
32,106,144
77,390,803
89,519,896
32,109,186
66,115,136
69,108,186
68,116,150
32,108,140
84,103,200
73,91,169
77,829,723
69,83,161
32,104,172
80,36,460
82,118,179
65,113,255
89,385,829
69,92,151
82,115,190
83,95,158
190,352,281
32,109,155
16,377,291
73,91,162
32,102,202
87,104,151
65,103,328
83,115,162
32,104,129
83,106,167
85,87,217
82,98,155
79,86,185
85,81,194
78,103,135
68,120,162
69,99,166
68,120,174
32,105,169
66,320,398
89,981,128
32,104,152
71,854,194
79,104,157
68,108,162
32,107,181
80,957,703
69,89,169
79,94,166
80,505,271
76,156,149
69,107,148
32,104,130
68,115,157
65,115,223
89,611,860
32,107,205
73,93,176
78,111,242
188,109,185
32,105,201
65,116,636
78,104,260
68,129,169
32,108,144
68,120,169
65,120,236
89,170,900
32,109,166
79,86,178
85,85,196
84,110,165
190,763,717
32,105,139
16,333,212
65,102,164
76,107,145
84,110,245
72,105,181
79,91,152
85,92,203
71,7,242
72,98,176
16,659,290
32,103,170
73,101,162
32,109,198
75,500,547
78,105,228
79,96,149
87,94,161
32,103,196
73,101,191
84,115,179
32,109,163
83,95,148
79,86,151
85,96,230
78,103,167
68,118,176
83,103,150
32,105,154
84,88,179
82,107,227
73,92,160
84,96,172
69,118,164
188,112,183
32,105,203
84,96,200
72,100,185
69,123,163
32,104,168
16,365,243
66,861,129
73,95,184
66,394,292
76,118,147
69,121,157
32,104,165
73,100,186
84,104,290
83,105,150
69,98,151
76,102,151
68,104,153
70,936,51
8,826,589
70,417,681
32,109,145
68,102,176
69,91,171
70,620,238
73,93,189
78,107,134
69,120,163
83,103,147
32,105,158
77,721,620
65,119,226
82,127,241
73,89,173
65,105,242
71,675,478
69,83,166
32,104,131
65,115,610
83,106,176
32,104,161
65,111,444
32,108,203
85,94,207
78,102,165
73,88,171
79,103,186
78,104,178
32,108,214
66,901,966
69,100,177
84,95,310
87,96,125
69,125,186
78,106,209
32,106,192
79,96,157
78,105,174
69,96,150
32,104,171
77,35,425
65,120,348
78,108,226
188,108,191
8,542,440
188,113,223
32,104,228
65,113,375
78,105,187
68,105,172
32,105,194
79,103,182
78,107,177
69,115,175
32,105,151
87,104,128
79,89,149
77,358,623
65,104,192
78,108,236
190,378,990
32,104,192
16,396,271
84,113,187
72,100,155
69,110,181
82,118,179
69,83,152
32,105,175
65,120,372
82,98,158
69,113,147
32,105,124
79,97,138
84,96,168
72,95,150
69,119,188
82,106,197
32,104,197
82,94,186
69,124,176
65,108,306
83,117,201
79,99,182
