VK,HT,FT
16,419,-1
73,117,167
32,129,316
65,140,268
77,142,160
32,114,191
78,138,23
79,143,179
84,127,247
32,107,171
65,182,205
71,113,235
65,186,164
73,119,317
78,138,281
83,211,644
84,141,155
32,139,192
71,96,450
65,168,187
89,127,93
32,49,195
80,132,277
69,180,219
79,127,175
80,134,262
76,154,662
69,137,134
190,152,478
32,120,240
16,615,1023
73,119,167
32,141,167
65,163,1069
77,71,262
32,120,215
78,113,283
79,133,188
32,136,441
8,1167,613
78,131,203
79,133,225
32,130,162
79,127,176
78,88,219
69,134,176
32,117,221
73,121,24
77,141,192
80,111,209
79,115,251
82,137,229
84,108,226
65,165,141
78,153,292
84,119,372
32,60,186
65,166,198
78,120,180
68,57,174
32,117,154
16,290,264
73,55,201
32,138,313
68,129,234
79,162,415
32,115,194
78,123,512
79,120,179
84,38,116
32,79,702
72,154,548
65,157,195
86,111,251
69,223,176
32,150,221
84,110,210
72,123,143
69,166,166
32,112,181
82,39,385
73,124,197
71,154,658
72,103,165
84,128,158
32,103,153
84,112,186
79,121,139
32,134,278
84,147,177
69,277,257
76,151,20
32,117,213
84,147,156
72,119,144
69,135,167
77,254,391
32,140,186
84,162,214
72,106,173
69,173,143
89,110,193
32,103,176
65,273,183
82,120,188
69,187,129
32,122,259
87,134,724
82,119,249
79,139,151
78,122,304
71,112,437
190,168,394
32,119,207
16,297,580
73,118,122
32,187,165
65,140,906
77,130,157
32,133,173
72,122,544
80,68,191
8,127,741
79,113,779
87,175,694
86,114,353
69,157,162
82,156,184
32,49,191
65,159,650
71,116,213
73,100,408
78,150,250
83,172,249
84,139,212
32,129,191
71,55,264
65,198,208
89,128,317
32,108,169
65,140,164
8,428,164
69,157,281
86,111,272
69,160,215
82,163,162
32,118,225
65,197,172
71,115,305
65,172,198
73,114,203
78,153,291
83,123,131
84,108,232
32,161,370
71,127,338
65,160,142
89,129,154
32,40,169
78,103,241
77,110,312
8,51,467
77,108,361
65,186,165
82,233,260
73,98,398
65,170,175
71,120,228
69,148,228
190,129,145
