VK,HT,FT
16,171,-1
76,80,332
79,78,140
86,64,94
69,65,113
32,95,132
73,31,344
83,79,94
32,89,148
76,63,136
79,66,141
86,19,117
69,56,110
190,78,704
32,53,137
16,120,144
73,62,142
84,62,205
32,6,71
68,62,109
79,93,110
69,62,136
32,78,76
8,333,446
83,78,94
32,107,593
78,83,292
79,94,109
84,62,125
32,69,147
77,56,320
65,46,109
84,63,469
69,62,241
82,82,94
32,78,140
73,63,220
70,63,649
32,56,138
76,63,158
79,80,158
86,40,51
69,68,109
32,78,113
73,33,180
83,63,61
32,80,155
66,59,535
69,75,120
84,47,208
87,78,175
69,62,136
78,63,231
32,78,141
65,46,78
32,80,205
77,26,126
65,50,80
78,63,78
65,78,152
32,80,109
8,65,552
32,62,190
65,104,146
78,31,131
68,87,23
32,92,86
65,79,246
32,62,93
87,93,170
79,80,140
77,46,150
65,96,72
78,62,271
188,78,577
32,132,353
65,77,317
32,76,139
77,56,283
65,101,79
78,62,109
32,46,123
65,46,101
78,38,53
68,93,40
32,93,152
65,101,231
32,79,93
77,46,392
65,96,93
78,62,426
32,78,344
79,78,108
82,62,107
32,47,157
65,47,109
32,63,137
87,97,160
79,52,110
77,105,87
65,77,99
78,62,109
32,88,387
65,47,153
78,31,139
68,44,77
32,95,100
65,56,125
32,68,311
87,95,236
79,62,324
77,62,510
65,92,109
78,62,134
190,103,512
32,78,140
16,104,79
76,63,214
79,79,155
86,47,511
69,78,137
32,78,109
73,6,183
83,79,183
32,28,173
76,52,265
79,78,139
86,64,112
69,62,93
190,48,218
32,85,135
16,133,1033
65,93,141
83,62,142
32,108,114
65,79,261
32,62,109
83,78,682
79,109,136
67,91,434
73,62,281
69,52,127
84,190,187
89,93,370
188,62,296
32,27,141
87,46,274
69,64,342
32,94,160
8,319,431
87,78,218
69,125,94
32,62,160
83,63,362
72,51,109
79,108,95
85,69,120
68,31,154
8,7,994
76,62,46
68,56,93
8,312,1192
68,62,528
32,72,125
65,108,125
76,9,117
79,78,222
87,63,203
32,80,156
80,78,293
69,80,187
79,95,78
80,96,223
76,68,172
69,77,75
32,63,111
87,63,442
72,47,93
79,76,140
32,109,134
76,63,151
79,63,152
86,66,92
69,105,93
32,100,94
69,63,156
73,47,170
84,63,125
72,78,165
69,67,78
82,87,94
32,78,156
8,617,941
65,59,187
67,47,252
72,64,124
32,47,139
79,62,197
84,62,122
72,62,78
69,78,50
82,42,94
32,90,182
65,78,154
78,56,125
68,78,98
32,14,121
87,63,4
65,102,122
78,40,160
84,57,156
32,78,141
65,93,78
32,93,109
76,45,265
73,93,109
70,17,8
69,56,120
32,63,156
84,62,494
79,62,120
71,78,73
69,78,125
84,210,112
72,47,118
69,62,91
82,96,27
32,108,131
84,23,116
79,45,94
32,78,118
71,72,578
69,70,125
84,78,140
32,81,138
77,56,126
65,95,114
82,254,134
73,69,290
69,56,117
68,63,182
190,80,140
32,80,431
16,139,97
84,46,88
72,63,103
69,84,108
32,78,143
79,91,188
78,48,137
76,78,286
89,62,313
32,94,161
68,53,290
73,46,757
70,9,125
8,62,661
16,194,117
71,87,124
65,71,93
89,64,266
32,100,114
80,31,292
69,103,140
79,22,79
