VK,HT,FT
16,687,-1
84,119,215
72,118,112
69,107,74
32,137,168
70,18,387
73,101,162
66,881,984
69,104,128
82,160,181
32,152,165
79,136,140
70,569,490
32,152,165
84,111,292
72,118,112
73,101,162
83,130,205
32,152,165
67,93,202
79,136,140
85,797,129
78,113,170
84,119,215
82,160,181
89,97,306
32,171,230
73,101,162
83,130,205
32,152,165
83,130,205
84,119,215
82,160,181
79,136,140
78,113,170
71,89,208
76,102,241
89,97,306
32,171,230
67,93,202
79,136,140
78,113,170
83,130,205
84,119,215
82,160,181
85,937,927
67,93,202
84,119,215
69,104,128
68,105,103
32,152,165
85,926,63
83,130,205
73,101,162
78,113,170
71,89,208
32,152,165
84,111,292
72,118,112
69,107,74
32,137,168
84,111,292
82,160,181
65,129,197
68,105,103
73,101,162
84,119,215
73,101,162
79,136,140
78,113,170
65,129,197
76,102,241
32,152,165
70,383,457
65,129,197
77,137,152
73,101,162
76,102,241
89,97,306
32,171,230
65,123,237
83,130,205
32,152,165
65,123,237
32,152,165
77,137,152
79,136,140
68,105,103
69,104,128
76,102,241
190,447,162
32,152,165
16,405,433
84,119,215
72,118,112
73,101,162
83,130,205
32,152,165
70,553,920
65,129,197
77,137,152
73,101,162
76,102,241
89,97,306
32,171,230
67,93,202
79,136,140
78,113,170
83,130,205
73,101,162
83,130,205
84,119,215
83,130,205
32,152,165
79,136,140
70,522,313
32,152,165
65,123,237
32,152,165
77,137,152
79,136,140
84,119,215
72,118,112
69,107,74
82,160,181
32,152,165
65,123,237
78,113,170
68,105,87
32,152,165
65,123,237
32,152,165
70,248,688
65,129,197
84,119,215
72,118,112
69,107,74
82,160,181
190,982,128
32,152,165
16,289,457
77,137,152
65,129,197
82,160,181
73,101,162
65,129,197
71,89,208
69,104,128
32,137,168
73,101,162
83,130,205
32,152,165
65,123,237
32,152,165
76,102,241
79,136,140
78,113,170
71,89,208
32,152,165
83,130,205
84,119,215
65,129,197
78,113,170
68,105,87
73,101,162
78,113,170
71,89,208
32,152,165
72,118,112
69,107,74
84,119,215
69,104,128
82,160,181
79,136,140
83,130,205
69,104,128
88,412,502
85,542,805
65,129,197
76,102,241
32,152,165
73,101,162
78,113,170
83,130,205
84,119,215
73,101,162
84,119,215
85,105,633
84,119,215
73,101,162
79,136,140
78,113,170
32,152,165
84,111,292
72,118,112
65,129,197
84,119,215
32,152,165
83,130,205
72,118,112
79,136,140
85,485,631
76,102,241
68,105,103
32,152,165
66,583,189
69,104,128
32,137,168
82,160,181
69,104,128
83,130,205
80,116,211
69,104,128
67,93,202
84,119,215
69,104,128
68,105,103
32,152,165
65,123,237
78,113,170
68,105,87
32,152,165
80,116,211
82,160,181
79,136,140
77,137,152
79,136,140
84,119,215
69,104,128
68,105,103
188,589,295
32,152,165
8,260,490
190,146,526
32,152,165
16,912,514
78,113,170
79,136,140
87,131,148
32,152,165
72,118,112
8,260,490
84,119,215
72,118,112
65,129,197
84,119,215
32,152,165
72,118,112
79,136,140
77,137,152
79,136,140
83,130,205
69,104,128
88,943,918
85,819,234
65,129,197
76,102,241
83,130,205
32,152,165
87,121,194
65,129,197
78,113,170
84,119,215
32,152,165
84,111,292
79,136,140
32,152,165
84,111,292
8,260,490
66,551,356
69,104,128
32,137,168
77,137,152
65,129,197
82,160,181
73,101,162
69,104,128
68,105,103
32,152,165
85,789,652
78,113,170
68,105,87
69,104,128
82,160,181
32,152,165
84,111,292
72,118,112
69,107,74
32,137,168
76,102,241
65,129,197
87,131,148
188,244,100
32,152,165
84,111,292
8,260,490
73,101,162
83,130,205
32,152,165
73,101,162
83,130,205
32,152,165
8,260,490
84,119,215
32,152,165
73,101,162
83,130,205
32,152,165
67,93,202
72,118,112
65,129,197
78,113,170
71,89,208
73,101,162
78,113,170
71,89,208
32,152,165
87,121,194
72,118,112
65,129,197
84,119,215
32,152,165
65,123,237
32,152,165
84,111,292
82,160,181
85,697,46
69,104,128
32,137,168
16,26,991
65,129,197
77,137,152
69,104,128
82,160,181
73,101,162
67,93,202
65,129,197
78,113,170
32,152,165
70,979,261
65,129,197
77,137,152
73,101,162
76,102,241
89,97,306
32,171,230
73,101,162
83,130,205
188,190,934
32,152,165
65,123,237
78,113,170
68,105,87
32,152,165
68,105,103
83,130,205
8,260,490
73,101,162
83,130,205
80,116,211
82,160,181
8,260,490
82,160,181
69,104,128
83,130,205
80,116,211
69,104,128
67,93,202
84,119,215
73,101,162
78,113,170
71,89,208
32,152,165
84,111,292
72,118,112
69,107,74
32,137,168
86,867,109
65,129,197
76,102,241
85,200,727
69,104,128
83,130,205
32,152,165
73,101,162
84,119,215
32,152,165
82,160,181
69,104,128
80,116,211
82,160,181
69,104,128
83,130,205
69,104,128
78,93,124
84,119,215
83,130,205
190,346,250
32,152,165
16,739,22
72,118,112
79,136,140
77,137,152
79,136,140
83,130,205
69,104,128
88,569,713
85,939,50
65,129,197
76,102,241
73,101,162
84,119,215
89,97,306
32,171,230
73,101,162
83,130,205
32,152,165
87,121,194
82,160,181
79,136,140
78,113,170
71,89,208
32,152,165
73,101,162
78,113,170
32,152,165
73,101,162
84,119,215
83,130,205
69,104,128
76,102,241
70,542,976
32,152,165
65,123,237
78,113,170
68,105,87
32,152,165
78,113,170
79,136,140
87,131,148
32,152,165
84,111,292
72,118,112
65,129,197
84,119,215
32,152,165
84,111,292
72,118,112
69,107,74
89,97,306
32,171,230
84,111,292
72,118,112
73,101,162
78,113,170
75,673,11
32,152,165
84,111,292
72,118,112
69,107,74
89,97,306
32,171,230
83,130,205
72,118,112
79,136,140
85,195,685
76,102,241
68,105,103
32,152,165
72,118,112
65,129,197
86,604,789
69,104,128
32,137,168
65,123,237
32,152,165
16,655,984
222,782,247
82,160,181
73,101,162
71,89,208
72,118,112
84,119,215
16,16,764
222,755,107
32,152,165
84,111,292
79,136,140
32,152,165
86,93,737
69,104,128
32,137,168
77,137,152
8,260,490
66,626,235
69,104,128
32,137,168
77,137,152
65,129,197
82,160,181
73,101,162
69,104,128
68,105,103
188,810,198
32,152,165
84,111,292
72,118,112
69,107,74
89,97,306
32,171,230
65,123,237
82,160,181
69,104,128
32,137,168
66,776,544
