VK,HT,FT
16,536,-1
71,784,759
65,143,152
89,577,101
32,121,69
80,627,414
69,120,153
79,76,649
80,704,619
76,608,666
69,98,31
32,150,83
65,104,185
82,288,366
69,104,0
32,151,52
78,275,792
79,364,247
32,139,26
68,932,219
73,121,0
70,399,184
69,114,0
82,193,0
69,83,70
78,313,761
84,91,195
32,76,135
84,80,105
72,837,319
65,197,104
78,922,528
32,142,111
83,924,775
84,114,205
82,76,4
65,95,184
73,105,379
71,535,759
72,931,550
84,101,180
32,110,34
80,971,356
69,80,0
79,702,826
80,837,94
76,824,948
69,140,9
188,424,414
32,105,101
65,144,189
78,563,375
68,736,219
32,106,89
8,68,334
79,420,699
84,116,176
72,129,766
69,154,493
82,160,296
32,94,54
84,133,116
72,838,661
65,194,204
78,627,92
32,103,129
84,89,139
72,264,862
69,95,255
32,86,145
65,173,117
67,893,322
84,80,128
32,62,100
84,123,172
72,772,111
65,119,0
84,84,84
32,137,34
83,414,102
84,108,84
82,150,0
65,167,0
73,86,0
71,283,949
72,170,653
84,84,163
32,100,82
80,958,936
69,118,0
79,198,681
80,330,640
76,127,86
69,122,300
32,88,55
83,418,156
69,129,320
77,686,374
32,99,109
84,108,162
79,139,318
32,130,49
66,526,41
69,110,264
32,98,46
8,504,885
32,130,27
79,667,62
85,550,645
84,129,129
32,98,150
78,628,89
73,96,0
85,128,217
77,807,882
66,701,269
69,136,147
82,134,273
32,60,124
71,502,407
65,135,361
89,812,710
32,117,134
80,230,43
69,133,0
79,443,643
80,546,644
76,206,474
69,100,286
190,986,244
32,82,68
16,824,395
32,78,54
79,746,826
85,107,93
82,174,258
32,112,142
67,564,383
85,871,8
76,922,776
84,91,207
85,590,811
82,199,57
69,126,143
32,151,79
83,904,296
65,148,125
89,521,253
83,835,21
32,116,66
84,80,79
72,839,811
65,163,143
84,99,133
32,95,87
83,568,136
84,91,34
82,76,327
65,106,80
73,163,247
71,5,302
72,627,140
84,85,81
32,90,25
73,140,394
83,493,502
32,125,98
84,92,7
72,373,241
69,89,188
32,127,112
78,362,282
79,807,374
82,116,553
77,277,442
65,104,28
76,991,908
32,116,58
84,82,140
72,421,187
73,107,215
78,811,867
71,893,491
188,492,419
32,112,100
83,9,943
79,932,181
32,163,110
89,941,782
79,38,27
