VK,HT,FT
16,970,-1
71,18,283
65,114,34
89,91,37
32,97,81
77,694,248
65,126,73
82,451,136
73,93,43
65,130,181
71,184,731
69,64,97
32,80,275
73,100,239
83,351,329
32,96,93
8,65,246
73,95,89
65,113,100
71,480,802
69,74,133
32,95,48
83,880,647
72,418,419
79,89,62
85,513,878
76,553,183
68,244,913
32,85,80
66,947,679
69,97,56
32,104,123
83,749,987
85,896,654
80,671,191
79,97,44
82,548,895
84,113,48
69,263,96
68,614,825
32,86,154
66,687,148
69,105,57
67,343,773
65,80,146
85,919,156
83,94,284
69,55,62
32,104,96
69,97,86
86,967,930
69,104,55
82,782,948
89,104,184
79,89,63
78,111,126
69,113,142
32,105,144
72,106,378
65,128,72
83,661,314
32,97,88
70,556,765
82,548,53
69,113,183
68,121,331
79,58,33
77,639,267
32,113,87
84,113,79
79,96,88
32,97,72
68,248,185
79,103,149
32,97,7
87,429,36
72,204,212
65,117,88
84,105,238
32,122,167
84,73,48
72,67,297
69,97,86
89,89,184
32,97,71
87,660,616
65,119,161
78,89,109
84,120,0
32,112,83
65,91,88
78,97,189
68,702,451
32,113,72
66,780,332
69,105,153
67,160,269
65,96,40
85,539,800
83,984,586
69,88,92
8,786,20
190,875,281
32,105,152
16,748,757
78,88,14
79,97,57
32,82,136
79,81,127
78,99,126
69,92,97
32,105,69
67,462,711
65,104,161
78,81,127
32,97,245
84,89,201
82,783,531
85,363,572
76,276,492
89,81,82
32,82,99
83,989,750
65,130,162
89,81,184
32,80,248
84,12,569
72,751,570
65,129,73
84,97,128
32,81,73
66,248,101
69,97,97
73,97,50
78,102,230
71,406,668
32,68,110
71,869,187
65,87,108
89,86,129
32,137,139
73,112,171
83,640,609
32,105,82
78,84,120
79,89,82
84,90,18
32,97,146
82,15,950
73,111,0
71,176,257
72,27,391
84,73,123
190,291,660
32,89,83
16,488,545
90,539,101
73,82,77
70,510,956
32,137,12
8,364,907
16,379,163
73,131,116
70,905,765
32,97,202
89,89,184
79,71,57
85,708,8
32,97,136
65,80,119
82,732,972
69,1,192
78,113,80
222,614,651
84,96,128
32,96,0
71,483,618
65,113,164
89,89,65
188,572,611
32,89,96
84,128,240
72,607,507
69,85,56
78,89,61
32,97,128
89,112,134
79,97,88
85,655,676
32,97,137
68,495,672
79,97,37
78,114,153
222,749,255
84,93,32
32,97,88
75,210,98
78,91,119
79,88,153
87,533,471
32,113,96
87,829,649
72,401,36
65,85,152
84,120,89
32,119,59
73,113,154
84,73,52
32,119,173
70,11,443
69,77,187
76,239,368
83,87,597
32,89,126
76,21,700
73,92,94
75,256,898
69,264,81
32,105,96
84,113,211
79,104,88
32,108,48
66,739,585
69,105,31
32,97,136
71,332,648
65,114,73
89,111,191
188,167,110
32,97,65
83,286,413
79,103,76
32,97,169
72,115,492
79,110,236
87,36,696
8,237,507
16,937,711
73,126,259
70,902,159
32,92,152
65,129,73
32,81,137
80,1,915
69,105,95
82,784,874
83,970,977
79,92,58
78,89,120
32,96,120
73,124,117
83,555,272
78,97,68
222,956,3
84,128,40
32,52,55
71,18,77
65,113,87
89,108,151
8,671,613
84,32,132
72,425,345
69,265,108
89,95,130
32,26,123
68,841,772
79,139,127
78,105,103
222,521,854
84,101,0
32,120,184
75,378,400
78,89,102
79,93,150
87,273,690
32,103,48
87,23,503
72,982,838
65,117,97
84,127,91
32,134,88
73,113,51
84,97,151
32,90,20
