VK,HT,FT
20,569,-1
77,727,252
20,19,512
65,359,59
82,265,815
73,500,310
65,422,566
71,497,833
69,206,312
32,165,110
73,226,372
83,138,157
32,153,106
68,557,528
69,214,317
70,187,184
73,102,149
78,268,102
65,406,376
84,102,188
8,623,168
69,74,697
68,201,646
32,155,97
65,186,525
83,142,162
32,141,91
65,175,913
32,144,121
80,331,140
82,814,96
79,623,171
77,188,132
73,333,585
83,125,173
84,102,145
69,383,13
32,142,102
8,816,521
83,124,184
8,614,384
69,398,591
32,160,101
66,883,826
69,269,118
84,108,162
87,351,857
69,680,157
78,111,739
32,163,119
65,77,577
32,152,122
77,674,233
65,31,716
78,9,795
32,153,114
65,525,605
78,451,336
68,172,534
32,150,111
65,465,300
66,246,652
32,149,118
77,875,171
79,159,493
8,602,201
32,155,119
77,159,876
8,225,976
32,166,97
87,804,171
79,36,810
77,451,581
65,99,448
78,614,47
32,146,109
66,284,377
69,318,819
70,299,58
79,702,276
82,540,313
69,354,852
32,142,97
71,268,78
79,253,562
8,370,103
20,949,937
71,156,415
20,324,789
79,835,802
68,704,522
32,164,112
84,119,241
79,442,876
32,162,111
67,367,731
77,63,721
73,914,148
84,114,174
32,157,120
8,915,366
79,191,980
77,454,181
73,127,549
84,98,228
69,41,766
32,166,104
84,111,238
72,417,668
69,784,219
77,210,372
69,207,786
83,119,165
69,470,257
32,162,101
84,99,190
79,182,478
32,142,116
79,621,608
78,788,390
69,653,264
32,151,106
65,835,86
78,390,173
84,103,222
79,871,494
72,143,5
69,8,704
82,257,819
32,146,101
8,161,854
32,150,98
20,594,486
73,633,141
20,787,910
32,149,101
66,899,671
69,936,625
84,101,179
72,212,796
69,378,692
32,150,96
20,739,746
87,539,570
20,625,430
79,496,735
82,780,398
68,422,547
32,156,108
79,729,181
70,184,252
32,166,120
8,292,539
83,144,184
69,12,652
76,502,899
86,356,894
69,64,7
83,141,182
190,217,219
8,897,761
76,983,707
73,317,965
69,170,352
86,622,364
69,840,143
32,156,100
84,109,146
72,683,346
69,485,999
20,211,775
71,245,853
20,886,426
79,409,812
68,410,698
32,147,95
73,673,720
83,124,172
32,160,114
84,116,259
72,91,95
69,721,457
32,150,96
85,528,638
76,61,63
73,165,923
84,98,224
77,659,543
65,620,488
84,103,129
69,991,437
32,162,112
71,89,743
85,962,145
73,315,34
68,395,984
69,56,186
32,155,103
84,119,156
79,784,286
32,163,105
72,261,261
79,739,201
87,122,544
32,153,104
87,938,399
69,109,505
32,163,114
83,131,164
72,733,540
79,829,178
85,61,377
76,299,264
68,64,948
32,143,95
76,175,303
73,583,547
86,789,327
69,109,288
32,152,105
79,763,454
85,953,756
82,898,648
32,150,102
76,494,561
73,376,112
86,156,109
69,924,280
83,117,179
190,15,713
32,146,120
20,105,325
8,378,310
188,980,456
32,163,107
65,830,834
78,982,256
68,277,614
32,140,98
8,122,664
20,55,418
8,194,962
65,135,298
78,887,948
68,455,832
32,164,93
72,535,399
20,25,795
8,836,21
72,139,730
20,811,437
69,267,858
32,152,94
83,129,179
65,20,832
89,929,679
83,126,175
32,149,118
78,628,983
79,141,293
32,160,100
84,101,159
79,788,948
32,153,108
72,510,614
79,724,853
77,682,67
69,318,807
79,164,452
83,124,165
8,193,47
79,306,932
32,160,94
8,986,624
83,127,157
69,568,492
88,817,458
85,11,700
65,943,502
76,564,501
73,841,713
84,99,172
89,88,259
32,165,93
84,101,166
72,954,67
69,646,220
82,919,544
69,960,624
70,970,817
79,467,221
82,641,390
20,648,631
69,869,939
20,340,374
8,871,194
69,405,13
32,156,115
20,377,334
73,730,979
20,248,993
32,146,110
77,860,342
85,541,731
83,144,177
84,109,199
32,153,115
83,129,171
85,57,743
80,452,339
79,111,220
82,351,912
84,106,178
72,64,481
65,299,580
84,113,265
32,143,121
82,834,901
85,305,256
76,555,546
8,77,633
32,160,107
84,105,153
72,194,635
65,827,68
