VK,HT,FT
16,325,-1
83,124,161
73,88,156
78,93,144
67,103,232
69,111,170
32,119,140
77,122,163
65,120,90
82,260,278
73,150,283
65,118,108
71,125,113
69,98,132
32,106,95
69,109,342
78,100,221
68,84,186
83,111,181
32,98,212
65,136,197
66,93,106
79,122,132
85,112,115
84,77,90
32,104,83
84,104,201
72,100,77
65,106,80
66,86,182
86,81,204
69,119,187
32,93,111
8,445,605
72,104,402
65,103,106
76,295,315
70,111,184
32,119,94
84,94,241
72,96,91
69,92,159
32,88,147
84,84,348
73,108,120
77,141,243
69,79,115
32,104,140
73,94,230
78,129,137
32,104,108
68,87,201
73,85,128
86,103,218
79,86,406
82,84,132
67,135,256
69,109,251
188,107,296
32,120,122
65,120,221
78,101,107
68,97,110
32,99,89
80,97,227
69,83,153
79,98,85
80,106,166
76,113,157
69,90,155
32,92,101
65,154,207
82,140,179
69,118,231
32,114,82
67,104,204
72,109,158
69,104,146
65,73,277
84,90,147
73,141,118
78,103,121
71,82,119
32,105,175
79,121,181
78,116,174
32,106,114
69,75,198
65,124,177
67,102,214
72,92,92
32,88,181
79,97,155
84,85,113
72,91,107
69,138,77
82,116,126
32,119,101
65,140,306
78,99,85
89,90,285
72,96,87
79,145,126
87,107,156
188,109,258
32,91,162
87,86,333
72,99,107
89,81,169
32,110,136
73,116,141
83,103,118
32,91,98
80,113,188
82,96,120
79,107,128
72,87,154
73,125,112
66,93,216
73,103,199
84,124,133
73,104,149
78,120,97
71,78,135
32,87,188
71,111,424
65,115,203
89,81,174
32,86,164
77,113,247
65,94,139
82,299,153
73,95,362
65,133,147
71,88,165
69,95,116
32,111,94
65,107,257
78,118,105
32,123,182
73,104,197
83,162,118
85,83,264
69,97,117
32,111,223
84,86,229
72,107,109
65,122,120
84,98,113
32,123,61
77,118,258
65,122,117
84,229,183
69,156,304
82,122,192
83,124,265
16,521,217
191,110,234
32,174,521
16,309,192
84,110,275
72,113,156
69,110,118
82,126,129
69,109,119
32,115,150
73,96,168
83,112,97
32,127,117
78,109,161
79,125,105
32,124,203
83,116,342
65,114,133
78,86,115
67,96,139
73,97,212
84,116,255
73,116,124
84,100,116
89,126,156
8,296,405
84,87,599
73,95,162
84,125,127
89,121,127
32,95,265
79,96,257
70,99,115
32,94,86
77,125,189
65,140,142
82,281,128
73,103,269
65,104,84
71,107,207
69,129,144
188,98,368
32,104,149
83,98,261
79,112,108
32,105,95
87,123,377
72,85,115
79,112,137
32,100,105
73,98,318
83,135,99
32,97,96
73,81,230
84,84,109
32,109,97
80,89,364
82,97,165
79,126,115
84,104,255
69,126,142
67,106,515
84,114,191
73,112,91
78,127,209
71,75,134
16,413,358
191,122,122
32,156,221
16,312,333
87,125,182
72,156,240
79,110,103
32,118,168
73,90,273
32,110,210
80,88,216
82,92,167
79,122,139
84,108,220
69,120,111
67,81,301
84,131,207
73,121,142
78,96,170
71,82,119
32,105,132
8,569,450
73,98,905
83,110,98
32,117,89
80,114,192
82,100,137
79,118,127
84,108,180
69,108,144
67,120,377
84,131,195
73,101,114
78,106,138
71,89,112
32,105,202
70,100,175
65,115,138
77,115,167
73,92,194
76,127,170
73,113,235
69,122,117
83,139,137
32,123,367
70,115,281
82,117,187
79,108,166
77,130,158
32,119,134
65,128,187
66,105,112
85,107,153
83,120,121
69,111,156
188,100,278
32,104,149
80,89,343
82,115,125
79,106,123
86,100,220
69,107,179
82,138,95
84,71,238
89,111,140
8,253,504
79,122,500
86,96,126
69,99,197
82,139,99
84,92,157
89,104,153
188,104,310
32,87,181
65,102,149
8,373,448
67,121,564
72,105,108
69,110,106
65,115,137
84,118,190
73,116,89
78,91,173
71,100,87
32,102,150
83,100,235
79,110,174
85,119,102
8,486,630
80,91,311
73,101,225
8,271,473
79,106,705
85,79,86
83,122,134
69,112,139
83,114,211
188,110,220
32,89,156
80,114,347
79,97,182
82,79,178
32,89,161
80,102,196
65,108,90
82,85,159
69,93,164
78,88,158
84,82,177
83,114,225
188,119,358
32,120,121
