VK,HT,FT
16,184,-1
71,128,88
65,152,255
89,143,73
32,167,80
77,120,87
65,143,81
82,248,63
73,143,249
65,112,63
71,88,80
69,120,144
32,112,72
73,128,96
83,56,112
32,112,56
65,152,208
32,128,712
72,96,112
79,120,96
82,216,120
73,80,248
66,104,80
76,112,160
69,120,128
32,160,64
73,128,520
68,80,88
69,96,185
65,144,56
32,168,96
8,96,448
32,208,1192
65,160,152
78,96,160
68,160,120
32,128,88
73,120,400
84,144,80
32,120,88
68,96,168
73,112,152
83,80,256
71,104,160
85,128,128
83,120,80
84,96,96
83,128,136
32,136,88
77,120,176
69,96,72
190,88,240
32,168,152
16,216,224
73,64,232
32,96,64
8,216,736
16,121,375
73,103,65
32,128,56
68,96,79
79,104,72
32,127,105
78,64,103
79,96,112
84,88,64
32,88,56
66,24,200
69,128,168
76,112,112
73,144,40
69,72,104
86,64,184
69,120,120
32,208,72
84,112,168
32,24,64
72,72,48
65,160,168
84,168,64
8,568,216
72,88,536
65,136,128
84,72,80
32,72,56
71,72,136
65,144,72
89,88,104
83,88,208
32,144,40
72,88,208
65,88,272
8,248,240
83,56,224
72,152,232
79,160,96
85,80,104
76,136,168
68,88,48
32,160,64
72,128,192
8,80,248
66,72,128
69,88,168
32,128,32
76,64,112
65,127,1
76,96,183
79,104,176
8,544,240
65,96,544
76,248,112
79,144,272
87,72,32
69,72,184
68,80,176
32,144,56
84,88,104
79,104,88
32,152,72
71,96,168
69,136,192
84,128,48
32,136,72
77,128,120
65,136,56
82,208,72
73,88,232
69,79,56
68,73,199
190,104,129
32,127,104
16,121,135
73,111,97
84,169,87
32,160,80
80,72,328
8,87,282
66,103,88
79,111,104
84,119,96
72,96,63
69,96,192
82,23,97
83,120,127
32,136,80
77,120,312
83,104,184
32,136,72
8,248,248
69,64,232
32,144,40
84,104,176
72,64,80
65,96,136
84,80,64
32,136,56
83,72,120
79,128,48
77,136,72
69,64,72
84,80,176
72,96,40
73,104,96
78,128,80
71,96,72
32,136,56
65,96,104
83,112,224
32,160,64
83,80,136
65,88,184
67,56,200
82,104,160
69,72,80
68,88,184
32,136,64
65,112,80
83,120,184
32,136,64
77,144,160
65,128,80
82,240,96
73,120,256
65,128,48
71,120,72
69,144,160
32,136,88
67,88,-1
79,168,120
85,96,96
76,144,192
68,96,48
32,168,96
66,72,144
69,88,192
32,112,40
68,88,-1
65,112,120
77,104,144
65,136,64
71,112,80
69,96,136
68,152,184
32,160,40
66,80,224
89,168,208
32,160,80
71,104,768
65,160,64
89,96,160
83,88,184
32,88,56
66,72,144
69,88,184
73,192,144
78,152,96
71,144,96
32,128,88
71,96,265
73,96,120
86,96,96
69,96,96
78,112,96
32,152,56
84,72,120
72,104,32
69,88,200
32,128,64
82,56,128
73,88,96
71,48,120
72,128,24
84,128,480
32,144,104
84,144,112
79,112,112
32,144,1320
80,87,680
65,143,64
82,120,71
84,143,217
65,112,95
75,127,113
