VK,HT,FT
16,234,-1
84,116,239
72,114,120
69,121,119
32,131,64
69,117,130
76,106,163
71,97,123
65,95,172
76,106,163
73,106,175
8,495,281
76,106,163
69,117,130
71,97,123
65,95,172
76,106,163
73,106,175
90,219,443
65,95,172
84,116,239
73,106,175
79,98,144
78,124,113
32,130,81
79,98,144
32,155,83
8,566,278
68,87,105
70,464,594
32,130,81
8,566,278
70,107,746
32,130,81
71,97,123
89,124,223
65,95,172
8,495,281
65,95,172
84,116,239
89,124,223
32,130,81
78,124,113
77,119,135
8,495,281
89,124,223
32,130,81
77,119,135
65,95,172
82,140,130
73,106,175
65,95,172
71,97,123
69,117,130
32,131,64
87,925,453
73,106,175
79,98,144
85,122,75
76,106,163
68,87,105
32,130,81
8,566,278
79,98,144
85,122,75
76,106,163
68,87,105
72,114,120
32,130,81
65,95,172
86,119,137
69,117,130
32,131,64
8,566,278
32,130,81
72,110,76
65,95,172
66,463,585
86,119,137
69,117,130
32,131,64
8,566,278
86,119,137
69,117,130
32,131,64
90,77,568
69,117,130
82,140,130
79,98,144
32,155,83
73,106,175
77,119,135
65,95,172
80,903,265
8,495,281
73,106,175
77,119,135
65,95,172
80,697,955
79,98,144
67,970,621
8,495,281
80,168,806
65,95,172
67,136,343
84,116,239
32,118,73
79,98,144
78,124,113
32,130,81
84,116,239
72,114,120
69,121,119
32,131,64
8,566,278
84,116,239
72,114,120
69,121,119
32,131,64
82,140,130
73,106,175
71,97,123
72,114,120
84,116,239
32,118,73
79,98,144
70,295,188
32,130,81
72,110,76
69,121,119
82,140,130
69,117,130
79,98,144
8,495,281
84,116,239
8,495,281
84,116,239
69,117,130
82,140,130
79,98,144
83,107,103
69,117,130
88,117,95
85,122,75
65,95,172
76,106,163
83,107,103
32,133,62
8,566,278
68,87,105
79,98,144
32,155,83
78,124,113
79,98,144
32,155,83
72,110,76
65,95,172
82,140,130
77,119,135
32,130,81
84,116,239
79,98,144
32,155,83
84,116,239
72,114,120
69,121,119
32,131,64
8,566,278
65,95,172
32,130,81
72,110,76
69,121,119
84,116,239
69,117,130
82,140,130
79,98,144
83,107,103
69,117,130
88,647,241
85,122,75
65,95,172
76,106,163
222,472,75
83,107,103
32,133,62
65,95,172
66,43,886
86,119,137
73,106,175
76,106,163
73,106,175
8,495,281
76,106,163
73,106,175
8,495,281
73,106,175
84,116,239
89,124,223
8,495,281
84,116,239
73,106,175
89,124,223
32,130,81
84,116,239
79,98,144
32,155,83
8,566,278
89,124,223
32,130,81
84,116,239
79,98,144
32,155,83
8,566,278
73,106,175
76,106,163
73,106,175
84,116,239
89,124,223
32,130,81
84,116,239
79,98,144
32,155,83
65,95,172
76,106,163
83,107,103
79,98,144
32,155,83
71,97,123
69,117,130
84,116,239
32,118,73
77,119,135
65,95,172
82,140,130
73,106,175
69,117,130
68,87,105
190,825,50
32,130,81
16,64,8
73,106,175
70,300,453
32,130,81
89,124,223
79,98,144
85,122,75
32,130,81
68,87,105
79,98,144
78,124,113
222,833,618
84,116,239
32,118,73
76,106,163
73,106,175
75,781,757
69,117,130
32,131,64
71,97,123
65,95,172
89,124,223
32,130,81
77,119,135
65,95,172
82,140,130
73,106,175
65,95,172
71,97,123
69,117,130
32,131,64
188,234,327
68,87,105
79,98,144
78,124,113
8,495,281
188,839,42
32,130,81
68,87,105
8,495,281
69,117,130
188,458,32
32,130,81
68,87,105
79,98,144
78,124,113
222,542,7
84,116,239
32,118,73
69,117,130
78,124,113
84,116,239
69,117,130
82,140,130
32,130,81
79,98,144
78,124,113
69,117,130
190,868,88
32,130,81
16,361,980
73,106,175
70,801,756
32,130,81
73,106,175
84,116,239
32,118,73
72,110,76
8,495,281
32,130,81
8,566,278
68,87,105
8,495,281
32,130,81
68,87,105
79,98,144
69,117,130
83,107,103
32,133,62
78,124,113
79,98,144
84,116,239
32,118,73
72,110,76
65,95,172
82,140,130
77,119,135
32,130,81
89,124,223
79,98,144
85,122,75
188,579,676
32,130,81
87,613,500
72,114,120
89,124,223
32,130,81
80,452,962
82,140,130
79,98,144
72,114,120
73,106,175
66,189,858
73,106,175
84,116,239
32,118,73
73,106,175
16,68,210
84,116,239
16,306,999
191,505,728
32,130,81
8,566,278
84,116,239
16,645,233
191,174,642
32,130,81
16,10,459
77,119,135
20,782,972
78,124,113
84,116,239
32,118,73
8,566,278
20,887,959
65,95,172
78,124,113
89,124,223
32,130,81
71,97,123
72,114,120
79,98,144
77,119,135
79,98,144
83,107,103
8,495,281
72,114,120
79,98,144
77,119,135
79,98,144
83,107,103
69,117,130
88,929,83
85,122,75
65,95,172
76,106,163
83,107,103
32,133,62
8,566,278
32,130,81
67,506,694
79,98,144
85,122,75
80,270,324
76,106,163
69,117,130
83,107,103
32,133,62
72,110,76
65,95,172
66,273,659
32,130,81
8,566,278
86,119,137
69,117,130
32,131,64
66,475,995
69,117,130
78,124,113
32,130,81
83,107,103
72,114,120
79,98,144
87,575,707
78,124,113
32,130,81
65,95,172
83,107,103
32,133,62
76,106,163
79,98,144
8,495,281
65,95,172
83,107,103
84,116,239
78,124,113
8,495,281
82,140,130
73,106,175
78,124,113
71,97,123
32,130,81
8,566,278
84,116,239
73,106,175
78,124,113
71,97,123
32,130,81
8,566,278
84,116,239
79,98,144
32,155,83
76,106,163
65,95,172
83,107,103
84,116,239
32,118,73
74,460,945
85,122,75
83,107,103
84,116,239
32,118,73
65,95,172
83,107,103
32,133,62
76,106,163
79,98,144
78,124,113
71,97,123
32,130,81
65,95,172
83,107,103
32,133,62
84,116,239
72,114,120
69,121,119
32,131,64
77,119,135
65,95,172
82,140,130
73,106,175
65,95,172
71,97,123
69,117,130
32,131,64
79,98,144
70,88,157
32,130,81
72,110,76
69,121,119
82,140,130
8,495,281
65,95,172
32,130,81
72,110,76
69,121,119
84,116,239
69,117,130
82,140,130
79,98,144
8,495,281
82,140,130
69,117,130
76,106,163
65,95,172
