VK,HT,FT
16,510,-1
71,137,292
65,122,157
89,128,237
32,118,179
67,119,299
79,181,120
85,144,90
80,235,257
76,242,205
69,132,176
83,146,129
32,139,235
83,141,204
72,131,87
79,140,100
85,84,84
76,121,194
68,104,110
32,123,171
78,163,226
79,145,64
84,123,334
32,124,207
66,132,178
69,113,78
32,131,89
65,148,159
76,340,163
79,154,357
87,124,98
69,148,89
32,111,181
8,354,479
68,120,214
32,119,115
84,170,93
79,128,180
32,113,93
66,125,205
69,123,88
32,131,107
16,363,303
77,134,202
65,137,208
82,373,177
73,148,461
69,161,132
68,121,309
190,247,585
32,125,346
16,418,317
77,136,188
65,128,215
82,403,258
73,135,415
65,159,101
71,172,126
69,112,105
32,152,247
73,155,199
83,132,113
32,114,112
68,129,420
69,130,142
70,123,185
73,189,274
78,164,76
69,145,103
68,116,335
32,138,178
65,154,224
83,156,125
32,110,141
65,131,312
32,138,96
77,152,252
65,155,176
78,160,126
32,144,107
65,139,234
78,151,126
68,129,112
32,135,81
65,149,122
32,135,119
87,114,254
79,148,171
77,160,144
69,128,142
78,138,150
188,203,366
32,151,119
78,148,191
79,161,220
84,122,62
32,128,235
65,140,241
68,121,256
65,132,121
77,151,165
32,125,82
65,133,146
78,136,140
68,123,109
32,124,83
83,151,179
84,169,233
69,124,123
86,179,287
69,129,96
190,153,627
32,127,250
16,349,119
73,161,250
84,128,98
32,138,118
72,125,253
65,144,111
83,151,99
32,106,123
65,148,195
76,286,157
87,115,111
65,133,106
89,120,229
83,167,137
32,124,143
66,133,214
69,131,93
78,140,232
32,134,98
84,169,221
72,131,54
73,145,114
83,118,152
32,123,115
87,129,133
65,135,82
89,129,257
32,119,183
70,135,227
79,150,118
82,121,128
32,121,126
84,135,181
72,130,72
69,122,77
32,107,145
76,121,210
79,170,324
78,183,80
71,120,130
69,108,95
83,219,109
84,162,233
32,139,172
79,140,138
70,98,72
32,128,107
84,146,221
73,242,129
77,150,202
69,124,157
188,172,354
32,135,119
87,122,253
72,139,128
89,140,261
32,124,270
83,156,204
72,122,80
79,129,104
85,97,95
76,131,198
68,109,84
32,125,148
87,109,192
69,174,128
32,126,146
67,126,303
72,140,98
65,164,101
78,135,144
71,129,101
69,121,90
32,146,187
73,197,154
84,131,253
32,130,100
78,145,160
79,154,52
87,128,95
16,485,135
191,102,159
32,120,196
16,462,254
71,145,243
65,123,220
89,117,196
32,133,180
77,150,260
65,163,173
82,288,131
73,146,536
65,157,211
71,165,113
69,125,100
32,145,155
86,130,163
73,168,278
79,162,74
76,150,210
65,143,153
84,122,142
69,110,140
83,148,149
32,128,198
65,145,195
76,380,203
32,125,233
84,165,184
72,125,60
69,116,118
32,86,117
84,144,131
82,169,186
65,155,206
68,116,278
8,338,560
69,112,126
32,132,163
84,175,119
82,191,148
65,139,158
68,126,187
73,169,249
79,142,79
78,174,91
84,125,171
8,589,624
84,167,155
73,205,116
79,148,89
78,167,80
65,135,131
76,182,178
32,127,235
86,143,269
65,130,166
76,150,250
85,122,82
8,216,490
16,470,110
65,154,134
77,158,163
69,122,128
82,104,96
73,140,320
67,123,183
65,110,78
78,165,137
32,133,100
86,134,276
65,155,175
76,234,154
85,146,134
69,136,98
83,205,133
32,116,164
73,147,299
78,176,77
32,126,170
83,149,199
79,179,137
67,129,203
73,167,219
69,153,122
84,166,96
89,141,188
8,255,494
89,120,256
188,184,357
32,142,117
87,115,238
72,121,135
73,164,126
67,136,210
72,166,99
32,126,128
73,153,164
83,119,135
65,159,220
32,118,164
72,131,303
8,290,494
32,130,110
65,127,181
32,130,116
72,130,244
85,127,144
71,141,134
69,123,92
32,137,152
67,124,277
79,175,138
78,163,80
67,133,215
69,130,111
82,111,99
78,160,147
32,136,149
78,143,192
79,152,82
87,114,96
32,117,110
65,133,171
32,137,149
68,130,406
65,153,105
89,133,202
83,138,110
190,255,476
32,127,191
16,392,447
87,121,124
73,185,228
84,136,110
72,136,61
32,127,198
83,154,145
79,169,140
67,122,161
73,166,288
69,145,135
84,185,95
89,128,213
32,120,266
80,135,161
82,222,129
79,182,120
71,132,278
82,198,153
69,166,82
83,140,139
73,145,253
86,134,208
69,127,97
76,147,212
89,138,193
32,138,274
87,128,161
79,151,180
82,148,145
83,130,119
69,138,111
78,157,136
73,154,149
78,178,78
71,108,108
188,186,536
32,142,109
87,130,169
69,133,108
32,120,181
78,143,189
69,127,113
68,117,316
32,133,170
84,154,226
79,145,176
32,115,109
71,166,311
79,181,186
32,134,133
66,127,178
65,147,189
67,126,251
75,148,250
32,124,111
84,136,231
79,131,207
32,123,107
84,171,255
72,131,73
69,108,43
32,87,110
84,142,130
82,142,181
65,150,95
68,118,132
73,149,198
79,140,80
78,180,74
65,144,141
76,256,133
32,129,213
65,139,132
8,492,563
68,127,121
65,152,109
89,133,234
83,161,101
32,126,195
79,144,187
70,114,79
32,128,136
68,119,427
79,196,192
73,193,284
78,165,92
71,122,97
32,145,264
84,153,132
72,119,69
73,143,167
78,155,82
71,128,102
83,158,150
188,191,455
32,148,111
87,107,261
73,155,134
84,115,184
72,141,81
32,126,130
