VK,HT,FT
16,258,-1
84,70,135
72,69,157
69,70,50
82,65,122
69,65,134
32,66,76
65,76,128
82,56,184
69,66,130
32,70,2
83,49,95
69,63,132
86,74,147
69,63,139
82,67,131
65,89,84
76,60,84
32,40,165
82,57,75
69,69,103
65,0,153
83,80,134
79,71,35
78,45,122
83,58,93
32,78,92
84,56,91
72,51,109
65,72,134
84,55,54
32,62,164
71,49,165
65,63,103
89,70,85
32,61,273
77,99,134
65,73,13
82,193,171
73,94,239
65,60,154
71,49,76
69,59,22
32,69,71
16,183,15
71,74,9
65,67,3
89,71,102
32,62,155
77,75,106
65,59,84
82,182,15
73,75,210
65,64,112
71,67,62
69,23,125
32,52,79
83,44,28
72,64,108
79,57,126
85,81,109
76,55,168
68,87,67
32,65,68
78,57,102
79,65,128
84,57,79
32,58,112
66,74,59
69,204,75
32,58,89
76,62,156
69,88,52
71,82,988
65,45,92
76,76,85
188,54,106
32,62,115
65,75,43
78,63,52
68,70,57
16,186,666
70,50,134
73,60,129
82,190,132
83,68,82
84,54,181
32,45,171
79,63,123
70,84,79
32,62,97
76,70,109
8,7,730
65,72,128
76,56,120
188,59,122
32,66,114
77,65,103
65,70,58
82,179,143
73,82,49
71,52,183
65,67,88
8,7,17
65,78,109
71,69,60
69,61,116
32,45,94
73,70,133
83,73,74
32,66,80
67,57,72
76,63,146
69,101,125
65,78,174
82,59,161
76,173,182
89,70,71
32,58,93
68,47,158
69,28,167
70,68,134
73,73,84
78,51,100
69,59,67
68,64,137
32,68,133
73,66,95
78,49,113
32,75,131
84,55,69
72,67,89
69,66,86
32,60,74
16,363,91
66,79,91
73,77,47
66,74,215
76,69,55
69,56,84
32,70,80
65,58,96
78,86,91
68,74,65
32,75,75
66,71,125
89,73,141
32,69,164
16,258,138
85,58,120
83,63,101
32,47,75
76,33,170
65,70,85
87,59,138
32,57,94
65,66,73
83,73,136
32,55,92
66,70,110
69,64,66
73,68,235
78,69,85
71,62,81
32,54,154
66,68,106
69,75,2
84,51,50
87,80,83
69,69,84
78,69,181
32,63,113
65,73,119
32,49,143
77,21,154
65,65,75
78,69,85
32,78,141
65,63,24
78,72,128
68,72,122
32,77,63
65,66,128
32,50,107
