VK,HT,FT
16,144,-1
77,57,241
65,125,121
75,132,203
73,146,181
78,45,110
71,75,24
32,140,118
71,76,486
65,82,128
89,126,147
32,91,104
77,96,184
65,83,103
82,212,245
73,109,208
65,165,156
71,152,384
69,96,160
32,110,190
76,75,589
69,77,232
71,109,334
65,121,157
76,104,262
73,139,129
8,152,634
32,102,588
83,112,217
8,74,468
73,89,1218
83,127,116
32,74,110
78,48,215
69,87,89
67,72,158
69,164,230
83,240,233
65,164,108
82,173,148
89,72,210
32,76,267
70,139,120
79,78,95
82,111,158
32,46,95
70,134,121
82,107,111
69,311,158
68,103,319
79,139,164
77,130,39
32,20,93
65,135,83
78,51,125
68,6,385
32,96,49
67,117,80
73,125,112
86,94,196
73,193,64
76,82,274
32,57,35
76,71,471
73,103,150
66,87,120
69,101,176
82,107,40
84,78,172
89,52,222
73,69,335
69,34,87
83,167,233
8,863,168
73,48,288
69,64,103
83,94,139
32,85,113
73,95,1005
78,64,99
32,74,92
84,111,143
72,116,128
73,48,51
83,66,153
32,152,118
67,111,304
79,97,57
85,183,104
78,85,208
84,130,340
82,76,262
89,69,128
190,89,512
32,214,278
16,213,359
65,121,216
84,74,247
32,71,124
73,123,96
84,68,144
222,102,182
83,79,125
32,95,116
72,162,307
69,178,106
65,98,218
82,97,137
84,79,54
188,65,134
32,68,47
77,108,135
65,129,58
82,176,94
73,166,282
65,136,96
71,176,185
69,89,175
32,104,390
73,141,151
83,93,95
32,88,75
78,137,228
79,102,172
84,73,207
72,72,207
73,107,70
78,120,591
71,125,88
32,76,145
77,67,118
79,71,132
82,114,291
69,113,70
32,67,80
84,95,332
72,113,86
65,68,95
78,70,92
32,145,197
65,116,97
32,96,90
67,110,147
79,218,48
78,119,153
84,79,142
82,150,176
65,239,85
67,99,176
84,120,238
32,33,102
65,80,192
78,104,75
68,166,143
32,108,97
65,99,726
67,98,132
79,128,104
82,197,128
68,52,160
73,96,101
78,71,124
71,75,139
32,79,88
84,146,241
79,174,45
32,76,101
16,1049,38
85,85,194
83,274,90
32,63,144
76,17,385
65,76,128
87,71,207
188,173,136
77,17,168
69,139,129
82,111,75
69,110,188
76,48,226
89,116,301
32,96,120
65,88,187
32,54,99
67,107,90
79,38,56
78,98,170
84,76,47
82,119,62
65,96,73
67,112,183
84,57,216
32,109,173
84,92,40
72,64,54
65,85,336
84,6,145
32,96,79
84,116,137
87,80,138
79,128,144
32,103,88
80,106,139
69,131,154
79,47,126
80,115,71
76,96,233
69,63,171
32,119,519
69,87,775
78,130,110
84,71,142
69,112,201
82,109,349
32,79,132
73,93,298
78,84,121
84,109,70
79,101,81
32,192,92
70,70,154
79,8,152
82,63,98
32,76,152
67,74,139
69,97,154
82,95,50
84,67,496
65,119,139
73,111,150
78,70,173
32,104,278
70,70,805
73,101,121
78,164,156
65,154,172
78,80,149
67,96,225
73,69,175
65,93,79
76,43,121
188,20,296
32,120,100
76,64,673
69,87,76
71,78,80
65,96,84
76,68,122
188,130,366
32,97,87
65,106,96
68,103,159
78,74,128
