VK,HT,FT
16,287,-1
87,123,379
69,158,113
32,84,254
67,128,418
65,66,165
78,177,332
222,128,38
84,113,129
32,38,69
72,76,157
65,103,34
86,104,86
69,130,205
32,49,105
71,124,208
65,140,126
89,107,143
83,35,105
32,126,133
65,56,0
78,56,92
68,63,111
32,135,7
76,97,0
69,115,0
83,187,262
66,98,278
73,139,0
65,149,134
78,37,131
83,109,142
32,79,59
65,91,134
66,84,100
85,79,4
83,50,0
73,91,0
78,102,105
71,110,101
32,88,57
84,91,108
72,77,34
69,109,125
32,130,157
83,178,0
65,69,82
78,125,171
67,129,247
84,53,47
73,124,386
84,107,466
89,103,148
32,90,127
79,83,0
70,106,79
32,109,162
77,130,532
65,54,80
82,187,11
73,101,235
65,41,1
71,86,107
69,120,216
190,101,316
32,0,210
16,594,151
65,88,180
32,117,178
77,142,102
65,166,189
82,257,15
73,49,153
65,140,199
71,142,352
69,124,151
32,112,197
73,104,375
83,62,90
32,76,78
66,56,256
69,167,178
84,79,149
87,122,173
69,292,112
78,143,148
32,77,89
84,104,545
87,74,425
79,76,127
32,56,69
67,149,410
73,94,194
79,113,39
78,60,9
83,84,0
69,67,233
78,67,82
84,104,172
73,131,150
78,60,154
71,123,119
8,518,257
32,97,516
72,78,312
69,100,92
84,96,186
69,112,255
82,125,116
79,55,367
83,66,321
69,84,156
88,79,451
85,96,190
65,102,45
76,124,96
32,140,195
65,77,216
68,92,320
85,71,106
76,119,178
84,123,69
83,80,229
190,0,493
8,597,618
188,86,425
32,38,149
70,89,198
79,78,49
82,122,90
32,164,291
84,19,0
72,66,72
69,92,88
32,141,84
80,114,408
85,94,99
82,90,157
80,114,136
79,87,138
83,66,166
69,98,35
32,0,68
79,126,530
70,79,137
32,114,169
80,130,461
82,112,179
79,112,27
68,103,205
85,182,71
67,182,122
73,131,53
78,127,179
71,124,147
32,64,104
67,86,205
72,69,119
73,102,76
76,79,170
68,55,494
82,126,305
69,128,333
78,83,201
32,115,7
65,141,542
78,82,64
68,93,127
32,145,70
74,80,315
8,341,1021
75,99,456
69,43,144
80,134,375
73,93,403
78,115,192
71,64,185
32,148,0
72,2,642
85,80,218
77,82,236
65,124,138
78,134,22
75,103,313
73,84,63
78,78,103
68,60,214
32,23,214
71,79,108
79,38,170
73,146,75
78,190,31
71,112,92
190,103,0
82,29,80
8,0,431
69,169,0
32,105,182
16,266,300
73,70,160
84,102,371
222,148,263
83,65,132
32,134,279
78,157,272
79,120,290
84,20,0
32,117,111
74,60,397
85,92,187
83,106,31
84,95,153
32,151,82
70,64,344
79,127,94
82,109,150
32,91,62
76,169,250
69,133,0
71,114,450
65,141,159
76,49,56
73,78,105
90,60,175
73,73,381
78,109,103
71,57,137
32,129,0
73,96,111
77,125,167
84,110,162
73,157,127
77,85,160
65,116,65
83,159,159
67,113,199
89,117,255
190,117,274
8,584,539
78,0,506
8,585,0
32,41,240
16,158,66
87,74,308
72,80,309
69,59,0
78,90,121
32,81,0
84,121,0
87,103,227
79,42,0
32,99,138
80,122,254
69,123,104
79,113,116
80,90,167
76,155,402
69,47,136
32,84,377
83,146,792
84,137,478
65,171,76
78,70,97
68,125,136
32,75,207
66,119,385
69,11,40
70,166,178
79,120,197
82,91,88
69,108,71
32,117,118
16,320,0
71,98,221
