VK,HT,FT
16,277,-1
77,318,704
65,104,187
82,133,98
73,82,109
65,130,72
71,772,748
69,143,289
32,92,177
73,95,130
83,117,2
32,103,128
65,186,185
32,110,412
66,894,74
79,103,74
78,99,102
68,601,264
66,514,864
8,502,488
32,103,104
66,489,530
69,96,245
84,127,160
87,943,316
69,88,205
78,137,143
32,95,186
84,129,96
87,821,746
79,136,149
32,119,421
80,515,805
69,87,152
79,96,140
80,195,929
76,127,178
69,88,212
188,258,884
32,96,161
77,136,662
65,68,189
68,465,222
69,96,277
32,103,104
66,843,969
89,743,966
32,111,113
76,74,258
79,103,154
86,439,516
69,104,124
32,111,104
65,104,120
78,104,112
68,954,595
32,80,120
83,141,134
85,12,992
80,973,888
79,80,30
82,104,80
84,96,101
69,99,112
68,150,35
32,106,258
66,593,971
89,552,692
32,38,457
72,102,64
65,120,112
82,133,80
68,833,962
32,83,197
87,485,38
79,73,230
82,103,124
75,144,349
32,114,112
65,125,70
78,99,97
68,143,921
32,104,184
67,103,71
79,112,129
85,372,664
82,117,80
65,120,73
71,941,619
69,128,120
190,134,693
32,104,196
16,300,500
84,111,132
79,136,156
32,95,204
68,105,0
69,9,152
78,120,110
89,862,998
84,96,64
8,1043,223
32,103,107
84,131,68
72,87,309
69,129,152
32,127,148
82,103,188
73,95,387
71,159,792
72,87,72
84,84,195
32,88,128
79,96,469
70,846,244
32,122,120
77,701,549
65,120,155
82,149,99
73,82,1263
65,114,72
71,656,299
69,128,128
32,96,121
84,95,127
79,83,124
32,111,79
83,112,227
79,81,134
77,797,779
69,80,104
32,104,112
80,321,117
69,104,22
79,108,191
80,424,177
76,69,254
69,80,59
32,90,54
83,230,204
79,108,119
76,127,163
69,87,140
76,249,176
89,169,785
32,104,391
66,113,746
65,104,77
83,144,136
69,87,152
68,110,753
32,84,412
85,599,829
80,285,972
79,60,178
78,117,193
32,119,125
84,96,80
72,132,72
69,96,240
73,107,96
82,101,35
32,111,113
83,145,146
69,143,101
88,510,937
85,349,429
65,132,136
76,128,203
32,79,97
80,326,856
82,150,110
69,80,104
70,570,787
69,104,199
82,292,122
69,136,233
78,95,112
67,174,105
69,96,130
83,195,136
32,121,96
73,119,104
83,95,64
32,103,408
85,96,666
78,119,411
83,95,82
8,327,537
67,117,91
79,95,230
78,74,79
83,120,70
84,127,604
73,127,120
84,139,135
85,567,895
84,112,58
73,51,143
79,95,176
78,81,133
65,151,104
76,126,253
32,111,96
8,519,488
190,565,711
32,111,72
16,514,561
70,421,987
69,80,167
87,217,790
69,136,120
82,103,82
32,95,96
65,104,98
78,112,190
68,173,763
32,86,127
70,159,651
69,87,210
87,761,663
69,128,257
82,103,116
32,116,128
80,50,839
69,88,152
79,82,128
80,571,435
76,66,252
69,128,104
32,95,4
65,104,120
82,103,79
69,97,120
32,69,128
71,936,362
69,95,24
84,99,40
73,111,104
78,78,103
71,791,423
32,119,14
77,283,321
65,104,118
82,130,101
73,67,143
69,80,77
68,382,863
32,88,120
79,120,204
82,226,80
32,128,109
83,196,64
84,103,109
65,120,114
89,745,855
73,119,104
78,12,102
71,695,228
32,111,120
77,146,123
65,170,145
82,10,62
73,119,250
69,95,240
68,946,353
32,103,120
84,96,96
72,104,81
69,103,199
83,88,249
