VK,HT,FT
16,454,-1
84,506,247
72,592,856
69,157,98
82,531,239
69,157,98
32,145,99
65,712,723
82,388,556
69,157,98
32,145,99
77,359,779
65,565,751
78,15,674
89,874,583
32,145,99
82,52,208
69,157,98
65,604,983
83,888,774
79,129,115
78,290,374
83,441,269
32,145,99
84,304,871
79,129,115
32,145,99
83,131,86
85,95,446
80,650,571
79,129,115
82,71,530
84,334,112
32,145,99
71,495,126
65,757,308
89,695,57
32,145,99
77,270,926
65,135,715
82,130,304
73,224,582
65,553,150
71,606,732
69,157,98
188,449,114
32,145,99
80,68,103
65,174,756
82,376,579
84,764,3
73,431,956
67,136,61
85,107,735
76,589,232
65,24,290
82,918,974
76,356,427
89,508,487
32,145,99
73,774,355
78,369,589
32,145,99
84,739,531
72,244,601
69,157,98
32,145,99
16,880,381
85,480,381
78,254,514
73,740,912
84,582,414
69,157,98
68,801,578
32,145,99
16,565,26
83,643,99
84,959,541
65,749,939
84,897,799
69,157,98
83,260,313
188,576,7
32,145,99
68,258,252
69,157,98
83,134,197
80,11,601
73,408,941
69,157,98
8,424,468
84,983,105
69,157,98
32,145,99
84,429,227
72,512,194
69,157,98
32,145,99
66,526,370
69,157,98
76,9,313
73,168,810
69,157,98
70,23,350
83,505,214
32,145,99
70,626,280
32,145,99
8,152,555
79,129,115
8,977,684
70,986,638
8,982,953
79,129,115
70,325,468
32,145,99
77,530,394
65,891,113
78,249,922
89,744,200
32,145,99
73,299,635
78,866,820
68,867,700
73,267,524
86,608,729
73,732,479
68,804,462
85,682,17
65,238,262
76,847,422
83,12,224
32,145,99
79,129,115
84,765,38
72,784,777
69,157,98
82,344,826
87,99,545
73,349,886
83,386,483
69,157,98
190,309,303
32,145,99
16,731,406
79,129,115
78,354,10
69,157,98
32,145,99
79,129,115
70,471,67
32,145,99
84,85,704
72,716,561
69,157,98
32,145,99
77,77,200
79,129,115
83,174,297
84,412,470
32,145,99
73,665,415
77,972,902
80,766,985
79,129,115
82,571,331
84,729,918
65,685,893
78,8,330
84,390,996
32,145,99
82,711,965
69,157,98
65,542,121
83,557,768
79,129,115
78,716,580
83,821,498
32,145,99
84,779,715
79,129,115
32,145,99
83,721,908
85,327,296
80,929,547
79,129,115
82,176,928
84,493,989
32,145,99
77,860,242
65,368,778
82,632,857
73,886,93
65,632,66
71,939,984
69,157,98
32,145,99
73,220,90
8,159,706
69,157,98
81,895,911
85,273,133
65,213,931
76,149,258
73,790,500
84,92,227
89,195,258
32,145,99
73,66,64
83,832,560
32,145,99
66,916,31
69,157,98
67,667,931
65,117,503
85,327,330
83,757,708
69,157,98
32,145,99
79,129,115
70,394,780
32,145,99
84,632,861
72,557,424
69,157,98
32,145,99
80,792,118
82,669,903
73,488,805
78,951,691
67,633,102
73,143,770
80,156,156
76,539,633
69,157,98
32,145,99
79,129,115
70,584,210
32,145,99
84,314,55
72,44,692
69,157,98
32,145,99
83,32,557
69,157,98
65,86,809
80,133,919
82,631,346
65,508,828
84,525,186
73,112,418
79,129,115
78,116,863
8,498,34
80,392,862
65,767,268
82,623,353
65,625,239
84,713,651
73,888,348
79,129,115
78,411,265
32,145,99
79,129,115
70,262,616
32,145,99
67,59,425
72,165,659
85,103,534
82,974,998
67,999,996
72,329,668
32,145,99
65,840,948
78,269,80
68,732,284
32,145,99
83,207,15
84,262,808
65,129,362
84,57,774
69,157,98
190,609,625
32,145,99
16,206,289
77,778,171
65,151,566
78,33,506
89,746,750
32,145,99
79,129,115
70,782,111
32,145,99
84,35,584
72,608,674
69,157,98
32,145,99
66,801,143
79,129,115
8,644,289
79,129,115
66,277,916
74,134,826
69,157,98
67,164,561
84,24,850
73,46,550
79,129,115
78,863,565
83,238,40
32,145,99
84,744,754
79,129,115
32,145,99
71,732,505
65,893,540
89,480,207
32,145,99
77,418,551
8,211,521
