VK,HT,FT
16,222,-1
73,131,109
32,126,89
65,144,206
77,140,120
32,120,123
73,147,249
78,119,126
32,136,79
83,150,147
85,160,196
80,144,130
79,124,155
82,101,100
84,103,159
32,129,83
79,173,197
71,117,175
32,122,97
8,254,541
70,131,136
32,120,77
71,109,214
65,141,96
89,123,101
32,100,94
77,120,165
65,134,108
82,293,87
73,115,305
65,136,128
71,137,90
69,136,96
32,117,116
87,103,163
73,155,247
84,110,133
72,95,110
32,113,175
69,151,94
86,123,111
69,142,89
82,143,107
89,122,138
84,115,119
72,118,109
73,119,141
78,119,101
71,126,88
16,290,261
32,143,111
73,141,151
32,125,111
65,144,124
77,111,120
190,116,290
32,261,241
16,349,311
73,144,151
32,129,84
8,259,395
71,115,442
79,95,138
68,117,104
32,112,67
80,126,138
85,157,149
84,91,97
32,129,114
85,146,167
83,131,164
32,136,18
65,126,182
76,261,93
32,127,208
79,154,131
78,123,124
32,121,122
84,117,170
72,120,113
73,142,199
83,121,84
32,132,75
16,326,264
69,106,112
65,127,69
82,160,99
84,114,170
72,95,91
59,710,962
32,129,145
72,118,226
69,102,93
32,116,100
67,134,88
82,175,103
69,153,92
65,144,75
84,138,76
69,106,75
68,119,146
32,132,113
85,140,91
83,128,110
32,138,165
65,151,131
76,214,111
32,136,221
84,113,190
79,121,105
8,422,477
84,121,164
76,177,122
79,137,188
32,111,93
8,273,522
79,100,161
32,123,90
66,123,292
69,96,79
32,110,129
76,175,223
79,114,170
86,106,86
73,152,256
78,118,104
71,121,74
188,140,335
32,127,130
78,136,141
79,161,80
78,130,120
48,894,129
8,285,446
173,940,549
74,102,197
85,149,135
68,115,213
71,170,228
73,119,124
78,114,112
71,109,72
32,127,106
67,133,116
73,81,117
84,87,137
73,145,140
90,283,638
69,106,104
78,116,106
83,144,150
190,104,331
32,252,244
16,643,326
73,123,246
70,113,114
32,131,104
65,151,75
32,125,84
80,144,158
69,106,83
82,134,121
83,144,130
79,174,78
78,154,93
32,114,104
73,159,227
83,107,94
32,138,73
72,122,253
79,232,103
77,149,145
79,99,146
83,132,143
69,102,92
88,899,566
85,136,90
65,135,124
76,201,119
32,136,195
65,135,211
78,93,115
68,106,86
32,105,54
87,128,163
79,133,57
85,156,93
76,132,81
68,117,82
32,130,280
76,168,199
73,145,105
75,169,182
69,132,87
8,550,344
69,123,103
32,130,137
84,118,126
79,127,96
32,106,91
74,92,219
79,113,160
73,128,86
78,128,127
32,129,90
73,133,154
78,115,153
32,128,93
77,144,167
65,122,115
82,294,82
73,105,295
65,150,74
71,135,81
69,126,90
32,135,164
87,113,216
73,133,140
84,86,87
72,121,85
32,146,105
84,124,175
72,110,94
69,103,86
73,127,87
82,168,142
32,150,67
80,129,124
65,143,123
82,205,88
84,99,178
78,105,97
69,102,112
84,134,101
188,131,208
32,124,133
87,113,164
72,97,103
89,126,145
32,116,94
83,148,99
72,116,105
79,143,104
85,168,103
76,153,92
68,102,74
32,130,50
65,125,88
78,94,114
89,148,172
8,536,491
82,131,155
188,115,324
32,140,148
87,114,125
72,115,84
89,132,133
32,101,105
83,144,151
72,123,79
79,103,95
85,171,106
76,155,90
68,104,73
32,108,17
65,151,157
78,104,116
89,127,178
79,118,166
78,124,121
69,106,113
32,123,112
69,109,191
76,148,79
83,121,79
69,108,77
32,119,74
72,130,265
65,112,56
86,124,85
69,115,82
32,139,154
65,152,156
78,104,126
32,123,104
79,172,129
80,125,107
73,153,178
78,134,132
73,147,127
79,170,199
78,121,111
32,111,174
65,135,133
66,103,155
79,196,125
85,173,112
84,115,108
32,121,90
73,162,244
84,106,113
16,355,232
191,826,417
32,119,79
16,213,350
