VK,HT,FT
16,484,-1
73,119,146
84,99,97
32,111,74
73,122,130
83,112,195
32,126,85
82,114,142
69,86,105
65,122,91
76,405,900
32,110,281
83,102,117
73,121,171
77,684,52
80,385,708
76,585,143
69,94,92
32,115,105
80,805,105
69,87,113
79,119,127
80,97,970
76,627,643
69,85,80
188,109,741
32,105,214
16,282,337
71,91,84
79,111,146
68,88,163
32,109,196
8,885,758
16,318,263
8,137,31
79,118,79
68,91,106
32,139,266
67,477,32
82,92,74
69,88,88
65,124,148
84,93,141
69,83,83
68,91,124
32,116,189
16,587,249
65,125,137
68,92,110
65,125,97
77,235,377
32,120,234
65,111,151
78,139,96
68,94,158
32,135,225
16,373,267
69,84,110
86,51,969
69,90,104
188,663,72
32,119,98
78,137,105
79,116,108
84,96,103
32,116,167
16,321,222
65,123,133
77,451,654
8,816,932
68,92,145
65,122,105
77,332,229
32,119,157
65,118,146
78,140,96
68,91,121
32,108,283
16,271,252
83,115,184
84,87,141
69,84,125
86,434,846
69,88,125
8,220,607
84,100,112
69,84,108
86,526,94
69,87,108
190,375,409
32,123,245
16,397,277
84,100,203
72,139,131
69,88,133
82,131,79
69,91,81
32,121,194
73,117,188
83,105,238
32,106,168
78,136,91
79,111,80
84,102,92
72,113,133
73,119,114
78,131,68
71,96,122
32,141,258
16,440,238
222,251,333
78,138,91
85,116,242
84,89,130
8,395,6
65,119,99
84,103,110
85,115,51
82,114,141
65,123,149
76,232,869
16,493,341
222,509,205
32,107,129
65,116,96
66,310,160
79,119,112
85,106,657
84,85,136
32,124,282
84,100,163
87,846,328
79,114,144
32,141,162
77,788,180
69,95,131
78,146,96
32,126,239
68,88,116
79,115,115
73,124,185
78,136,74
71,95,104
190,667,326
32,109,86
8,136,130
32,124,132
73,121,148
84,96,160
190,804,648
32,106,270
16,470,216
84,87,75
87,644,933
79,119,75
32,116,171
77,718,349
69,88,131
78,144,110
32,138,176
67,564,465
65,121,135
78,147,73
79,110,140
84,100,170
32,121,68
67,671,608
82,95,140
69,89,89
65,118,86
84,101,170
69,89,113
32,122,176
76,841,295
73,108,121
70,890,968
69,84,116
190,842,878
32,143,110
16,305,225
84,101,219
87,365,129
79,116,77
32,113,265
87,451,47
79,105,112
77,743,255
69,83,78
78,152,78
32,124,263
67,162,548
65,115,135
78,153,99
79,109,130
84,88,85
32,104,89
67,636,700
82,100,107
69,95,120
65,122,84
84,94,153
69,88,100
32,110,83
76,63,457
73,130,114
70,630,195
69,96,88
190,262,777
32,127,280
16,258,225
73,111,177
70,876,471
32,121,250
89,325,837
79,104,110
85,104,335
32,142,239
87,501,423
65,125,142
78,147,67
84,97,192
32,131,215
84,88,160
79,119,104
32,119,209
83,110,225
65,117,142
89,366,57
32,132,110
16,255,212
73,113,135
222,890,207
77,974,170
32,114,92
65,122,121
32,122,199
66,234,919
65,122,125
67,265,752
75,821,851
87,169,353
65,118,114
82,110,88
68,93,116
83,106,100
32,116,86
16,546,218
67,654,896
72,119,103
82,131,134
73,108,147
83,103,140
84,90,162
73,111,166
65,111,102
78,149,110
188,249,821
32,112,263
72,130,161
65,116,91
86,202,330
69,91,84
32,119,142
65,118,140
84,101,206
32,116,209
73,129,138
84,88,170
190,568,258
8,575,2
188,964,416
32,113,77
66,235,671
85,103,7
84,95,187
32,112,136
16,304,263
73,114,143
222,630,431
77,65,481
32,132,271
71,97,145
79,104,131
73,125,145
78,129,70
71,89,147
32,130,227
84,100,155
79,106,130
32,143,229
71,90,127
79,104,81
32,104,254
65,124,121
72,127,127
69,91,89
65,125,143
68,94,126
32,104,162
65,111,112
78,140,101
68,92,131
32,108,229
85,113,256
83,118,154
69,95,99
32,126,142
89,130,570
79,114,140
85,114,52
82,115,116
32,142,184
83,110,149
73,122,148
8,705,370
67,429,362
73,121,141
69,95,90
78,142,75
67,719,840
69,92,133
32,110,165
65,111,141
71,95,122
65,117,101
73,129,135
78,133,67
83,107,112
84,95,147
32,142,194
89,273,400
79,107,73
85,106,986
190,607,980
32,132,246
16,577,260
73,124,140
70,224,542
32,134,68
69,85,90
86,218,386
69,90,80
82,96,121
89,294,723
32,120,89
68,89,118
79,111,132
71,92,102
32,112,121
73,111,126
78,130,73
32,107,230
84,94,83
72,117,128
69,88,108
32,113,54
87,688,590
79,111,71
82,107,146
76,77,105
68,92,107
32,127,198
83,111,111
85,112,417
71,95,124
68,89,136
8,629,475
68,93,126
69,97,120
78,148,63
76,743,32
89,349,794
32,109,124
87,332,13
69,90,104
78,135,106
84,85,89
32,133,97
71,91,116
65,113,83
89,421,461
188,842,987
32,111,291
87,326,328
72,137,136
65,114,135
84,99,220
32,105,182
87,248,457
79,110,123
85,105,776
76,211,312
68,93,141
32,131,296
72,123,94
65,121,143
80,881,975
69,88,88
78,147,67
16,240,286
191,611,761
32,126,181
16,368,291
84,93,98
72,122,91
65,121,85
222,948,416
84,88,81
83,114,110
32,112,233
82,102,139
8,969,470
32,114,190
16,310,328
84,97,174
72,134,86
65,116,126
84,90,193
222,844,798
83,108,231
32,128,221
82,116,76
73,124,189
71,94,82
72,122,100
84,95,187
188,514,205
32,123,150
84,101,210
72,134,132
69,87,131
89,639,949
32,105,79
87,193,966
79,112,93
85,114,13
76,447,381
68,92,146
32,140,118
73,112,158
68,89,125
69,91,126
8,247,373
73,108,181
68,88,156
69,87,95
32,127,175
8,598,701
68,87,119
73,122,119
69,87,90
32,119,85
79,112,101
85,105,178
84,93,229
190,9,739
32,139,206
16,530,289
89,996,978
79,118,101
85,103,881
32,125,90
67,306,250
65,125,115
78,152,101
79,114,140
222,940,421
84,86,152
8,694,583
222,778,630
84,92,183
32,131,313
84,93,158
69,91,92
76,123,549
32,105,269
77,355,648
69,92,82
32,116,79
84,87,222
72,126,160
65,125,116
84,93,75
32,113,264
66,547,350
69,93,117
73,109,159
78,143,73
71,97,81
32,126,211
71,88,112
65,120,137
89,725,692
32,144,270
73,108,168
83,114,136
32,115,209
78,138,107
65,113,82
85,109,925
84,92,215
8,924,312
84,102,83
85,104,623
