VK,HT,FT
16,276,-1
84,135,96
72,176,199
69,135,287
32,133,150
77,143,274
65,51,119
82,278,187
73,124,360
65,51,74
76,85,165
32,100,87
85,88,135
8,1500,886
73,134,414
84,81,98
65,119,91
76,111,79
32,151,82
85,59,132
78,92,24
73,49,165
79,133,147
78,113,182
32,133,132
79,143,123
70,79,132
32,120,150
83,110,122
65,101,95
77,39,96
69,56,154
189,61,717
83,156,102
69,105,130
88,122,234
32,129,194
77,111,192
65,88,171
82,187,366
73,93,263
65,60,76
71,120,112
69,98,73
191,149,178
71,87,81
65,125,111
89,136,274
32,56,113
70,147,32
82,93,171
8,213,430
77,61,1113
65,95,103
82,241,109
73,124,251
65,6,148
71,111,88
69,200,110
32,108,96
83,152,550
72,80,68
79,128,99
85,80,57
76,83,97
68,56,671
32,102,65
66,186,140
69,104,153
32,135,38
83,149,485
85,71,236
80,200,185
79,144,274
82,107,96
84,100,132
69,96,181
68,79,48
32,134,120
78,65,175
79,96,40
84,147,117
32,99,101
79,112,204
78,9,81
76,115,172
89,79,197
32,73,100
66,134,200
89,59,74
32,54,110
71,146,161
65,113,208
89,159,86
32,108,62
80,94,10
69,6,145
79,71,40
80,69,160
76,122,57
69,107,107
188,120,240
32,90,308
66,112,565
85,103,34
84,63,124
32,128,151
83,70,969
84,109,383
82,118,174
65,118,133
73,94,101
71,90,143
72,103,95
84,70,1
32,99,198
80,95,195
69,119,122
79,73,108
80,61,142
76,89,160
69,144,112
32,120,120
65,103,330
83,135,214
32,117,117
87,94,146
69,136,80
76,159,96
188,114,169
32,7,111
66,73,198
69,118,176
67,98,136
65,76,96
85,62,96
83,109,112
69,2,116
32,135,134
71,79,260
65,125,104
89,103,89
32,69,259
77,96,276
65,143,128
82,241,113
73,48,269
65,126,52
71,55,69
69,107,190
32,98,79
73,56,208
83,139,0
32,58,153
65,107,99
78,137,228
32,138,22
69,70,268
88,115,224
80,127,120
82,172,161
69,109,266
83,77,119
73,129,316
79,101,148
78,70,167
32,169,540
66,109,119
69,93,177
84,96,222
87,13,194
69,248,82
78,164,280
32,45,268
84,117,364
87,87,89
79,111,109
32,107,88
80,110,150
69,131,102
79,128,74
80,152,134
76,79,40
69,105,110
32,128,160
84,43,134
72,91,147
65,128,188
84,60,66
32,88,98
73,69,111
83,211,82
32,114,231
79,76,151
78,121,85
76,53,102
89,114,140
32,95,96
66,55,211
69,1,34
84,69,130
87,128,232
69,180,155
78,97,256
84,82,121
8,1500,462
78,95,275
32,138,129
84,106,121
72,130,104
69,152,52
8,106,295
32,135,260
84,98,129
72,136,72
69,118,125
77,80,263
32,76,69
65,109,108
78,73,104
68,150,341
32,139,166
78,144,203
79,84,124
66,104,167
79,153,120
68,69,104
89,161,151
32,111,17
69,28,122
76,112,165
83,70,106
69,128,84
190,61,86
32,80,796
16,1500,105
70,103,77
79,35,135
82,113,72
32,94,104
79,63,360
84,69,125
72,77,123
69,151,67
82,104,225
32,90,175
80,80,212
69,115,133
79,123,64
80,71,176
76,115,176
69,118,100
188,157,182
32,64,174
83,70,167
85,120,76
67,62,195
72,101,63
32,71,161
65,137,325
83,80,204
32,105,170
84,75,219
