VK,HT,FT
16,224,-1
87,124,266
72,235,212
69,79,85
78,91,128
32,99,193
84,115,128
72,88,124
73,115,110
78,116,124
75,111,197
73,120,204
78,115,138
71,96,95
32,94,128
65,134,141
66,103,240
79,125,213
85,117,107
84,95,97
8,560,513
16,226,472
77,106,128
65,106,145
82,333,146
73,107,342
65,130,127
71,110,102
69,99,157
32,114,285
72,113,213
65,113,113
83,93,140
32,92,180
65,132,196
76,184,210
87,111,250
65,133,133
89,106,133
83,97,113
32,95,115
66,89,256
69,170,110
78,112,184
32,98,180
84,94,140
72,92,89
8,550,463
32,126,659
65,127,184
76,158,216
87,95,141
65,123,140
89,82,91
83,105,114
8,525,539
83,103,524
188,106,214
32,94,103
87,99,255
73,86,92
84,94,119
72,87,164
32,114,140
70,107,342
82,86,164
73,109,168
78,106,143
71,105,97
69,109,160
32,93,170
69,79,334
88,113,255
67,99,168
69,108,247
80,103,205
84,86,119
73,128,173
79,135,87
78,114,152
83,95,134
188,98,384
32,117,104
66,101,254
69,114,181
78,106,156
32,110,137
8,585,565
32,144,590
76,88,183
69,110,125
71,140,160
65,128,119
76,101,177
89,88,366
32,44,123
66,95,567
69,98,230
78,90,208
32,94,165
66,93,224
69,74,156
84,115,196
87,104,304
69,231,252
78,134,285
32,103,240
79,117,141
78,117,101
69,90,106
32,101,182
77,87,144
65,121,94
78,93,93
32,99,152
65,121,123
78,90,92
68,97,112
32,86,121
87,111,185
79,114,94
8,339,422
79,128,486
78,97,174
69,107,117
32,97,80
87,107,311
79,123,85
77,94,170
65,109,151
78,92,124
190,174,405
32,149,180
16,478,306
84,107,182
72,80,164
73,112,129
83,112,92
32,90,101
67,104,249
79,126,111
78,116,191
86,96,205
69,105,154
78,107,118
84,84,140
73,91,96
79,105,124
78,97,116
32,72,223
8,509,458
188,112,505
32,99,176
73,97,303
70,126,161
32,95,270
67,94,268
72,113,109
65,105,117
78,113,135
71,111,232
69,113,114
68,124,252
188,83,253
32,102,119
67,100,288
79,138,96
85,93,158
76,108,226
68,114,171
32,61,112
76,102,378
69,86,100
65,111,150
68,121,181
32,107,121
84,89,281
79,101,99
32,105,118
79,113,380
84,90,111
72,91,129
69,119,88
82,100,152
32,116,109
67,110,300
72,109,144
65,121,124
78,106,134
71,121,184
69,125,122
83,128,191
32,101,244
73,104,265
78,103,156
32,94,140
83,117,228
79,102,158
67,107,299
73,95,95
69,110,175
84,117,168
89,93,163
190,86,390
32,128,166
79,96,218
32,107,120
76,97,242
8,267,407
70,100,418
32,93,113
76,114,213
69,106,177
71,102,201
65,129,175
76,94,179
32,90,241
65,122,164
71,94,172
69,97,112
188,110,313
32,124,152
65,108,87
78,107,101
68,83,92
32,93,123
69,93,268
86,106,193
69,137,168
82,90,127
89,94,99
79,127,161
78,117,146
69,100,117
32,91,108
69,93,283
8,264,345
65,100,294
67,175,214
69,109,292
80,100,103
84,108,115
83,117,193
32,98,158
84,91,148
72,85,94
73,102,133
83,92,161
32,121,135
65,101,244
83,128,103
32,115,113
66,86,177
69,138,141
73,112,144
78,97,159
71,81,75
32,110,100
65,109,142
32,130,120
67,141,240
79,101,158
78,127,108
86,83,165
69,106,143
78,96,100
84,100,144
73,128,128
79,103,120
78,100,168
65,113,172
76,157,146
32,270,186
77,110,284
65,132,93
82,234,251
65,112,289
73,85,164
71,118,142
69,122,162
8,430,435
73,85,433
65,98,142
71,124,171
69,101,163
32,95,318
16,284,299
70,109,218
79,82,160
82,98,119
32,116,141
69,115,116
88,92,313
65,132,148
77,102,132
80,109,166
76,127,216
69,104,100
188,110,135
32,108,125
73,91,267
78,106,102
32,91,100
84,101,108
72,98,86
69,111,77
32,108,92
80,98,415
65,111,118
83,139,200
84,102,207
188,92,331
32,92,83
80,83,391
69,101,179
79,106,69
80,106,128
76,134,145
69,115,104
32,106,134
73,95,253
78,105,154
32,118,165
70,98,94
82,88,160
73,104,141
78,127,105
71,107,99
69,101,132
32,107,91
82,87,263
69,110,156
76,95,144
73,83,208
71,100,203
73,101,123
79,104,99
85,95,186
83,89,118
32,101,179
71,92,388
82,94,147
79,134,146
85,113,71
80,97,127
83,112,143
32,113,148
72,93,323
65,134,131
86,111,154
69,87,144
32,119,136
84,108,327
82,92,160
73,99,122
69,93,138
68,117,187
32,111,106
84,105,198
79,92,116
32,98,89
65,123,247
80,206,159
76,104,153
89,92,166
32,111,120
77,81,227
65,121,96
82,262,136
73,108,282
65,111,151
71,118,156
69,115,158
32,105,221
84,120,332
79,110,99
32,112,112
80,107,406
76,101,184
85,103,152
