VK,HT,FT
16,415,-1
71,69,121
65,92,766
89,543,435
32,94,104
80,68,423
69,107,68
79,71,317
80,76,198
76,262,202
69,97,95
32,90,132
83,80,355
72,66,153
79,74,238
85,67,168
76,62,215
68,90,154
32,115,120
66,246,877
69,70,80
32,105,88
65,92,1101
76,79,210
79,68,70
87,708,34
69,90,156
68,74,150
32,125,105
84,76,374
79,67,126
32,93,73
77,346,532
65,92,105
82,68,165
89,504,480
32,96,129
65,83,701
83,80,321
32,124,122
84,82,135
72,64,109
69,53,115
89,76,787
32,114,78
65,87,209
82,81,68
69,94,67
32,91,114
67,43,565
73,76,154
84,70,256
73,77,235
90,729,255
69,86,64
78,76,208
83,79,209
32,85,95
74,461,923
85,73,206
83,82,220
84,98,486
32,118,122
76,71,352
73,63,193
75,901,425
69,94,104
32,121,119
84,98,279
72,63,92
69,79,79
32,105,126
82,84,177
69,110,99
83,20,126
84,100,289
32,98,116
79,70,64
70,817,842
32,104,73
85,82,144
83,48,208
32,111,198
65,92,727
78,66,90
68,31,189
32,77,95
83,89,211
72,73,88
79,79,178
85,21,268
76,73,467
68,77,161
32,112,91
72,71,76
65,84,192
86,611,210
69,88,159
32,92,107
65,82,148
76,113,374
32,112,103
84,88,816
72,66,132
69,109,203
32,106,141
82,150,467
73,64,251
71,35,679
72,72,130
84,79,52
83,68,182
32,93,779
65,85,179
70,166,673
79,102,176
82,71,176
68,42,93
69,82,132
68,77,209
32,93,82
84,69,119
79,99,164
32,104,103
84,87,110
72,73,118
69,97,159
77,451,294
32,95,140
65,100,211
83,81,222
32,107,74
79,73,248
84,59,502
72,69,75
69,110,72
82,73,186
32,81,96
67,532,468
73,68,308
84,61,281
73,76,180
90,165,988
69,105,129
78,79,516
68,94,116
8,74,562
83,88,184
32,93,134
72,61,136
65,93,101
86,688,426
69,105,103
190,814,118
32,97,56
16,720,970
77,483,995
65,92,156
82,102,275
73,76,446
65,104,232
71,71,113
69,105,203
32,108,91
65,84,297
83,86,366
32,91,951
65,103,135
32,125,114
76,55,272
69,92,160
65,97,94
8,974,301
71,49,135
65,83,232
76,66,465
32,78,128
69,105,118
78,102,567
84,95,158
73,65,195
84,80,204
89,626,902
32,92,84
73,68,38
83,86,18
32,113,378
65,3,155
32,93,148
82,81,158
65,87,115
84,100,453
72,59,126
69,93,118
82,70,266
32,83,81
78,82,255
69,77,69
87,746,64
32,61,81
67,632,358
79,79,61
78,77,111
67,405,441
69,97,195
80,83,603
84,94,292
32,116,80
73,73,161
78,99,217
32,101,981
83,85,168
79,77,52
67,910,891
73,79,101
69,98,156
84,90,105
89,308,172
32,93,116
65,83,161
78,78,43
68,87,173
32,102,986
80,79,401
69,85,56
79,67,12
80,59,309
76,71,320
69,86,15
32,90,98
83,78,70
72,68,102
79,31,242
85,74,106
76,101,186
68,83,106
32,94,81
66,824,560
69,92,228
32,102,109
65,95,261
76,265,192
79,67,122
87,678,29
69,97,78
68,87,170
32,115,119
84,97,360
79,79,225
32,114,1089
76,254,388
79,63,167
86,762,2
69,94,161
32,101,614
87,442,378
72,67,84
79,80,124
32,105,112
84,95,301
72,63,76
69,103,80
89,194,471
32,93,220
87,398,106
73,77,194
83,102,156
72,61,137
32,114,982
65,86,160
78,82,61
68,104,256
32,112,63
77,319,99
65,92,153
82,203,425
89,63,446
32,89,121
84,81,289
72,68,62
65,85,255
84,69,3
32,100,280
80,79,223
69,86,138
82,60,99
83,90,307
79,75,126
78,70,249
32,91,173
73,70,139
70,503,253
32,118,97
84,80,121
72,78,86
69,88,203
89,540,579
32,109,99
87,316,241
65,93,1083
78,102,211
84,87,520
190,230,696
32,128,95
16,915,17
66,319,312
89,795,332
32,124,80
66,328,583
69,69,129
73,67,146
78,102,238
71,82,497
32,104,139
65,86,728
66,755,705
76,251,373
69,88,77
8,551,207
69,100,55
32,109,133
84,98,118
79,105,226
32,105,225
77,890,503
65,92,175
82,89,438
