VK,HT,FT
16,601,-1
87,74,156
72,101,207
65,205,162
84,137,78
32,133,64
73,99,86
83,143,111
32,151,95
77,116,111
65,115,135
82,282,81
65,202,429
71,103,160
69,128,222
68,112,176
191,119,104
8,66,271
16,137,758
191,56,115
32,98,98
16,175,414
87,103,17
69,118,208
76,257,263
32,126,73
84,108,252
79,121,71
32,136,87
83,142,318
79,115,94
77,144,128
69,115,86
80,153,111
69,107,672
79,80,36
80,80,113
8,71,505
80,145,430
76,221,120
69,84,74
32,80,100
73,111,159
8,75,488
32,126,87
80,105,170
69,76,85
79,137,158
80,78,80
76,168,289
69,104,96
32,134,187
73,123,6
84,95,64
32,178,120
73,109,136
83,120,67
32,93,127
65,125,75
32,80,158
8,986,667
77,104,976
79,145,141
83,120,104
84,103,153
32,98,112
80,74,299
69,23,116
79,137,140
80,102,113
76,105,192
69,112,149
32,117,50
73,136,110
84,64,80
32,95,131
73,86,140
83,96,137
32,138,118
65,98,152
8,424,384
84,21,368
72,119,129
69,81,120
32,71,25
66,85,3
73,96,46
78,88,58
68,136,471
73,92,129
78,56,77
71,107,111
32,86,121
79,171,272
70,88,863
32,151,72
65,111,200
32,144,95
87,156,317
8,118,82
77,127,1103
65,162,99
78,73,443
32,111,112
65,63,83
78,80,112
68,68,116
32,124,64
65,189,42
32,123,86
87,106,113
79,121,79
77,113,140
65,92,93
78,116,114
32,80,111
84,94,91
79,71,110
71,120,138
69,112,196
84,80,481
72,13,88
69,106,96
82,162,44
32,119,101
8,694,267
188,116,215
32,106,150
70,72,236
79,64,122
82,72,95
32,70,207
84,170,99
72,80,62
69,99,63
32,84,104
82,114,125
69,112,98
84,71,72
83,122,167
32,88,76
79,125,138
70,106,98
32,117,98
84,150,332
72,168,96
69,204,95
73,99,79
82,64,104
32,75,87
76,140,167
73,111,177
86,110,56
69,232,198
83,101,84
190,84,144
32,221,62
8,218,445
83,127,111
84,136,185
16,164,203
84,145,65
79,126,40
32,166,96
79,47,120
84,77,102
72,73,136
69,146,29
82,124,255
83,111,397
190,129,315
8,119,510
188,67,647
32,105,138
73,154,170
84,105,151
32,121,86
73,96,65
83,96,78
32,87,113
65,140,471
32,95,112
83,136,112
73,113,26
77,185,211
80,83,547
76,208,243
87,104,86
8,79,311
32,155,86
65,113,85
83,80,272
32,124,128
83,46,212
73,127,161
77,133,205
80,104,165
76,155,131
69,79,32
32,142,107
65,132,253
83,98,167
32,78,111
84,230,152
72,89,8
69,168,154
32,160,110
71,89,120
79,121,104
86,57,99
69,162,166
82,90,93
78,113,252
77,54,164
69,63,24
78,142,96
84,86,108
32,62,80
66,67,138
69,68,63
78,95,112
69,118,76
70,99,105
73,61,116
84,87,95
83,88,82
32,79,144
84,96,250
72,82,135
65,111,24
84,111,61
32,96,37
67,78,470
79,145,61
77,154,439
69,64,185
32,160,205
87,64,175
73,90,80
84,131,160
72,88,0
32,80,87
84,86,129
72,126,133
69,138,153
82,103,184
32,109,36
8,110,242
32,83,409
77,87,172
65,136,100
82,240,536
73,88,247
65,108,116
71,80,69
69,96,272
32,88,650
76,109,553
73,80,207
67,76,10
69,98,186
78,88,122
83,58,158
69,83,90
190,204,593
32,57,129
16,200,160
70,107,113
79,138,81
82,88,108
18,8,496
32,223,96
77,110,423
69,136,43
32,101,57
65,218,96
78,87,96
68,107,68
32,183,65
77,18,64
89,75,445
32,96,176
70,184,245
65,136,135
77,145,162
73,173,118
76,134,249
