VK,HT,FT
16,426,-1
83,130,145
85,149,229
80,121,106
79,121,169
82,108,147
84,140,157
73,48,132
78,122,155
71,41,255
32,153,201
71,343,411
65,122,63
89,136,242
32,133,282
77,168,127
65,133,204
82,157,65
73,124,91
65,119,108
71,406,890
69,139,218
32,101,30
73,110,144
83,127,258
32,127,122
65,128,283
66,579,226
79,137,125
85,124,217
84,133,157
32,130,82
83,105,176
85,121,164
80,225,229
79,132,226
82,130,71
84,107,28
73,115,96
78,97,82
71,226,407
32,101,111
76,121,76
79,132,111
86,637,351
69,286,111
190,497,952
32,130,110
16,168,228
73,106,24
70,775,704
32,130,108
84,131,156
87,19,41
79,175,115
32,116,132
73,129,89
78,139,104
68,118,91
73,106,132
86,547,961
73,146,107
68,97,209
85,0,245
65,136,203
76,322,121
83,153,111
32,139,230
65,121,122
82,284,56
69,120,66
32,132,139
8,385,440
76,319,194
79,121,89
86,451,510
69,147,110
32,151,141
79,179,130
78,145,115
69,285,58
32,111,135
65,133,122
78,156,101
79,145,239
84,133,112
72,109,79
69,129,150
82,158,111
32,144,116
65,121,1246
78,100,194
68,100,218
32,118,119
65,138,792
82,284,11
69,160,81
32,59,108
68,116,104
69,161,121
68,104,92
73,130,196
67,122,410
65,174,184
84,133,147
69,61,121
68,94,73
32,109,111
84,115,157
79,164,87
32,107,78
67,149,197
8,233,601
77,167,231
65,145,153
8,487,691
76,117,329
79,139,245
78,160,133
71,669,370
32,135,105
84,129,119
69,111,126
82,155,128
77,87,239
32,138,122
82,142,126
69,120,95
76,134,108
65,153,153
84,108,111
73,124,95
79,134,83
78,125,97
83,135,122
72,108,103
73,132,96
79,169,79
80,229,3
32,138,147
8,118,139
80,92,225
32,111,111
84,92,194
72,127,84
69,114,101
89,137,233
32,109,108
83,161,139
72,106,73
79,160,62
85,150,87
76,134,130
68,116,183
32,115,268
72,153,87
65,133,213
86,327,198
69,103,65
32,104,67
84,89,371
72,122,80
69,27,135
32,138,186
65,112,320
66,499,929
73,167,187
76,154,305
73,107,148
84,127,348
89,40,191
32,138,144
84,122,156
79,206,82
