VK,HT,FT
16,458,-1
72,110,212
79,105,174
77,135,168
79,115,155
83,126,216
69,100,185
88,111,307
85,92,240
65,109,185
76,115,149
73,103,214
84,94,147
89,93,182
32,118,272
73,118,253
83,121,177
32,87,149
65,109,251
78,92,109
32,98,151
65,93,254
66,72,183
79,128,135
77,109,201
73,125,232
78,130,92
65,109,241
84,108,175
73,100,93
79,155,148
78,128,148
32,112,224
65,123,130
78,96,135
68,95,123
32,112,101
77,107,379
85,83,225
83,115,95
84,113,115
32,95,65
78,110,285
79,118,173
84,99,132
32,104,147
66,82,199
69,99,114
32,106,92
69,110,246
78,79,122
67,94,192
79,110,152
85,125,145
82,97,106
65,112,171
71,84,132
69,97,149
68,93,223
32,69,228
79,133,130
82,101,114
32,88,96
67,97,436
69,115,159
76,141,279
69,82,205
66,103,294
82,110,188
65,122,138
84,94,198
69,94,144
68,113,186
32,96,156
73,96,266
78,99,122
32,102,122
65,105,177
78,85,129
89,94,224
32,95,121
87,109,269
65,127,147
89,112,180
190,129,488
32,202,309
16,233,510
32,113,79
65,115,265
76,229,110
79,101,367
87,110,85
73,105,153
78,127,176
71,112,90
32,118,211
72,115,382
79,100,172
77,111,170
79,107,157
83,124,370
69,98,177
88,125,197
85,88,294
65,114,167
76,121,167
83,118,138
32,97,312
84,105,116
79,96,150
32,98,97
77,111,188
65,92,111
82,221,137
89,109,408
32,100,154
66,89,270
82,86,161
79,107,213
65,129,135
68,130,157
67,96,241
65,110,183
83,137,110
69,135,169
8,408,519
84,109,409
83,96,248
32,58,150
84,102,322
79,98,101
32,99,127
69,89,223
86,99,188
69,134,204
82,111,103
89,94,328
79,89,310
78,90,231
69,88,288
32,118,448
69,91,315
76,86,147
83,122,271
69,103,159
32,119,200
84,94,177
72,76,123
65,142,185
84,91,98
32,92,118
84,102,265
72,108,159
73,104,114
83,112,103
32,96,133
80,74,314
69,93,242
70,94,225
8,413,502
82,91,407
86,103,238
69,121,180
82,117,99
83,127,218
73,81,152
79,131,98
78,122,178
32,102,181
73,80,227
83,137,123
32,81,196
65,97,297
67,183,172
69,105,390
80,97,155
84,91,148
65,109,228
66,85,181
76,83,152
69,78,115
32,226,148
65,94,522
78,87,82
68,102,99
32,107,182
82,112,148
73,101,171
71,90,166
72,91,88
84,87,115
59,97,327
32,126,137
83,97,251
85,106,122
67,107,188
72,104,119
32,113,184
78,112,256
79,114,152
82,105,146
77,117,210
65,120,115
76,123,128
73,99,246
90,124,230
65,120,101
84,105,164
73,134,186
79,119,142
78,102,112
32,104,228
87,132,246
73,81,89
76,262,184
32,98,243
76,89,142
69,114,136
65,107,206
68,100,144
32,117,116
84,102,121
72,101,108
73,125,108
83,114,97
32,101,143
78,100,221
65,120,118
84,99,213
73,132,127
79,109,96
78,125,128
222,94,326
83,110,160
32,99,123
67,102,367
72,119,105
73,104,172
76,123,151
68,92,155
82,96,237
69,96,124
78,105,107
32,96,206
65,130,189
83,134,141
84,102,179
82,107,168
65,118,166
89,112,153
190,122,383
32,143,266
16,147,256
32,102,156
65,130,173
70,191,201
84,90,179
69,136,121
82,120,102
32,104,108
65,96,215
76,231,197
188,144,485
32,115,98
65,108,266
82,130,187
69,100,119
32,115,119
87,110,251
69,87,138
32,97,291
78,85,314
79,94,134
84,86,130
32,98,118
16,248,424
222,110,200
79,107,194
78,124,127
69,87,191
32,93,155
78,105,203
65,93,184
84,106,191
73,144,109
79,138,119
78,124,127
32,116,190
85,111,202
78,130,224
68,80,118
69,78,151
82,109,119
32,95,248
16,182,229
71,96,241
79,79,215
68,102,131
16,370,202
222,117,124
191,153,261
32,142,331
16,311,298
65,120,194
78,120,222
68,111,136
32,92,97
84,117,297
72,101,110
73,113,108
83,101,96
32,107,129
16,173,283
71,117,167
79,85,262
222,111,194
8,446,562
68,94,242
222,122,280
83,105,155
32,106,160
87,104,377
79,97,127
82,116,110
68,85,259
32,103,194
68,97,237
69,119,189
78,78,100
79,120,117
85,96,137
78,103,205
67,101,243
69,99,213
83,118,236
32,116,155
72,101,265
79,107,111
77,106,142
79,98,174
83,112,206
69,101,167
88,100,345
85,90,270
65,110,181
76,99,128
73,109,206
84,121,162
89,88,181
32,111,323
65,131,131
83,133,109
32,111,155
65,118,269
78,89,114
32,101,177
65,99,221
66,70,154
79,120,152
77,110,193
73,115,237
78,119,129
65,126,225
84,119,205
73,105,122
79,149,122
78,113,151
188,119,411
32,98,119
84,102,178
72,105,92
69,133,118
82,112,105
69,108,207
71,81,245
79,91,183
82,123,107
8,534,428
70,102,269
79,109,102
82,92,97
69,100,131
188,113,296
32,104,110
87,100,310
69,107,126
32,119,139
77,91,326
85,73,184
83,138,104
84,95,139
32,105,102
78,95,413
79,120,138
84,107,112
32,110,115
83,128,419
85,86,104
80,226,202
79,107,327
82,108,163
84,95,208
32,94,244
79,112,228
82,110,169
32,112,129
69,119,232
78,84,147
67,84,161
79,97,159
85,115,153
82,94,94
65,89,192
71,92,131
69,91,189
32,98,101
83,145,240
85,85,117
67,127,199
72,116,122
32,105,181
66,81,346
69,99,167
72,92,224
65,111,159
86,94,182
73,122,132
79,89,169
82,120,162
190,91,618
32,96,353
16,313,255
73,111,137
70,112,269
32,123,124
65,124,230
8,375,528
71,95,487
65,119,188
89,100,192
32,108,222
67,100,353
79,93,98
85,96,126
80,133,179
76,116,154
69,108,142
83,106,199
32,108,166
65,112,109
82,100,235
69,110,109
32,101,109
77,114,300
65,111,136
82,276,220
73,89,266
69,89,157
68,89,201
32,96,380
8,801,684
188,106,397
32,101,168
84,106,240
72,107,81
73,129,130
83,113,146
32,96,108
87,125,410
73,89,103
76,251,162
32,108,316
79,106,268
78,110,108
76,125,152
89,92,171
32,116,111
77,86,303
65,86,154
75,99,165
69,119,128
32,83,209
73,108,301
84,90,147
32,93,106
87,118,203
65,110,154
83,119,123
73,139,158
69,118,190
82,117,108
32,98,235
70,86,281
79,93,118
82,102,119
32,98,117
84,97,123
72,88,102
69,92,69
77,114,162
32,109,116
84,125,157
79,109,82
32,97,131
72,99,351
65,101,106
86,106,166
69,107,119
32,99,119
84,81,200
72,97,105
73,145,131
69,99,148
82,112,88
32,107,75
79,115,214
87,133,194
78,144,127
32,108,163
8,827,646
69,126,623
73,103,153
82,101,178
32,90,170
79,130,156
87,104,158
72,96,211
8,348,400
78,122,575
32,128,153
67,102,325
72,105,140
73,90,158
76,96,144
68,110,147
82,127,213
69,129,161
78,98,165
188,107,234
32,119,149
65,96,278
78,90,130
68,82,129
32,111,110
73,101,230
84,101,174
32,130,77
83,100,239
8,365,500
73,88,488
83,114,117
32,89,106
78,125,245
79,109,116
84,93,147
32,98,222
82,105,308
73,89,107
71,85,165
72,84,94
84,85,109
32,101,74
84,110,176
79,125,91
32,110,198
82,102,263
65,114,142
73,90,154
83,117,130
69,95,146
32,103,134
67,104,419
72,114,159
73,112,221
76,123,182
68,100,107
82,111,221
69,117,126
78,121,152
32,93,150
73,96,464
78,128,118
32,120,131
83,233,269
85,105,133
67,128,199
72,115,109
32,131,111
65,139,163
32,98,123
72,94,373
79,114,163
77,127,187
69,95,152
190,104,340
32,167,271
16,243,286
70,94,187
85,103,176
82,116,143
84,89,204
72,96,86
69,94,89
82,150,123
77,137,155
79,96,173
82,116,76
69,97,109
38,240,600
37,985,542
8,533,461
69,138,299
40,561,550
35,328,663
188,128,321
32,111,106
65,120,115
76,177,160
79,104,299
87,129,83
73,114,145
78,132,126
71,115,95
32,113,225
71,99,513
65,139,191
89,118,119
83,106,138
32,81,159
84,84,251
79,99,118
32,100,103
77,107,255
65,112,86
82,248,232
89,104,353
32,100,297
87,120,283
73,67,113
76,289,227
32,102,304
68,93,167
69,103,216
86,90,166
65,107,154
76,113,152
85,88,135
69,100,127
32,92,137
72,107,296
69,119,135
82,104,124
69,109,130
82,139,144
79,111,343
83,103,368
69,79,233
88,100,218
85,98,115
65,121,195
76,97,128
32,121,213
77,109,342
65,104,95
82,224,195
73,105,254
65,97,142
71,111,154
69,134,107
188,96,438
32,99,108
65,130,124
78,92,91
68,117,102
32,104,96
87,116,207
73,76,150
76,235,216
32,111,313
66,94,235
69,96,119
32,96,182
84,106,358
72,90,186
69,96,93
32,87,148
69,114,221
78,100,160
68,126,222
32,97,97
79,110,319
70,87,185
32,78,186
80,110,257
82,103,129
79,102,155
80,140,161
69,118,235
82,112,92
32,118,227
83,105,419
8,214,505
70,111,235
65,130,165
77,105,106
73,87,171
190,149,420
89,98,177
32,100,171
8,659,433
73,89,962
76,175,216
89,93,195
32,106,113
83,118,239
84,105,182
82,88,206
85,111,116
67,108,182
84,101,217
85,106,238
82,106,209
69,98,105
32,116,218
65,128,268
83,142,132
32,106,122
87,138,216
69,119,128
32,99,171
75,109,179
78,110,256
79,110,146
87,119,258
32,101,113
73,120,139
84,79,183
190,208,300
32,181,137
16,235,369
32,83,160
84,97,164
72,89,89
73,113,104
83,93,95
32,110,99
77,93,223
85,72,217
83,126,76
84,109,199
32,99,104
66,89,219
69,80,106
32,106,142
80,95,199
38,865,963
84,117,193
69,119,141
39,456,431
8,362,377
40,137,63
82,99,107
69,89,131
86,91,254
69,128,219
78,129,228
84,98,148
69,127,223
68,106,201
190,90,228
32,123,197
