VK,HT,FT
16,427,-1
84,109,195
72,116,226
69,116,168
82,131,121
69,123,139
32,102,147
65,120,196
82,117,135
69,113,129
32,109,163
83,116,262
69,87,161
82,96,129
8,590,442
86,99,326
69,117,152
82,113,129
65,112,220
76,134,133
32,112,234
70,85,266
85,85,159
78,113,207
68,91,134
65,109,173
77,103,140
69,102,128
78,98,131
84,98,112
65,123,167
76,111,119
32,108,215
72,99,256
85,84,141
77,86,213
65,84,127
78,97,99
32,92,192
82,119,228
73,98,131
71,89,163
72,108,103
84,93,137
83,115,196
32,110,197
65,129,189
78,100,109
68,107,113
32,102,109
77,106,360
65,122,133
82,272,196
73,102,326
65,111,132
71,108,163
69,112,141
32,99,163
83,101,244
72,91,101
79,121,133
85,98,120
76,111,174
68,98,122
32,105,116
66,92,164
69,102,146
32,110,114
79,104,234
78,106,172
69,97,142
32,103,151
79,91,301
70,87,181
32,92,118
84,93,119
72,94,91
69,93,111
77,101,184
190,104,316
32,139,213
16,325,307
84,99,176
87,108,197
79,114,121
32,113,119
67,115,302
8,90,343
83,112,354
8,318,496
67,104,355
79,112,124
78,107,133
83,101,225
69,112,178
78,117,155
84,95,146
73,97,154
78,107,92
71,95,109
32,107,144
65,106,168
68,117,217
85,100,148
76,115,193
84,92,144
83,114,205
32,109,171
87,113,206
72,101,127
79,127,132
32,104,150
76,97,267
79,95,200
86,90,155
69,97,170
32,107,115
69,88,202
65,109,188
67,110,191
72,103,149
32,111,136
79,104,170
84,105,135
72,107,101
69,132,108
82,117,92
32,111,124
83,109,227
72,92,111
79,115,143
85,100,117
76,111,174
68,98,122
32,105,116
66,92,164
69,102,146
32,110,114
71,91,176
73,104,149
86,101,132
69,113,155
78,111,133
32,113,137
69,94,187
81,101,312
85,100,136
65,117,210
76,130,207
32,121,146
84,96,153
82,102,183
69,112,116
65,128,177
84,107,166
77,104,289
69,100,166
78,93,105
84,92,120
32,105,114
85,92,281
78,118,201
68,84,157
69,145,157
82,111,100
32,99,201
84,99,230
72,85,100
69,101,97
32,92,87
76,105,168
65,119,98
87,119,188
190,104,316
32,139,213
16,325,307
65,111,145
83,125,159
32,102,144
77,113,251
65,120,109
82,358,206
73,102,326
65,111,132
71,108,163
69,112,141
32,99,163
73,100,218
83,101,114
32,97,108
79,118,302
8,292,395
78,105,419
79,125,132
84,99,120
32,103,117
83,111,237
73,123,137
77,122,155
80,126,220
76,124,176
89,102,184
32,130,141
83,112,316
65,113,184
77,95,131
69,95,125
32,100,126
8,604,577
84,97,645
72,93,112
69,122,116
32,123,109
83,108,175
65,115,162
77,98,132
69,97,120
32,100,126
82,110,200
73,102,134
71,90,176
72,112,104
84,93,137
83,115,196
32,110,197
84,108,181
79,122,96
32,113,106
65,111,190
84,121,155
69,113,163
78,97,227
68,97,138
32,88,170
84,101,171
79,108,106
32,112,121
84,105,236
72,94,108
69,102,110
83,144,226
69,114,167
32,103,158
73,105,273
83,109,128
85,112,283
69,103,144
83,114,198
32,111,158
65,117,238
83,125,161
32,114,183
83,105,204
84,98,204
82,109,223
65,111,164
73,94,143
71,95,160
72,99,196
84,95,180
32,99,284
82,131,275
8,430,529
80,104,497
69,110,168
79,98,134
80,117,161
76,115,190
69,107,131
32,105,176
68,120,222
79,106,156
190,90,306
32,139,213
16,325,307
79,108,159
80,135,183
79,101,353
83,109,166
73,79,226
84,93,198
73,131,116
79,121,120
78,111,125
32,100,201
84,116,344
79,139,118
32,125,223
77,100,201
82,129,178
8,430,529
65,118,421
82,136,152
73,102,321
65,110,132
71,108,163
69,112,141
32,99,163
69,94,237
81,101,312
85,100,136
65,117,210
76,130,207
73,108,191
84,107,143
89,95,134
32,119,344
73,100,236
83,128,138
32,94,117
70,107,296
82,103,190
69,241,179
81,98,305
85,96,130
69,102,144
78,100,168
84,95,146
76,100,202
89,89,179
32,107,173
66,84,286
65,128,137
83,136,163
69,120,191
68,123,221
32,100,121
85,85,310
80,104,199
83,124,156
8,318,496
79,110,512
78,107,116
32,113,187
82,119,228
69,113,113
76,115,136
73,89,169
71,96,223
73,134,139
79,148,142
78,127,131
8,360,513
85,88,490
83,113,130
32,98,159
67,102,358
79,106,92
78,107,121
86,88,221
73,106,188
67,108,187
84,104,251
73,109,108
79,123,117
78,105,126
83,108,186
188,91,457
32,94,163
65,106,180
78,95,90
68,97,72
32,99,116
73,96,152
78,117,132
32,103,133
84,104,158
72,101,95
69,106,93
32,98,105
16,255,257
85,93,196
78,115,226
73,119,138
84,98,115
69,92,170
68,101,205
32,108,110
16,199,203
83,114,132
84,98,201
65,133,151
84,142,204
69,131,175
83,129,165
188,102,296
32,101,130
84,99,285
72,100,110
69,103,119
32,103,140
83,106,175
69,87,161
80,103,182
65,114,172
82,99,148
65,129,409
84,109,197
73,138,122
79,129,115
78,124,154
32,112,179
79,117,184
70,115,124
32,102,98
67,119,451
72,95,112
85,102,158
82,90,153
67,121,244
72,109,166
32,132,145
65,111,149
78,93,170
68,101,119
32,100,121
83,106,199
84,93,205
65,115,162
84,121,132
69,116,125
32,114,239
76,112,227
69,103,117
71,120,174
65,135,200
76,124,187
89,100,336
32,108,144
80,106,293
82,101,153
79,113,143
72,97,148
73,114,138
66,96,197
73,100,212
84,104,178
83,113,198
32,117,142
82,108,313
69,109,115
76,115,136
73,89,169
71,96,223
73,134,139
79,148,142
85,103,139
83,100,108
32,106,126
68,101,279
79,108,124
71,94,246
77,107,218
65,111,142
32,100,147
70,91,194
82,103,190
79,115,79
77,124,101
32,113,130
66,91,246
69,112,151
67,111,208
79,117,101
77,102,91
73,171,450
78,121,205
71,99,116
32,103,148
76,107,228
65,121,118
87,119,188
190,104,316
32,139,213
16,325,307
73,101,185
84,93,231
32,86,151
73,98,182
83,96,117
32,99,132
73,103,235
77,229,164
80,107,228
69,110,168
82,110,118
65,112,220
84,109,197
73,138,122
86,98,204
69,94,169
32,105,132
84,107,185
72,102,102
65,117,102
84,100,131
32,104,148
16,317,342
65,121,140
77,110,218
69,112,137
82,103,93
73,107,145
67,116,159
65,117,132
32,89,297
70,91,194
79,103,103
76,111,225
