VK,HT,FT
16,223,-1
84,108,160
72,87,116
69,109,109
82,68,129
69,141,175
32,111,46
65,104,258
82,129,200
69,189,105
32,96,152
83,135,43
69,68,200
86,86,160
69,184,95
82,122,135
65,130,191
76,232,63
32,56,106
70,50,26
85,68,116
78,117,150
68,154,152
65,136,213
77,125,80
69,134,262
78,96,120
84,95,122
65,98,89
76,189,64
32,100,95
72,122,211
85,57,47
77,79,190
65,81,80
78,63,171
32,107,98
82,82,90
73,156,96
71,54,81
72,157,95
84,112,111
83,144,408
32,119,62
65,182,125
78,119,87
68,63,71
32,178,82
77,128,142
65,130,148
82,240,144
73,80,248
65,71,133
71,159,198
69,104,53
32,114,103
83,83,171
72,101,53
79,159,104
85,104,160
76,114,461
68,72,143
32,133,45
66,91,106
69,104,176
32,128,80
79,91,110
78,67,110
69,65,110
32,104,545
70,38,290
8,209,284
32,116,1141
73,70,838
70,122,96
32,129,100
84,84,157
8,650,443
79,94,1493
70,104,227
32,112,72
84,76,60
72,64,110
69,119,206
77,63,192
190,128,734
32,120,1173
16,130,432
84,97,80
87,136,88
79,93,88
32,100,135
83,135,1099
79,73,72
78,110,166
8,643,539
67,127,260
79,198,80
78,103,90
83,144,161
69,124,84
78,113,117
84,79,48
73,49,103
78,88,82
71,98,128
32,79,69
65,82,231
68,72,351
85,175,152
76,128,131
84,74,102
83,120,200
32,112,93
87,58,565
72,78,62
79,90,380
32,112,160
76,70,101
79,73,176
86,36,94
69,98,107
32,96,145
69,112,266
65,112,219
67,2,125
72,133,358
32,128,69
79,61,105
84,120,67
72,118,62
69,133,92
82,141,56
32,78,80
83,112,137
72,105,121
79,144,160
85,169,96
76,74,209
68,104,104
32,120,158
66,48,126
69,112,164
32,134,120
71,72,128
73,110,76
86,79,155
69,153,115
78,30,80
32,105,108
69,92,233
81,165,205
85,80,149
65,136,154
76,31,96
32,128,101
84,117,127
82,144,161
69,99,137
65,183,96
77,169,138
84,111,79
8,536,223
84,71,86
77,98,705
69,67,142
78,95,113
84,102,134
32,92,126
85,94,346
78,61,200
68,70,527
69,60,111
82,136,144
32,96,5
84,69,135
72,70,68
69,91,51
32,67,58
76,74,169
65,108,55
87,60,341
190,108,170
32,128,184
16,547,37
65,103,136
83,264,82
32,45,128
77,120,172
65,127,104
82,579,272
73,112,233
65,81,144
71,128,368
69,104,176
32,112,96
73,120,123
83,96,336
32,80,151
78,52,107
79,165,104
84,112,57
32,120,90
83,104,34
73,103,178
77,142,65
80,120,235
76,118,165
89,112,25
32,106,120
65,56,79
66,80,207
79,103,165
85,101,108
84,93,20
32,87,157
76,133,451
79,87,177
86,126,207
69,84,189
188,64,56
66,97,203
85,84,77
84,99,135
8,426,248
32,136,284
66,69,168
85,69,88
84,112,115
8,85,433
32,80,1401
66,64,135
85,112,153
84,76,292
32,108,175
65,88,152
66,104,50
79,128,74
85,144,132
84,89,99
32,124,104
77,171,207
79,139,505
78,176,71
69,54,72
89,153,162
32,160,124
65,109,64
78,56,112
68,103,154
32,68,89
86,72,372
73,71,87
83,113,447
73,111,85
84,69,195
65,143,170
84,130,112
73,164,162
79,95,112
78,144,104
32,173,112
82,127,89
73,120,88
71,107,98
72,143,151
84,76,130
83,141,181
32,111,318
65,152,107
78,80,141
68,193,89
32,112,128
69,166,428
83,110,96
84,145,288
65,109,133
84,63,79
69,142,248
32,110,201
82,90,401
73,101,289
71,103,457
72,130,111
84,86,145
83,123,97
190,92,261
32,107,77
8,1094,618
188,153,505
32,95,62
73,84,119
84,45,103
32,120,75
73,96,80
83,100,90
32,81,151
73,85,218
77,103,5
79,149,127
82,100,334
65,91,182
76,55,139
32,104,749
84,87,184
79,112,104
32,128,97
68,86,87
69,87,166
78,110,102
89,71,231
32,143,110
65,144,82
32,100,118
80,39,55
69,112,80
82,103,158
83,85,201
79,175,120
78,145,147
32,105,96
84,158,40
72,65,117
69,71,50
32,136,149
83,48,151
65,135,143
77,97,104
69,112,72
32,79,124
82,106,93
73,144,99
71,80,118
72,120,70
84,93,107
83,90,58
32,140,72
84,84,115
79,98,134
32,136,131
65,122,133
84,93,149
69,219,120
78,100,104
68,105,144
32,49,119
84,67,144
79,97,119
32,169,86
84,72,69
72,104,299
69,130,93
83,83,349
69,121,84
32,120,96
73,105,158
83,104,72
85,125,258
69,120,140
83,96,126
32,102,95
65,153,375
83,84,302
32,134,138
83,64,195
84,80,197
82,96,204
65,133,235
73,63,88
71,101,120
72,106,307
84,137,204
32,88,96
80,3,274
69,145,89
79,100,90
80,99,4
76,123,198
69,111,138
32,100,123
68,71,191
79,1,67
190,123,331
32,239,185
16,95,17
79,78,11
80,107,853
79,96,313
83,102,149
73,8,234
84,97,242
73,192,105
79,113,91
78,130,90
83,73,80
8,104,252
32,96,995
84,111,202
79,119,63
32,112,105
77,194,207
65,99,105
82,335,110
73,96,213
65,112,107
71,72,82
69,98,87
32,120,181
69,74,73
81,80,215
85,75,104
65,98,142
76,73,118
73,109,170
84,113,122
89,71,138
32,138,889
73,80,119
83,17,91
32,88,298
70,236,120
82,132,174
69,84,338
81,80,239
85,86,193
69,91,100
78,120,263
84,72,80
76,132,365
89,97,52
32,47,96
66,6,186
65,135,80
83,99,126
69,168,162
68,130,198
32,99,173
85,71,932
80,104,164
83,143,253
8,72,643
73,104,358
78,91,198
8,273,354
79,88,926
78,86,136
32,72,544
82,137,84
69,160,48
76,152,79
73,76,160
71,79,207
73,88,96
79,5,84
85,120,71
83,51,114
32,116,229
67,62,150
79,139,65
78,101,120
86,56,234
73,103,105
67,58,140
84,88,153
73,102,121
79,98,153
78,63,175
83,113,80
188,37,722
32,82,54
65,94,77
78,103,85
68,104,83
32,120,83
73,10,144
78,144,80
32,114,103
84,42,112
72,58,176
69,171,56
32,120,47
16,299,134
85,96,110
78,135,20
73,88,72
84,90,42
69,14,389
68,98,191
32,123,31
16,149,212
83,112,182
84,92,141
65,23,75
84,186,285
69,164,113
83,146,126
188,100,161
32,102,104
84,96,63
72,118,163
69,124,149
32,123,87
83,128,111
69,79,107
80,73,362
69,80,294
82,152,218
65,128,191
84,182,195
73,64,144
79,214,94
78,112,197
32,126,109
79,129,40
70,118,112
32,101,179
67,100,1298
85,104,208
82,79,78
67,124,196
72,94,104
8,96,361
72,90,203
85,114,130
82,87,88
67,72,207
72,111,106
32,64,669
65,88,97
78,140,154
68,127,107
32,56,151
83,112,144
84,112,111
65,136,175
84,122,101
69,146,145
32,110,128
76,60,56
69,63,295
71,153,134
65,87,260
76,93,60
89,79,475
32,100,45
80,92,109
82,151,246
79,128,219
72,40,118
73,199,80
66,51,94
73,80,99
84,80,136
83,75,136
32,119,103
82,104,107
69,88,71
76,85,90
73,85,80
71,72,99
73,63,90
79,110,236
85,104,182
83,54,78
32,165,83
68,142,210
79,160,112
71,143,254
77,88,516
65,113,72
32,98,127
70,97,157
82,120,176
79,150,106
77,107,81
32,63,106
66,74,255
69,80,143
67,80,185
79,54,104
77,126,113
73,71,275
78,100,159
71,93,162
32,184,494
76,152,170
65,139,58
87,131,87
190,119,432
32,304,217
16,325,287
73,64,184
84,104,205
32,65,114
73,94,166
83,56,103
32,100,147
73,104,82
77,518,105
80,169,199
69,110,168
82,188,72
65,123,356
84,69,111
73,105,102
71,153,95
86,120,128
69,199,128
32,106,97
8,1488,278
86,120,347
69,180,166
32,127,219
84,98,233
72,73,70
65,163,107
84,170,80
32,56,96
16,123,679
65,163,181
77,63,456
69,126,112
82,94,94
73,163,134
67,153,163
65,100,357
32,49,329
70,143,189
79,95,30
76,120,168
79,88,298
87,92,41
83,98,105
32,70,119
84,96,54
72,96,120
69,121,93
32,65,85
76,146,87
69,82,102
65,78,205
68,26,107
32,88,140
79,104,134
70,81,128
32,176,26
79,173,214
84,154,193
72,96,181
69,146,139
82,109,89
32,115,69
78,92,656
65,100,145
84,125,219
73,110,114
79,192,103
78,90,72
83,75,195
32,72,27
16,339,308
57,57,129
65,125,106
83,55,111
32,88,110
87,128,153
69,55,140
76,231,123
32,134,122
65,138,0
83,66,236
32,97,104
79,120,436
85,138,80
82,85,42
32,103,253
79,119,197
87,86,166
78,79,84
32,111,51
77,72,427
79,111,261
82,81,48
69,110,89
32,54,108
80,112,76
82,82,110
69,112,168
8,324,426
79,135,428
71,96,152
82,144,203
69,208,135
83,100,224
73,82,44
86,110,96
69,77,314
32,126,127
83,72,81
84,66,185
65,112,121
84,82,141
69,88,104
83,191,104
16,65,338
48,72,192
32,93,89
65,87,143
78,78,49
68,123,103
32,71,96
71,87,211
73,107,125
86,80,162
69,102,193
32,127,123
69,84,10
86,83,179
69,120,123
82,93,81
89,78,215
32,92,149
16,2,127
65,89,79
77,116,213
69,113,48
82,77,87
73,63,118
67,172,89
65,110,103
78,109,95
32,56,120
84,86,182
72,128,97
69,174,192
32,137,99
69,95,376
81,96,215
85,164,151
65,104,136
76,127,104
32,153,142
82,87,157
73,105,14
71,80,127
72,92,101
84,81,75
83,128,92
32,118,1049
65,137,125
76,92,104
32,123,298
68,81,143
69,184,114
83,116,149
69,128,125
82,59,25
86,136,182
69,132,141
190,101,377
32,414,59
