VK,HT,FT
16,409,-1
73,107,175
32,105,247
83,109,243
85,85,139
80,231,225
79,102,287
82,86,115
84,86,170
71,97,194
8,210,517
32,101,597
71,97,313
65,119,165
89,97,176
77,105,216
8,214,516
32,101,597
77,221,392
65,111,119
82,255,186
73,94,308
65,113,130
71,103,170
69,107,129
190,106,274
32,136,175
16,292,227
84,98,150
72,83,152
69,115,105
82,145,119
69,121,109
32,110,142
65,124,149
82,129,135
69,114,91
32,105,106
83,113,151
69,105,172
86,97,212
69,111,160
82,99,120
65,122,228
76,127,122
32,120,177
82,93,192
69,106,123
65,118,157
83,103,186
79,104,112
78,108,125
83,102,214
32,97,169
87,113,258
72,104,155
89,107,203
32,108,153
16,269,334
73,101,150
32,114,180
83,109,243
85,85,139
80,231,225
79,102,287
82,86,115
84,86,170
8,310,464
80,103,586
79,103,255
82,93,117
84,87,181
32,95,183
71,102,352
65,112,158
89,97,149
32,96,151
77,107,227
65,111,131
82,263,198
73,95,298
65,113,130
71,103,170
69,107,129
190,106,274
32,136,175
16,292,227
69,92,168
86,89,253
17,736,392
65,117,169
16,329,334
73,102,159
32,112,198
83,109,243
85,85,139
80,231,225
79,102,287
82,86,115
84,86,170
32,96,189
71,102,352
65,112,158
89,97,149
32,96,151
77,107,227
65,111,131
82,263,198
73,95,298
65,113,130
71,103,170
69,107,129
32,101,156
65,117,164
78,93,146
68,96,118
32,96,122
84,93,140
72,84,95
69,99,105
82,123,106
69,104,131
32,110,142
65,124,149
82,129,135
69,114,91
32,105,106
83,113,151
69,105,172
86,97,212
69,111,160
82,99,120
65,122,228
76,127,122
32,120,177
82,93,192
69,106,123
65,118,157
83,103,186
79,104,112
78,108,125
83,102,214
32,97,169
87,113,258
72,104,155
89,107,203
190,94,445
32,154,244
16,328,332
73,105,153
8,308,513
16,372,536
70,105,234
73,99,139
82,104,128
83,121,221
84,101,148
32,98,154
65,116,269
78,101,122
68,100,105
32,159,137
70,111,151
79,102,104
82,93,90
69,113,113
77,97,145
79,115,160
83,115,250
84,115,128
188,110,269
32,105,137
84,98,249
72,87,99
69,103,99
32,97,94
77,104,243
8,128,454
79,106,510
78,103,133
69,96,151
32,99,178
79,85,162
70,98,131
32,93,113
84,104,126
72,88,95
69,100,98
32,104,102
67,108,199
72,77,108
73,94,159
69,108,154
70,111,167
32,102,127
67,106,257
79,113,103
77,161,170
79,115,177
8,318,453
80,103,586
79,103,255
78,108,149
69,96,151
78,97,170
84,93,122
83,109,168
32,111,133
87,113,258
72,104,155
89,107,203
32,108,153
80,102,315
69,119,148
79,98,115
80,108,169
76,108,163
69,103,115
32,108,159
65,131,218
80,222,169
8,204,474
79,106,510
80,130,158
79,98,377
83,127,185
69,104,179
32,107,210
71,107,252
65,116,162
89,100,190
32,98,157
77,107,227
65,111,131
82,263,198
73,95,298
65,113,130
71,103,170
69,107,129
32,101,156
73,105,217
83,111,119
32,92,119
68,88,273
85,95,155
69,101,141
32,103,150
84,90,148
79,101,116
32,101,146
16,302,307
222,119,113
82,131,191
69,112,126
76,108,158
73,89,181
71,94,168
73,123,134
85,96,171
67,96,166
8,265,434
79,106,510
85,104,127
67,96,166
32,96,165
66,88,249
69,105,149
76,113,180
8,294,522
83,113,328
32,99,146
66,82,272
69,137,145
76,113,180
73,104,159
69,109,150
70,111,167
69,117,279
8,303,481
83,114,304
16,237,284
222,115,117
32,103,227
8,520,559
190,104,680
32,110,288
16,490,283
65,118,152
67,121,193
79,111,112
82,215,204
68,102,237
73,103,161
78,116,105
71,89,90
32,113,152
84,107,185
32,103,149
84,99,182
72,93,101
69,102,118
32,95,130
8,560,473
79,95,549
32,103,194
84,103,215
72,93,110
69,98,106
83,113,215
69,102,127
32,96,145
82,96,248
69,97,118
76,108,165
73,88,189
71,94,171
73,123,134
79,114,165
85,110,137
83,95,117
32,91,152
70,93,259
79,92,146
8,318,453
61,221,408
8,388,502
16,344,579
84,106,235
72,95,175
79,112,151
83,102,108
69,98,143
32,110,116
87,105,246
72,94,103
79,103,143
32,104,194
83,111,224
85,85,139
8,253,476
79,106,510
80,130,158
79,98,377
83,127,185
69,104,179
32,107,210
16,277,260
71,123,229
8,210,517
71,98,348
65,130,165
89,88,195
32,98,170
77,109,232
65,111,131
82,263,198
73,95,298
65,113,130
71,103,170
69,107,129
32,101,156
68,95,288
85,95,155
69,101,141
32,103,150
84,90,148
79,101,116
17,736,392
65,117,169
16,329,334
