VK,HT,FT
16,815,-1
73,173,99
32,127,130
84,17,134
72,130,110
73,18,126
78,123,149
75,153,211
32,104,400
84,105,123
72,115,10
65,108,104
84,111,82
32,101,80
73,125,140
70,110,128
32,143,91
71,71,136
65,161,192
89,161,13
32,149,116
67,116,505
79,208,28
77,95,170
80,150,201
76,107,232
8,84,366
85,136,99
80,164,137
76,100,226
69,115,38
83,88,209
32,129,107
87,115,98
65,116,195
78,118,123
84,84,569
32,116,119
84,77,808
79,28,79
32,27,118
71,73,149
69,123,231
84,75,145
32,114,125
77,103,193
65,132,93
82,1147,79
73,80,263
69,95,107
68,110,241
188,125,1008
32,112,131
84,99,176
72,89,78
69,117,95
89,149,86
32,156,85
83,131,805
72,92,121
79,151,157
85,136,93
76,109,140
68,117,130
32,135,49
66,76,157
69,106,193
32,144,245
65,135,128
76,252,140
79,92,49
87,177,131
69,132,150
68,266,237
32,88,88
84,129,141
79,124,79
32,113,115
68,76,22
79,143,83
32,156,96
84,112,230
72,89,50
65,139,120
84,127,96
190,101,330
32,309,218
16,166,454
87,118,139
72,103,96
79,157,164
32,114,156
73,126,311
83,253,81
32,145,704
73,112,132
84,94,122
32,88,141
72,117,123
85,115,85
82,254,354
84,131,569
73,163,209
78,34,137
71,89,55
16,207,752
191,151,739
32,131,167
16,187,585
73,141,57
32,131,131
68,80,164
79,140,74
78,93,116
222,151,118
84,92,96
32,96,55
84,86,168
72,67,115
73,45,125
78,129,115
75,154,106
32,483,228
73,100,143
84,106,150
32,122,40
73,133,70
83,98,118
32,141,105
72,80,301
85,126,117
82,112,36
84,92,76
73,89,295
78,145,176
71,88,141
32,115,169
65,115,57
78,98,146
89,101,194
79,120,119
78,112,266
69,69,110
190,107,203
32,112,289
16,213,295
87,111,316
72,86,111
65,113,117
84,60,73
32,165,165
68,102,345
79,58,122
69,112,124
83,112,168
32,131,312
73,95,356
84,96,382
32,123,123
77,102,213
65,134,10
84,226,99
69,110,141
82,130,99
32,127,157
73,87,35
70,125,114
32,138,135
73,97,227
84,93,152
32,137,130
73,107,202
83,121,86
32,132,102
65,156,154
32,140,226
77,86,189
65,124,99
76,297,121
69,81,392
32,138,114
65,123,100
78,111,105
68,97,149
32,128,141
70,88,81
69,129,169
76,295,133
8,97,342
77,106,326
65,115,52
76,114,145
69,113,143
32,116,215
79,95,198
82,115,56
32,118,137
65,144,60
32,123,121
8,532,91
32,118,90
50,653,518
32,104,48
8,518,371
84,97,133
87,101,331
79,120,80
32,118,145
77,84,167
65,111,91
73,126,99
76,134,234
69,106,63
8,260,289
76,124,135
69,106,144
83,105,212
32,147,12
79,106,170
82,95,134
32,97,92
84,75,161
79,34,19
87,138,139
32,117,88
8,371,735
87,92,958
79,54,130
32,132,93
70,101,179
69,103,176
77,127,339
65,135,93
76,99,136
69,86,416
83,97,202
32,116,80
87,138,469
72,97,161
79,151,109
32,138,138
87,93,182
65,133,184
78,118,105
84,112,119
32,92,136
84,109,102
79,123,98
32,116,53
71,101,298
69,82,170
84,127,169
32,159,124
77,104,199
65,142,92
82,256,139
73,86,264
69,95,105
68,91,299
190,91,549
32,348,176
8,577,710
68,109,118
16,315,283
191,310,942
32,110,90
16,209,378
73,106,94
70,132,57
32,129,85
84,125,94
72,98,87
69,82,167
89,138,9
32,153,103
72,106,107
65,127,91
86,68,143
69,128,124
32,121,124
67,94,153
72,87,108
79,130,138
83,158,104
69,105,195
78,130,326
32,141,128
65,132,184
83,97,223
32,132,847
65,145,81
32,86,149
67,106,199
79,129,148
85,83,89
80,122,119
76,109,232
69,26,134
32,82,233
84,101,764
79,93,186
32,114,132
87,118,257
65,164,459
78,95,119
84,100,150
32,92,248
84,106,25
79,143,68
32,105,11
83,150,119
80,138,169
69,84,265
78,132,295
68,100,139
32,115,11
84,109,337
72,89,87
69,106,157
32,114,147
82,119,110
69,137,124
83,83,207
84,143,106
32,123,76
79,166,137
70,105,932
32,133,94
84,106,192
72,103,101
69,72,67
73,159,134
82,132,111
32,72,120
76,103,255
73,153,162
86,55,73
69,107,119
83,81,174
32,140,131
84,109,145
79,130,94
71,85,195
69,136,193
84,88,147
72,104,84
69,97,90
82,130,101
32,108,140
65,135,92
83,141,146
32,115,133
65,149,145
32,129,136
77,134,513
65,131,145
82,244,143
73,79,280
69,103,111
68,95,206
32,162,144
67,117,296
79,163,148
77,109,185
8,248,747
85,101,77
80,166,147
76,98,234
69,104,144
188,129,381
32,160,111
84,91,809
72,103,90
69,120,148
78,141,94
32,47,90
83,135,187
72,80,104
8,692,1013
84,94,46
72,92,87
69,118,169
89,112,53
32,134,77
83,107,430
72,103,124
79,19,152
85,76,63
76,129,145
68,55,176
32,139,91
66,98,192
69,106,365
32,111,121
65,123,160
76,244,145
79,93,315
87,20,102
69,280,132
68,266,252
32,115,67
84,89,248
79,109,82
32,100,128
68,11,226
79,121,38
32,137,111
84,94,150
72,105,93
65,121,115
84,92,111
190,91,186
32,324,143
16,249,512
73,135,103
84,94,143
32,139,93
83,75,155
72,92,123
79,145,189
85,91,99
76,130,124
68,126,30
78,97,156
222,153,142
84,95,204
32,112,109
77,104,333
65,158,104
84,173,81
69,103,22
82,115,81
32,121,111
73,94,263
70,136,67
32,134,166
84,108,205
72,98,133
69,117,77
89,99,148
32,155,82
65,118,196
