VK,HT,FT
16,155,-1
73,61,106
32,91,63
83,82,179
84,99,196
82,52,127
79,41,117
78,119,264
71,871,24
76,144,152
89,83,136
32,47,184
79,93,137
80,177,877
79,102,146
83,67,700
69,77,263
32,120,233
71,948,381
65,89,23
89,113,130
32,108,249
77,93,130
65,39,145
82,33,182
73,86,153
65,105,74
71,841,985
69,45,178
190,8,77
32,128,120
16,358,224
73,76,182
32,87,255
66,785,738
69,23,213
76,104,253
73,57,256
69,81,98
86,555,50
69,62,256
32,92,272
84,94,98
72,78,244
65,87,256
84,82,26
32,98,294
77,110,72
65,91,0
82,81,186
73,95,8
65,65,264
71,884,802
69,95,168
32,112,249
73,97,131
83,114,268
32,116,214
65,96,58
32,91,50
83,184,148
65,105,195
67,152,204
82,129,160
69,80,286
68,98,202
32,164,164
83,112,102
65,128,405
67,61,231
82,116,206
65,98,317
77,72,148
65,105,203
78,76,28
8,142,459
69,57,141
78,117,73
84,81,253
32,84,272
73,101,0
78,89,96
86,254,550
79,65,198
76,117,101
86,363,592
69,62,129
68,53,39
32,145,69
84,112,50
72,71,154
69,88,166
32,134,194
67,184,238
79,93,250
77,91,86
73,68,293
84,90,104
69,53,237
68,115,124
32,105,83
82,110,196
69,67,128
76,40,160
65,103,24
84,119,120
73,107,38
79,76,44
78,102,0
83,215,370
72,97,110
73,137,60
80,335,781
32,90,269
66,313,577
69,104,208
84,57,184
87,980,322
69,25,184
78,82,258
32,109,478
65,88,151
32,107,230
77,92,142
65,78,195
78,98,139
32,93,291
65,107,226
78,75,1
68,93,439
32,119,65
65,74,72
32,90,55
87,766,686
79,72,219
77,130,114
65,93,184
78,82,87
188,736,844
32,138,212
87,368,804
73,104,26
84,97,273
72,58,258
32,87,348
84,117,175
72,105,146
69,73,104
32,140,176
80,682,773
85,78,135
82,107,118
80,954,671
79,40,98
83,212,211
69,112,222
32,124,195
79,71,203
70,538,360
32,98,245
80,686,328
82,172,104
79,86,111
68,135,170
85,75,104
67,85,217
73,67,187
78,99,204
71,206,469
32,132,147
67,28,343
72,74,171
73,93,225
76,85,249
68,121,231
82,150,157
69,113,149
78,72,196
190,224,98
32,126,185
16,160,741
87,509,430
72,105,107
73,43,238
76,107,154
69,82,193
32,122,231
72,86,78
79,116,0
78,65,413
8,188,639
77,119,56
79,20,143
83,185,149
69,55,108
88,550,719
85,105,171
65,118,31
76,46,188
32,48,60
85,75,144
78,90,0
73,149,333
79,90,145
78,83,110
83,203,0
32,103,98
67,150,175
79,89,142
85,80,93
76,82,204
68,115,32
188,927,813
32,111,229
80,782,590
69,54,269
82,125,185
72,105,135
65,117,132
80,549,113
83,124,0
32,101,72
69,38,121
86,706,580
69,63,213
78,71,192
32,139,116
83,101,84
72,110,119
79,89,266
85,77,162
76,41,266
68,72,379
188,627,563
32,154,212
66,56,312
69,60,118
32,81,188
71,650,89
73,85,168
86,402,332
69,94,200
78,60,111
32,142,0
67,149,100
69,79,191
82,73,201
84,76,212
65,146,162
73,84,153
78,98,0
32,123,5
82,77,299
73,86,235
71,886,589
72,117,215
84,117,76
83,233,0
32,159,47
84,140,138
72,77,46
82,142,63
79,90,103
85,86,115
71,781,3
72,99,9
32,107,0
68,90,265
79,112,154
77,97,170
69,89,124
83,189,285
84,98,251
73,111,246
67,163,148
32,127,181
80,359,412
65,101,299
82,122,244
84,65,154
78,91,0
69,60,123
82,135,138
83,143,179
72,82,216
73,132,128
80,86,166
32,109,219
76,103,215
65,102,377
87,423,35
83,85,877
32,97,156
65,82,239
78,98,368
68,123,289
32,93,101
83,104,4
73,79,270
77,79,74
73,119,292
76,154,160
65,70,258
82,57,209
32,107,119
77,72,123
69,119,184
67,157,169
72,106,232
65,110,164
78,85,0
73,108,135
67,188,140
8,1099,726
83,53,402
77,93,168
83,195,586
188,508,948
32,116,124
84,88,77
79,85,259
32,81,35
67,105,386
65,82,309
76,98,151
32,134,110
83,157,152
85,85,190
67,99,222
72,76,146
32,161,112
85,80,102
78,107,106
73,131,197
79,146,203
78,85,240
83,100,0
32,104,161
16,285,650
222,813,200
77,48,111
65,93,91
82,110,142
73,91,186
65,148,142
71,711,92
69,63,161
83,65,561
16,96,43
222,847,141
32,83,106
65,88,59
82,171,188
69,85,131
32,115,229
68,96,216
65,119,110
77,120,143
65,108,87
71,66,75
73,27,139
78,80,156
71,462,795
32,104,225
84,51,247
79,72,114
32,108,222
84,111,78
72,106,142
69,86,0
32,88,196
73,88,119
78,132,0
83,157,0
84,73,134
73,62,80
84,69,177
85,68,189
84,133,136
73,56,0
79,94,352
78,110,73
32,65,175
79,42,34
70,46,584
32,75,82
77,67,105
65,59,75
82,140,172
73,66,114
65,103,63
71,214,895
69,76,34
190,465,304
32,116,17
8,1500,768
32,123,317
