VK,HT,FT
9,213,-1
16,420,488
65,178,568
8,100,576
16,166,1456
65,73,302
78,152,297
32,185,296
73,196,646
77,129,305
80,142,255
79,181,273
82,148,271
84,149,156
65,65,216
78,124,283
84,183,212
32,201,249
73,158,586
83,138,247
85,165,339
69,166,243
32,155,266
73,141,270
78,156,208
32,179,216
84,138,188
79,165,255
68,145,488
65,141,236
89,140,254
222,122,200
83,103,321
32,176,193
83,204,279
79,130,181
67,222,327
73,186,363
69,206,400
84,145,441
89,154,375
32,196,232
67,143,295
8,117,458
83,249,370
85,135,415
82,157,314
79,111,351
85,189,233
78,81,344
68,66,261
83,175,256
32,142,472
84,142,371
72,134,191
69,52,252
32,131,214
73,182,359
83,324,264
85,119,431
69,119,251
32,147,285
79,132,494
70,257,337
32,125,232
71,135,685
65,190,287
89,158,261
32,126,309
77,164,275
65,127,243
82,237,224
73,111,408
65,180,224
71,182,443
69,198,248
190,158,388
32,51,404
16,847,454
83,158,264
79,159,310
77,185,248
69,135,232
32,145,256
65,113,512
82,174,270
71,141,417
85,123,323
69,126,281
32,155,323
84,141,659
72,131,331
65,113,221
84,150,170
32,186,218
73,108,198
84,164,265
32,52,211
83,150,302
72,103,292
79,200,286
85,131,241
76,191,213
68,142,371
32,132,220
66,126,203
69,109,233
32,150,253
65,187,359
76,226,349
79,148,516
87,148,243
69,182,176
32,240,224
8,754,636
80,171,551
69,125,272
82,107,202
77,115,485
73,85,321
8,82,469
77,134,908
8,252,527
73,110,510
84,160,293
69,106,399
68,141,268
32,160,266
66,168,358
89,104,307
32,107,298
76,129,252
65,127,184
87,134,329
32,129,263
68,110,244
85,215,379
69,152,456
32,115,252
84,139,284
79,92,215
32,117,224
69,126,262
81,125,393
85,118,312
65,150,221
76,150,260
32,204,216
82,91,237
73,146,261
71,76,162
72,136,217
83,171,176
8,126,439
190,166,653
32,123,208
16,236,553
84,156,361
72,141,261
69,179,274
32,142,246
8,610,445
16,1117,1456
8,256,138
71,126,1356
65,186,312
89,184,225
32,132,230
77,145,747
65,117,225
82,246,251
73,110,368
65,175,249
71,117,594
69,184,312
32,48,208
8,849,958
16,214,1249
73,123,252
84,140,678
32,119,187
73,174,186
83,156,241
32,126,260
69,141,194
83,115,301
69,165,293
78,153,282
84,143,260
73,204,232
65,129,290
76,238,240
32,148,228
84,69,451
72,134,240
65,136,227
84,126,229
32,135,185
71,126,398
65,82,232
89,120,263
32,111,196
77,128,368
65,192,272
82,276,347
73,56,402
65,176,225
71,120,532
69,199,248
32,124,699
66,119,366
69,137,415
32,182,243
65,132,263
76,89,287
79,160,416
8,405,389
80,116,315
69,167,392
82,167,232
77,181,286
73,163,280
84,257,320
69,125,181
68,150,408
32,160,296
66,149,225
89,173,288
32,143,327
76,164,274
65,252,285
87,134,264
32,131,304
87,173,535
73,145,222
84,134,236
72,133,229
32,142,339
71,143,258
65,254,240
89,113,368
32,126,331
73,150,255
78,141,263
68,211,253
73,142,232
86,135,221
73,215,206
68,155,218
85,182,293
65,130,286
76,154,404
83,149,310
32,126,148
82,151,248
69,135,285
67,158,414
69,182,448
73,158,240
86,136,229
73,173,223
78,82,294
71,148,233
32,134,208
84,141,708
72,118,221
69,150,233
32,69,196
83,134,231
65,101,348
77,109,247
69,141,262
32,161,231
82,133,347
73,196,272
71,190,333
72,95,250
84,174,280
83,120,222
32,151,194
65,142,480
83,196,210
32,216,218
72,141,452
69,157,175
84,128,295
69,147,363
82,76,226
79,119,197
32,173,344
8,1317,908
83,158,227
69,178,301
88,190,377
85,140,256
65,176,315
76,126,287
32,156,224
73,158,262
78,196,282
68,118,203
73,125,225
86,141,446
73,173,257
68,173,181
85,189,274
65,159,437
76,145,232
83,194,318
190,162,250
32,177,405
16,366,203
84,116,184
72,149,333
69,181,317
8,572,596
16,227,400
79,134,621
85,158,170
82,177,344
32,149,299
67,106,353
79,176,224
85,143,237
78,141,347
84,119,330
82,139,315
89,127,597
32,155,191
87,58,422
65,161,311
83,181,275
32,134,265
70,166,248
79,134,215
85,146,260
78,134,352
68,129,204
69,130,278
68,170,195
32,129,257
79,158,272
78,126,193
32,80,248
84,113,167
72,114,237
69,120,302
32,102,219
80,141,376
82,167,311
73,191,223
78,151,238
67,84,324
73,173,323
80,149,208
76,113,325
8,159,601
65,110,296
76,164,317
8,594,1015
76,149,398
69,158,344
83,172,361
32,255,288
79,198,329
8,113,480
32,158,1043
79,142,264
70,119,292
32,156,352
69,190,748
81,165,350
85,136,234
65,183,226
76,150,262
73,108,348
84,115,286
89,167,267
190,153,992
32,158,262
16,1500,176
32,172,261
84,206,430
72,134,248
73,133,306
83,175,331
8,126,383
16,540,407
84,159,480
72,107,228
69,175,183
82,169,221
69,181,212
32,123,399
87,173,284
65,164,335
83,157,311
32,126,269
65,135,355
32,104,145
84,134,398
73,157,360
77,132,307
69,177,202
32,107,230
87,110,296
72,182,281
69,154,244
78,135,240
32,193,352
87,153,190
79,113,280
77,157,315
69,110,280
78,113,253
32,158,344
87,146,1113
69,173,368
82,158,255
69,122,245
32,171,254
71,146,410
79,152,252
84,142,151
32,163,218
71,126,426
82,150,304
65,134,240
78,178,159
84,158,238
69,134,187
68,104,321
32,134,232
84,158,331
72,95,344
69,131,232
83,148,319
8,152,521
32,127,1170
65,204,258
8,67,277
83,143,264
77,133,223
69,158,1068
8,114,596
65,174,238
77,126,216
69,195,272
32,150,288
82,117,243
73,127,200
71,132,373
72,100,265
84,115,242
83,143,373
32,135,193
65,142,231
78,169,244
8,283,611
83,189,207
32,136,238
87,138,296
8,94,812
77,124,1104
69,158,240
78,126,216
32,125,186
65,190,296
78,167,264
68,206,208
32,204,206
87,112,217
79,128,289
77,63,324
69,159,304
78,125,251
84,141,216
32,182,193
87,163,286
8,135,493
68,137,522
32,150,439
73,207,223
78,144,323
68,148,306
73,112,279
86,122,200
73,103,256
68,111,640
85,173,234
65,205,457
76,110,237
83,118,537
32,151,264
79,165,177
70,142,248
