VK,HT,FT
16,124,-1
73,110,92
32,134,207
65,126,227
77,140,403
32,88,187
73,115,68
78,142,190
32,134,83
70,99,228
85,111,138
76,203,43
32,160,11
83,160,137
85,133,36
80,181,90
79,108,89
82,40,138
84,108,175
32,123,180
79,112,123
70,191,171
32,125,216
71,196,80
8,833,870
16,375,518
71,138,121
89,111,137
65,134,252
8,0,474
65,114,228
89,102,104
32,138,224
16,213,12
77,128,353
65,115,137
82,61,85
73,140,0
65,145,89
71,129,40
69,159,232
190,132,245
32,140,46
16,263,315
87,91,170
72,107,111
69,114,142
78,150,67
32,133,70
16,138,94
73,106,143
32,113,409
87,133,99
65,139,388
83,105,325
32,89,91
89,115,115
79,111,18
85,136,93
78,113,110
71,100,108
69,107,179
82,144,75
188,59,504
32,146,160
72,90,79
65,125,140
86,139,332
73,160,59
78,109,160
71,82,83
32,146,164
71,103,52
82,1,131
79,98,267
87,110,163
78,119,133
32,139,208
85,80,40
80,0,48
32,148,240
73,95,85
78,103,185
32,121,48
65,87,119
32,128,6
67,102,515
79,89,69
77,124,127
80,78,140
76,111,164
69,88,70
84,114,45
69,195,47
76,173,215
89,128,167
32,139,217
72,99,190
79,117,132
77,138,136
79,76,201
83,116,276
69,63,136
88,550,891
85,98,68
76,297,106
8,750,434
65,152,0
76,0,14
32,151,0
69,104,111
78,161,47
73,73,108
8,691,236
86,123,334
73,125,14
82,123,152
79,89,102
78,138,137
77,137,312
69,87,94
78,116,75
84,102,91
188,135,976
32,94,77
16,192,0
73,124,84
32,140,244
87,117,134
65,77,389
83,116,115
32,154,104
65,115,147
84,146,57
32,95,102
70,109,0
73,126,118
82,107,161
83,58,187
84,85,154
32,105,92
80,101,63
85,91,136
84,108,94
32,110,92
79,123,224
70,58,79
32,83,93
66,121,102
89,87,88
32,117,195
72,106,127
79,114,84
77,106,109
79,102,121
83,174,161
69,181,242
88,391,103
85,135,212
76,93,249
65,140,139
8,1012,333
85,115,0
65,131,179
76,251,118
32,128,184
65,122,14
67,180,275
84,60,268
73,76,109
86,114,19
73,104,130
84,83,198
89,126,262
190,124,368
32,116,8
16,245,222
66,96,97
85,124,195
84,114,111
32,120,124
84,74,147
72,98,96
65,133,133
84,142,77
32,115,159
72,117,176
65,142,163
78,120,19
71,97,90
69,85,154
68,98,417
32,103,87
65,107,103
83,87,85
32,147,81
16,141,251
73,103,149
32,129,185
83,99,151
84,118,98
65,129,132
82,101,80
84,121,228
69,129,108
68,83,746
32,84,99
84,113,54
79,106,88
32,142,85
66,92,61
82,122,80
65,138,97
78,144,23
67,253,107
72,109,102
32,163,65
79,136,77
85,150,56
84,98,97
32,136,125
79,127,201
70,116,141
32,117,110
77,109,159
89,108,71
32,145,125
67,98,364
79,101,79
77,112,120
70,93,384
79,91,173
82,135,111
84,107,236
32,128,0
90,364,27
79,101,0
78,131,144
69,73,39
32,80,227
65,86,30
78,110,72
68,95,81
32,122,79
77,94,88
69,30,98
84,107,287
32,123,113
71,165,51
65,156,168
89,133,73
32,115,137
65,66,0
78,144,146
68,96,86
32,115,83
76,77,172
69,86,111
83,162,116
66,77,174
73,124,85
65,183,54
78,121,46
32,92,93
80,124,122
69,107,101
79,95,81
80,149,62
76,108,155
69,116,29
32,57,46
65,110,103
78,96,79
68,96,80
32,152,82
69,89,55
86,90,177
69,95,113
78,110,89
84,87,95
85,128,222
65,129,111
76,134,42
89,139,163
32,123,0
66,73,153
69,87,31
67,183,318
79,106,70
77,125,135
69,173,118
32,91,224
70,87,102
82,113,189
73,130,62
69,86,192
78,136,119
68,103,113
83,82,86
32,117,89
87,139,96
73,174,69
84,97,31
72,97,125
32,163,63
84,66,207
72,132,56
69,60,142
77,105,82
190,150,41
32,138,171
16,230,23
84,119,126
72,110,115
69,96,50
89,130,234
32,136,305
65,110,0
82,171,98
69,82,146
32,102,0
78,232,274
79,131,83
32,145,60
68,107,0
73,84,89
70,136,198
69,109,206
82,131,70
69,97,149
78,153,46
84,93,124
32,114,264
84,151,144
72,109,65
65,136,154
78,116,42
32,109,91
72,131,193
69,120,144
84,104,247
69,132,44
82,181,51
79,151,146
83,181,0
69,116,80
88,628,217
85,108,221
65,144,93
76,313,0
32,109,207
80,132,74
69,95,73
79,60,88
80,91,70
76,124,164
69,112,73
188,119,612
32,137,119
79,105,84
78,118,147
76,145,155
89,109,96
32,121,371
73,109,104
78,113,180
32,108,137
84,107,0
72,104,46
69,86,108
73,117,91
82,58,131
32,123,96
80,119,115
82,82,124
69,122,0
70,188,168
69,96,210
82,166,44
69,67,99
78,141,66
67,523,181
69,141,134
32,104,0
79,126,127
70,76,93
32,120,69
87,105,52
72,110,105
79,125,79
32,157,65
84,96,214
79,116,52
32,113,75
76,184,195
79,142,76
86,99,66
69,122,410
190,134,238
32,127,67
16,289,329
73,114,69
70,120,90
32,85,102
73,105,76
84,115,100
32,105,93
73,92,43
83,105,35
32,141,118
76,141,118
79,122,21
86,109,356
69,96,353
32,112,55
84,89,95
72,108,47
65,126,303
84,164,98
32,146,207
73,104,115
83,113,0
32,144,139
84,98,180
72,84,66
69,85,110
32,126,0
67,116,681
79,94,73
77,138,137
79,139,43
78,123,111
32,138,169
70,119,92
65,122,120
67,263,203
84,117,239
79,91,90
82,68,101
188,147,807
32,118,68
39,36,816
87,126,0
72,109,45
89,122,233
32,124,238
83,88,112
72,108,263
79,108,90
85,99,73
76,143,207
68,96,159
32,115,53
84,107,194
72,106,58
69,78,96
89,107,187
32,131,156
37,821,314
78,128,216
79,129,65
84,96,64
32,113,157
79,110,54
66,127,156
84,108,450
65,150,115
73,115,129
78,124,140
32,119,199
72,95,146
8,1025,784
84,70,178
72,79,229
69,126,65
32,115,0
83,136,123
65,112,134
77,120,115
69,279,82
32,118,282
76,125,32
69,123,169
71,116,118
65,150,187
76,0,44
32,122,0
65,117,57
78,88,120
68,99,69
32,147,86
84,97,161
90,469,716
8,474,598
65,107,0
88,105,120
32,150,211
66,95,137
69,85,137
78,100,66
69,70,297
70,65,31
73,126,159
84,96,73
83,154,110
32,161,72
65,99,81
83,130,79
32,81,60
72,116,175
69,92,157
84,73,219
69,134,208
82,210,35
79,106,0
83,85,175
69,106,2
88,914,916
85,99,181
65,126,142
76,203,0
32,105,118
77,95,71
65,119,229
82,195,101
73,123,43
69,99,0
68,101,475
32,119,86
79,112,80
85,118,78
80,171,107
76,149,171
69,98,37
83,140,130
32,62,118
68,105,105
79,158,130
16,464,301
191,387,652
8,1124,136
79,98,108
85,109,117
80,34,158
76,95,159
69,90,84
83,116,91
16,186,369
191,929,860
32,132,76
8,592,714
32,107,261
68,103,439
79,134,0
16,435,253
191,510,405
32,140,0
16,275,590
73,113,114
68,73,307
79,105,65
78,134,124
222,829,234
8,963,543
32,109,0
68,88,192
79,125,67
78,95,142
222,925,694
84,123,234
32,100,211
84,82,232
72,116,55
73,96,87
78,132,181
75,279,968
39,654,486
32,106,0
80,109,84
69,104,102
79,53,146
80,179,125
76,108,152
69,117,108
37,10,156
32,146,136
83,173,59
72,106,173
79,117,78
85,109,54
76,121,260
68,100,104
32,109,73
74,270,469
85,108,6
68,86,0
71,159,0
69,131,125
32,124,0
87,132,9
72,122,50
79,125,43
32,168,103
73,94,68
83,92,85
32,86,131
65,141,0
76,148,116
79,131,202
87,142,317
69,186,0
68,121,318
32,91,97
66,109,196
69,77,498
78,107,121
69,73,614
70,162,59
73,87,96
84,116,91
83,158,65
32,98,128
65,98,405
78,151,186
68,107,76
32,122,24
87,155,57
72,101,165
79,148,133
32,168,79
73,84,78
83,172,295
78,128,54
222,425,38
84,98,180
190,104,58
32,127,60
16,200,218
65,145,527
77,86,309
69,74,112
82,121,81
73,70,96
67,304,115
65,104,0
78,131,47
32,128,74
8,0,290
32,104,174
73,108,74
83,53,239
32,148,113
76,132,0
8,501,441
65,153,0
32,123,0
76,113,214
65,126,95
78,147,46
68,103,62
32,109,76
79,135,120
70,75,249
32,113,170
70,126,0
82,45,199
69,120,146
68,93,367
79,114,0
77,109,116
188,62,575
32,87,72
65,104,231
78,86,91
68,94,113
32,93,18
77,101,126
79,60,140
83,144,48
84,107,71
32,109,88
73,85,51
77,100,523
80,119,136
79,126,113
82,95,156
84,118,267
65,147,119
78,133,25
84,56,104
76,221,54
89,124,37
32,175,118
70,108,4
82,71,149
69,115,128
68,110,282
79,131,101
77,118,208
32,77,117
79,99,109
70,168,49
32,121,73
67,99,207
72,114,185
79,151,124
73,156,94
67,159,0
69,87,226
190,144,438
32,148,64
16,233,45
78,126,174
79,121,61
32,129,76
79,110,115
78,105,113
69,72,119
32,96,2
82,98,162
69,99,206
76,184,343
73,121,70
71,151,19
73,83,152
79,118,90
78,118,124
32,139,186
83,106,109
72,76,66
79,113,1
85,122,96
76,234,240
68,91,97
32,92,95
73,87,61
77,116,125
80,140,139
65,123,243
73,115,12
82,148,103
32,116,30
65,110,164
78,133,99
79,100,111
84,104,115
72,134,59
69,89,111
82,144,16
32,115,0
80,118,108
69,107,94
82,142,46
79,103,107
8,437,443
83,147,184
79,72,173
78,138,150
222,554,519
83,150,267
32,108,86
65,104,94
66,113,191
73,78,101
76,212,237
73,116,52
84,83,126
89,125,66
32,137,34
84,94,115
79,115,51
32,168,85
76,165,120
73,119,60
86,120,186
69,104,107
32,125,95
84,100,150
72,96,94
69,91,115
73,75,92
82,88,99
32,141,58
76,98,57
73,106,120
70,88,186
69,101,250
32,124,103
84,92,19
79,117,81
32,160,89
84,93,157
72,115,68
69,72,116
32,118,0
70,120,67
85,109,110
76,253,55
69,109,119
83,145,36
84,116,180
190,149,361
32,150,29
39,805,539
