VK,HT,FT
16,259,-1
73,116,99
32,154,304
65,151,87
77,144,193
32,134,73
73,134,54
78,123,151
32,115,13
70,166,109
85,118,200
76,279,163
32,82,105
83,133,133
85,138,54
80,128,102
79,122,141
82,102,163
84,138,226
32,155,27
79,112,48
70,132,74
32,97,316
71,133,242
8,98,266
16,166,498
71,150,241
89,102,91
65,156,144
8,192,262
65,129,46
89,129,170
32,133,70
16,313,33
77,123,170
65,181,120
82,248,74
73,139,223
65,150,144
71,133,244
69,92,166
190,156,231
32,149,48
16,148,350
87,125,99
72,97,73
69,155,85
78,151,80
32,113,64
16,239,121
73,118,75
32,165,111
87,137,105
65,155,80
83,140,127
32,124,93
89,135,162
79,128,349
85,117,84
78,129,114
71,129,85
69,47,218
82,118,53
188,163,115
32,139,65
72,128,208
65,139,40
86,129,120
73,124,112
78,150,154
71,102,81
32,124,85
71,102,228
82,128,111
79,115,65
87,149,212
78,144,416
32,126,91
85,107,118
80,124,152
32,118,766
73,118,38
78,47,151
32,128,80
65,160,155
32,116,151
67,121,85
79,116,55
77,102,151
80,140,120
76,102,166
69,50,107
84,144,59
69,122,57
76,164,231
89,139,1
32,150,20
72,126,260
79,135,125
77,139,185
79,128,159
83,119,88
69,113,122
88,42,197
85,117,51
76,152,163
8,1500,1380
65,171,101
76,112,109
32,128,113
69,147,70
78,149,65
73,134,249
8,110,97
86,113,144
73,113,155
82,128,102
79,114,46
78,119,85
77,123,75
69,112,268
78,163,91
84,96,85
188,143,186
32,148,65
16,173,685
73,133,70
32,171,95
87,102,73
65,119,101
83,111,132
32,140,97
65,128,63
84,136,135
32,95,102
70,113,110
73,114,58
82,155,64
83,97,91
84,106,80
32,97,54
80,126,70
85,117,31
84,118,104
32,91,122
79,81,20
70,139,118
32,107,86
66,85,83
89,128,179
32,129,88
72,137,138
79,113,98
77,134,141
79,128,259
83,116,112
69,97,85
88,123,230
85,114,85
76,267,151
65,118,101
8,1269,333
85,129,54
65,106,162
76,148,61
32,114,64
65,107,86
67,122,187
84,134,729
73,123,117
86,136,293
73,130,1
84,140,116
89,132,82
190,130,1057
32,166,79
16,29,346
66,102,196
85,139,97
84,112,96
32,155,476
84,129,75
72,120,87
65,139,77
84,142,93
32,92,457
72,128,117
65,148,139
78,146,54
71,96,80
69,147,239
68,108,171
32,107,87
65,118,70
83,126,25
32,129,42
16,413,356
73,132,80
32,134,80
83,137,184
84,127,92
65,161,65
82,148,97
84,127,163
69,105,53
68,97,167
32,153,81
84,123,117
79,114,0
32,123,39
66,125,6
82,166,87
65,171,853
78,135,149
67,104,138
72,155,117
32,160,53
79,139,104
85,133,80
84,120,105
32,124,86
79,123,48
70,108,71
32,107,81
77,113,121
89,102,160
32,110,65
67,30,30
79,107,42
77,269,187
70,97,172
79,123,80
82,90,355
84,118,193
32,134,49
90,94,960
79,97,122
78,145,132
69,108,129
32,119,48
65,149,117
78,139,122
68,118,53
32,112,86
77,136,145
69,40,91
84,97,178
32,121,160
71,118,112
65,164,91
89,128,155
32,195,75
65,107,90
78,106,157
68,105,103
32,88,57
76,99,121
69,81,49
83,123,262
66,118,129
73,139,54
65,150,43
78,140,96
32,108,88
80,136,172
69,128,96
79,113,75
80,102,116
76,150,9
69,94,64
32,123,94
65,97,91
78,123,39
68,121,103
32,124,54
69,163,69
86,134,70
69,134,346
78,160,88
84,113,80
85,129,85
65,52,130
76,140,12
89,110,243
32,176,102
66,119,96
69,92,96
67,123,198
79,107,68
77,134,151
69,102,36
32,166,39
70,107,81
82,128,210
73,107,265
69,80,112
78,128,115
68,102,84
83,123,80
32,113,25
87,128,497
73,113,38
84,94,128
72,112,48
32,113,64
84,124,93
72,112,48
69,108,108
77,129,147
190,156,851
32,140,60
16,493,250
84,128,107
72,130,48
69,97,91
89,134,151
32,176,264
65,133,172
82,291,96
69,129,246
32,139,95
78,148,40
79,132,69
32,139,158
68,96,621
73,113,61
70,113,67
69,102,81
82,149,64
69,242,93
78,139,12
84,127,68
32,134,129
84,166,107
72,130,64
65,155,67
78,138,42
32,136,91
72,122,105
69,103,76
84,113,31
69,108,166
82,149,66
79,112,6
83,118,125
69,135,104
88,119,193
85,120,46
65,173,13
76,140,5
32,124,64
80,144,129
69,409,136
79,140,37
80,102,32
76,142,136
69,189,39
188,150,199
32,135,65
79,139,216
78,166,155
76,127,265
89,128,77
32,173,81
73,128,78
78,153,141
32,124,30
84,123,79
72,107,104
69,102,104
73,134,64
82,152,67
32,110,49
80,133,0
82,139,54
69,102,96
70,111,129
69,94,121
82,146,70
69,102,204
78,136,69
67,107,392
69,139,157
32,90,60
79,90,125
70,29,75
32,130,80
87,123,177
72,101,80
79,157,112
32,161,44
84,107,96
79,113,86
32,151,72
76,102,0
79,102,177
86,108,166
69,117,137
190,145,222
32,23,83
16,203,649
73,144,71
70,137,76
32,82,195
73,102,17
84,108,109
32,145,343
73,134,42
83,114,148
32,32,91
76,137,74
79,113,64
86,108,51
69,160,99
32,158,96
84,130,117
72,111,76
65,155,36
84,139,36
32,123,94
73,45,43
83,61,81
32,144,64
84,124,74
72,91,114
69,91,119
32,108,73
67,109,138
79,113,33
77,118,118
79,112,179
78,124,152
32,107,81
70,148,94
65,118,124
67,123,245
84,152,139
79,126,79
82,138,142
188,113,370
32,139,93
39,388,211
87,102,626
72,149,70
89,140,155
32,130,60
83,156,248
72,113,43
79,137,105
85,106,34
76,120,167
68,129,1
32,124,66
84,107,75
72,118,43
69,98,108
89,128,135
32,134,88
37,1121,397
78,145,77
79,136,43
84,120,84
32,134,53
79,139,41
66,107,96
84,112,80
65,162,69
73,102,60
78,171,143
32,123,448
72,117,100
8,220,295
84,89,64
72,118,40
69,123,101
32,104,80
83,149,108
65,155,904
77,114,143
69,107,164
32,107,60
76,126,22
69,195,156
71,156,108
65,165,76
76,134,67
32,130,81
65,119,121
78,123,110
68,112,128
32,112,69
84,132,91
90,341,547
8,87,152
65,113,101
88,133,197
32,144,32
66,130,96
69,92,79
78,166,65
69,49,60
70,123,152
73,112,100
84,205,103
83,123,58
32,110,106
65,161,61
83,131,20
32,129,109
72,154,111
69,160,141
84,129,388
69,102,173
82,149,64
79,128,23
83,145,121
69,106,116
88,123,201
85,117,55
65,128,165
76,84,77
32,124,68
77,139,55
65,131,54
82,115,193
73,139,245
69,115,96
68,116,171
32,122,102
79,151,77
85,140,83
80,132,148
76,113,162
69,147,56
83,93,139
32,137,98
68,102,189
79,112,49
16,397,36
191,802,394
8,223,473
79,124,108
85,123,58
80,108,148
76,146,173
69,127,92
83,108,101
16,245,27
191,732,364
32,144,101
8,177,170
32,145,107
68,87,416
79,126,27
16,200,27
191,444,66
32,112,86
16,209,73
73,130,139
68,109,91
79,102,42
78,114,167
222,26,954
8,185,398
32,63,197
68,117,332
79,116,96
78,150,172
222,937,66
84,129,117
32,129,455
84,97,117
72,129,59
73,134,48
78,155,156
75,601,118
39,533,657
32,108,64
80,119,55
69,124,91
79,124,37
80,129,63
76,143,87
69,128,119
37,1500,705
32,124,59
83,97,118
72,128,44
79,105,120
85,123,64
76,149,151
68,107,91
32,135,286
74,792,7
85,107,54
68,102,150
71,118,137
69,170,159
32,108,64
87,144,282
72,126,91
79,139,38
32,165,51
73,123,111
83,112,102
32,112,64
65,124,91
76,129,42
79,112,261
87,96,59
69,146,124
68,112,327
32,158,2
66,61,123
69,80,32
78,141,125
69,86,341
70,184,162
73,115,116
84,120,107
83,113,74
32,118,69
65,128,84
78,134,71
68,127,149
32,162,56
87,144,95
72,149,91
79,138,31
32,123,74
73,118,58
83,134,7
78,138,141
222,950,848
84,97,128
190,167,706
32,150,82
16,352,42
65,113,124
77,114,64
69,107,139
82,152,65
73,129,244
67,115,113
65,134,75
78,105,54
32,138,10
8,381,288
32,144,160
73,123,43
83,118,96
32,118,90
76,184,30
8,102,336
65,183,69
32,119,311
76,113,15
65,150,130
78,145,390
68,105,87
32,161,65
79,123,43
70,44,90
32,124,55
70,169,18
82,133,162
69,136,96
68,124,206
79,134,23
77,58,147
188,125,214
32,128,82
65,102,70
78,131,59
68,107,125
32,97,62
77,119,134
79,37,168
83,134,119
84,116,103
32,144,137
73,121,0
77,119,101
80,129,476
79,124,170
82,109,131
84,124,121
65,160,84
78,107,148
84,107,69
76,160,80
89,110,91
32,196,92
70,72,74
82,89,165
69,122,97
68,107,304
79,112,102
77,134,121
32,160,78
79,143,75
70,123,118
32,130,137
67,113,112
72,123,90
79,163,101
73,129,50
67,72,91
69,107,53
190,71,272
32,108,201
16,378,69
78,150,154
79,144,44
32,149,85
79,116,43
78,124,158
69,96,70
32,133,60
82,102,197
69,118,96
76,118,15
73,139,56
71,123,130
73,113,148
79,118,41
78,143,163
32,147,54
83,123,164
72,123,86
79,108,80
85,129,45
76,142,151
68,107,72
32,147,40
73,133,54
77,128,137
80,146,148
65,171,85
73,134,162
82,54,65
32,97,17
65,119,64
78,160,80
79,133,20
84,122,67
72,118,64
69,124,91
82,118,54
32,116,15
80,136,72
69,129,169
82,123,105
79,112,29
8,267,450
83,150,197
79,118,125
78,123,152
222,17,433
83,89,134
32,123,107
65,149,91
66,82,43
73,107,112
76,144,149
73,130,54
84,107,135
89,111,171
32,145,79
84,119,87
79,107,46
32,144,39
76,12,129
73,19,91
86,129,45
69,145,353
32,107,86
84,130,85
72,128,0
69,102,112
73,102,43
82,191,142
32,97,57
76,135,80
73,123,137
70,133,64
69,97,150
32,148,122
84,152,79
79,113,78
32,155,28
84,113,102
72,112,60
69,86,151
32,133,83
70,93,101
85,128,66
76,129,151
69,81,80
83,149,108
84,139,168
190,115,1056
32,135,85
39,147,776
