VK,HT,FT
16,139,-1
71,141,26
65,140,109
89,94,125
32,140,78
77,146,141
65,73,34
82,137,156
73,114,29
65,131,125
71,187,48
69,140,63
32,154,93
73,153,265
83,125,13
32,110,77
65,125,139
32,109,113
69,56,303
82,203,77
8,78,526
86,125,93
69,51,18
82,144,101
89,78,157
32,141,141
73,85,752
77,125,156
80,109,483
79,156,46
82,94,94
84,94,110
65,3,63
78,78,171
84,94,187
32,63,62
65,122,156
78,99,109
8,207,656
65,156,274
78,49,94
68,111,94
72,109,78
79,92,64
84,110,94
32,62,79
8,58,874
32,93,406
72,109,211
79,94,78
84,78,107
32,125,257
84,78,42
79,78,140
80,120,76
73,125,109
67,109,258
32,125,94
73,109,140
78,141,115
32,95,109
79,108,111
85,123,78
82,141,78
32,109,115
67,140,156
79,94,78
85,99,63
78,140,484
84,94,156
82,188,172
89,78,109
32,125,94
65,125,141
78,141,140
68,78,94
69,34,78
86,78,106
69,95,47
8,453,498
32,89,412
69,96,118
86,80,106
69,109,31
78,109,140
32,95,141
87,110,16
79,94,109
82,141,172
68,98,109
76,107,78
8,78,431
76,140,218
68,125,57
32,62,62
87,94,72
8,1143,358
87,109,62
73,119,143
68,156,78
69,109,125
190,124,226
32,172,125
16,125,12
73,78,125
32,125,129
70,121,105
85,110,109
76,88,94
89,93,250
32,109,97
65,125,67
78,30,120
68,66,47
32,125,109
67,140,172
79,109,83
77,125,140
80,140,155
76,187,234
69,98,78
84,140,47
69,110,232
76,156,130
89,109,250
32,125,20
83,140,141
85,94,78
80,140,155
79,125,94
82,78,81
84,94,125
32,125,109
71,140,94
65,132,152
89,99,156
32,140,444
77,156,55
65,94,219
82,128,177
73,78,297
65,77,125
71,94,48
69,140,63
32,156,114
65,141,140
78,125,78
68,93,56
32,110,61
82,79,60
69,7,102
65,26,154
76,266,143
89,79,23
32,140,460
72,121,42
79,130,94
80,47,78
69,94,78
32,99,30
84,125,130
72,140,109
65,192,60
84,172,117
32,46,62
79,1,157
8,234,341
83,140,94
79,140,141
78,84,110
79,172,109
8,781,406
32,167,406
73,143,171
84,140,3
222,142,78
83,9,125
32,109,119
78,114,110
79,115,140
84,125,110
32,93,109
65,152,187
78,125,78
32,109,156
73,94,83
83,66,47
85,78,207
69,171,141
32,141,906
65,119,110
78,114,109
68,93,78
32,57,269
73,125,172
83,150,34
32,125,136
65,144,32
67,75,372
69,47,15
80,93,285
84,94,125
69,140,78
68,140,265
32,141,109
86,79,203
8,406,407
69,141,32
86,94,93
69,124,15
82,125,78
89,100,250
87,109,46
72,155,156
69,109,31
82,109,125
69,124,98
190,109,465
32,296,62
16,140,70
73,78,140
222,124,97
65,186,172
32,154,28
20,0,979
78,78,490
32,125,358
8,234,469
82,219,78
222,100,140
65,156,172
32,141,78
20,952,449
32,156,63
8,695,494
20,333,728
84,187,312
222,141,141
83,96,41
32,140,111
8,234,593
20,152,6
16,139,281
83,140,78
8,1007,438
16,156,1404
65,125,116
83,125,47
32,109,172
83,85,116
79,145,203
77,141,93
69,76,12
79,125,156
78,157,530
69,110,47
32,125,78
87,131,46
72,47,125
79,94,78
32,109,12
72,140,111
65,109,78
83,47,63
32,125,190
71,140,397
65,133,109
89,94,101
32,113,141
70,125,138
82,109,78
73,94,221
69,141,172
78,94,109
68,109,84
83,156,156
32,10,87
73,63,140
84,142,110
222,109,78
83,108,46
32,155,96
83,76,489
8,78,434
65,140,62
32,150,122
84,125,188
79,109,109
80,50,106
73,110,109
67,92,475
32,64,47
84,140,267
72,110,136
65,125,78
84,94,109
32,109,71
72,109,116
73,113,47
84,87,188
83,93,78
32,109,77
72,109,619
79,94,109
77,109,414
69,141,124
190,125,375
32,93,906
16,234,37
73,203,141
32,125,172
87,125,187
65,124,78
78,141,109
84,109,125
32,141,25
84,78,140
72,110,65
69,140,63
77,93,94
32,226,125
84,140,78
79,155,109
32,77,150
66,109,169
69,109,157
32,140,93
65,125,140
66,96,47
76,187,125
69,118,92
84,125,6
32,62,125
84,109,63
79,94,140
8,239,641
32,93,234
84,132,219
79,12,11
