VK,HT,FT
16,228,-1
84,144,90
72,135,90
69,156,107
32,136,196
65,135,156
82,253,110
71,82,436
85,102,827
77,131,222
69,108,223
78,169,104
84,182,103
32,141,203
65,159,106
71,401,761
65,174,221
73,109,336
78,183,145
83,100,119
84,182,93
32,134,0
71,564,486
65,192,374
89,294,112
32,150,54
77,152,38
65,134,394
82,62,142
73,121,448
65,112,228
71,168,333
69,81,0
32,143,127
73,113,201
83,143,104
32,72,346
85,276,77
8,0,289
81,836,724
85,809,43
73,172,243
84,168,54
69,117,163
32,138,136
83,158,117
73,144,302
77,109,499
80,969,655
76,199,104
69,216,437
190,81,617
32,114,313
8,1286,372
32,121,216
16,21,173
70,129,142
79,129,56
82,26,111
32,162,217
84,150,79
8,976,468
16,0,209
84,178,13
72,94,41
69,154,213
32,144,124
16,801,77
66,26,154
73,94,179
66,342,295
76,196,176
69,164,237
32,137,171
67,152,530
76,190,237
69,183,440
65,195,78
82,248,90
76,176,161
89,560,752
32,190,88
83,254,302
84,160,132
65,176,274
84,192,188
69,191,254
83,240,102
32,181,350
84,187,180
72,116,87
65,203,49
84,153,104
32,150,153
77,146,178
65,167,192
82,36,178
73,183,676
65,162,77
71,709,833
69,156,36
32,192,196
73,173,85
83,134,46
32,157,88
66,800,437
69,132,171
84,131,62
87,142,149
69,143,107
78,153,157
32,158,164
79,95,249
78,125,88
69,155,70
32,169,154
77,135,165
65,139,10
78,154,29
32,90,93
65,129,44
78,152,132
68,161,44
32,141,164
79,170,211
78,150,117
69,185,81
32,134,56
87,122,314
79,199,125
77,107,333
65,144,69
78,151,135
190,769,687
16,44,294
32,167,91
78,160,105
79,202,179
32,159,444
87,139,137
72,123,136
69,141,88
82,227,182
69,163,28
32,152,87
68,134,0
79,190,203
8,175,413
16,36,168
84,194,88
72,167,108
73,138,286
83,128,43
32,137,318
73,173,299
83,145,191
32,232,52
72,106,149
79,124,197
87,134,93
32,139,204
73,155,37
32,139,0
8,0,184
84,167,65
32,148,98
72,137,146
65,128,251
83,206,176
32,140,142
66,534,966
69,170,137
78,173,103
32,219,256
84,130,222
72,140,76
82,26,149
79,180,110
85,897,296
71,456,692
72,138,0
32,129,112
79,106,82
85,973,891
84,132,25
32,142,148
72,141,125
73,76,255
83,168,193
84,149,70
79,137,0
82,304,170
89,578,654
190,736,789
32,151,228
16,80,120
78,140,85
79,119,258
32,94,74
87,116,38
72,153,127
69,156,252
82,0,154
69,85,0
32,160,222
73,213,243
78,110,161
32,139,0
84,150,80
72,90,55
69,170,232
32,134,152
16,534,72
66,19,644
73,173,75
66,159,798
76,154,153
69,167,351
32,137,119
68,153,116
79,260,181
69,131,399
83,120,289
32,100,306
73,56,0
84,158,220
32,157,252
83,167,159
65,144,250
89,646,959
32,141,143
84,105,120
72,145,123
65,122,398
84,113,198
32,143,360
84,192,108
87,121,236
79,150,143
32,165,180
77,181,168
69,167,358
78,112,214
32,126,236
67,433,239
65,154,42
8,1209,734
65,129,367
78,174,112
32,104,147
65,156,78
78,108,114
68,190,82
32,156,41
83,209,65
72,128,112
79,121,116
85,999,663
76,128,203
68,158,25
32,138,243
66,900,40
69,242,112
32,138,129
77,159,299
65,154,280
82,0,182
73,150,241
69,173,172
68,134,15
190,203,219
32,117,12
16,0,31
73,180,162
78,168,85
70,121,132
65,181,378
67,374,647
84,138,136
8,124,482
32,162,218
71,274,717
65,171,487
67,850,133
8,1355,513
70,115,214
65,125,248
67,935,824
84,209,124
32,128,135
73,163,281
84,189,226
32,142,175
67,814,387
76,156,120
69,132,168
65,116,429
82,233,180
76,158,108
89,482,831
32,150,292
83,216,25
84,156,176
8,0,978
65,91,142
84,178,110
69,120,177
83,132,0
32,56,105
84,183,165
72,88,96
65,171,185
84,110,9
32,119,312
77,157,473
69,191,192
78,71,143
32,200,274
83,291,324
72,138,169
79,154,292
85,659,157
76,185,194
68,157,99
32,108,37
78,157,53
79,102,75
84,179,229
32,138,114
83,141,172
76,174,151
69,163,269
80,830,923
32,155,232
87,150,276
73,64,0
84,120,84
72,132,134
32,150,126
77,166,255
69,175,270
78,157,145
190,334,621
13,701,252
16,0,150
73,184,4
70,175,121
32,195,302
87,136,0
69,180,184
32,170,152
67,480,47
72,157,78
65,158,270
78,162,123
71,639,703
69,149,154
32,129,158
84,114,159
72,158,75
69,127,200
32,187,133
68,168,266
69,117,295
70,113,182
73,133,300
78,113,115
73,201,157
84,141,171
73,102,195
79,133,298
78,143,182
32,151,198
79,103,159
70,177,168
32,189,172
77,201,0
65,128,467
82,195,85
73,114,114
8,1372,544
82,172,95
73,87,145
65,166,185
71,990,962
69,160,263
32,122,163
87,130,111
69,138,441
222,868,224
76,144,158
32,165,217
66,480,57
69,116,355
32,144,111
65,175,128
66,8,703
65,141,173
78,195,123
70,135,165
79,118,135
78,114,203
8,214,347
68,167,193
79,151,255
78,192,153
73,141,300
78,116,158
71,495,763
32,85,260
84,143,143
72,164,109
69,151,355
32,145,105
80,937,348
82,195,122
73,175,216
78,168,128
73,181,206
67,114,870
8,662,383
67,33,533
73,200,266
80,990,125
76,161,202
69,153,167
83,143,119
32,134,313
84,186,118
72,124,37
65,137,0
84,146,99
32,133,336
72,130,128
65,135,1
86,146,788
69,124,101
32,143,130
71,713,651
73,125,0
8,1232,413
85,187,327
73,118,155
69,201,4
68,108,160
8,314,143
68,99,98
69,222,55
68,139,150
32,117,83
84,167,117
72,145,98
69,159,151
32,119,102
66,405,452
69,179,156
73,206,476
69,210,76
70,103,126
83,180,396
32,155,0
79,212,424
70,121,130
32,153,62
80,676,999
69,116,99
79,138,259
80,601,964
76,165,69
69,196,146
32,128,120
65,132,189
76,168,194
32,88,197
79,152,0
86,917,795
69,209,15
82,0,115
32,175,64
84,168,41
72,92,98
69,135,338
32,92,80
87,112,87
79,175,169
82,170,181
68,114,149
8,3,644
76,132,118
68,89,150
190,43,43
32,128,293
16,559,237
84,141,125
72,115,104
73,174,127
83,123,179
188,567,228
32,148,216
67,466,69
79,157,302
85,719,547
80,860,303
76,151,213
69,173,318
83,182,156
8,172,409
68,166,205
32,141,346
87,185,0
73,113,46
84,147,109
72,117,134
32,112,364
84,121,159
72,132,27
69,187,230
8,549,414
16,47,179
73,238,170
70,219,112
32,113,101
16,311,86
8,0,530
16,450,394
87,139,135
72,99,28
65,145,0
84,126,85
32,132,415
75,845,1
73,212,338
78,166,100
68,186,226
32,131,209
79,122,294
70,136,140
32,118,175
80,566,34
82,99,99
