VK,HT,FT
16,249,-1
71,80,164
65,96,182
89,89,140
32,71,83
77,116,164
65,88,4
82,222,182
73,100,231
65,107,331
71,88,81
32,113,88
8,246,347
69,112,115
32,113,89
73,60,91
83,143,148
32,98,295
65,90,116
32,68,102
80,70,270
82,129,171
79,89,32
66,55,207
76,68,171
69,69,2
77,121,205
65,97,145
84,108,131
73,202,90
67,93,103
32,115,106
67,134,864
79,130,100
78,83,121
67,126,139
69,87,210
80,61,184
84,56,247
32,98,89
70,90,112
79,101,116
82,89,100
32,106,122
77,94,330
65,87,119
78,138,113
89,65,147
32,113,93
82,126,143
69,63,103
65,141,163
83,92,159
79,105,85
78,114,200
83,132,59
190,85,118
32,115,158
16,140,480
70,99,110
73,102,118
82,80,98
83,141,135
84,112,104
76,106,119
89,71,170
188,81,178
32,44,89
83,108,146
85,74,145
67,100,118
72,90,78
32,106,125
80,28,591
65,143,138
73,63,85
82,96,123
73,75,244
78,98,118
71,63,103
83,112,48
32,111,111
73,90,151
78,91,128
72,116,137
69,74,93
82,114,96
69,86,190
78,177,115
84,97,122
76,136,113
89,99,138
32,113,91
65,116,83
8,92,251
65,119,96
82,231,149
69,110,51
32,125,86
85,96,233
78,116,115
65,97,8
66,92,134
76,63,203
69,99,118
32,58,229
84,83,91
79,102,107
32,67,149
78,117,243
65,109,56
84,115,96
85,70,144
82,109,126
65,65,94
76,100,87
89,117,223
32,90,86
80,75,174
82,120,171
79,86,121
68,138,90
85,96,211
67,99,42
69,90,199
32,98,169
67,162,16
72,114,104
73,145,101
76,38,106
68,86,178
82,61,118
69,90,97
78,116,138
188,66,236
32,90,85
87,101,100
72,62,105
73,126,116
67,128,113
72,153,105
32,45,126
73,71,124
32,97,111
8,75,322
83,117,117
32,105,57
84,95,92
72,94,76
69,77,89
32,112,46
66,77,126
65,119,120
83,91,35
73,90,129
83,112,235
32,98,113
70,84,7
79,90,83
82,55,61
32,95,170
77,145,196
65,101,103
82,246,171
73,10,241
65,104,120
71,78,118
69,84,114
190,82,115
32,107,137
16,199,779
83,237,130
69,116,183
67,119,157
79,152,119
78,111,99
68,113,116
76,111,166
89,73,155
188,70,196
32,112,85
83,85,108
85,12,130
67,11,110
72,56,134
32,135,156
65,98,131
32,105,102
82,29,881
76,76,230
8,88,296
69,83,84
76,139,76
65,146,197
84,78,99
73,175,85
79,129,100
78,117,158
83,130,147
72,127,117
73,123,95
80,75,174
32,123,97
73,83,152
83,89,136
32,99,118
65,104,172
71,88,119
65,107,9
73,88,158
78,95,120
83,109,152
84,109,150
32,120,96
84,78,103
72,96,121
69,110,45
32,120,39
83,83,115
84,60,79
82,116,192
73,75,217
67,128,100
84,83,117
85,86,85
82,121,98
69,88,123
83,114,156
32,109,109
79,75,161
70,121,64
32,105,88
77,116,190
65,106,8
78,4,296
89,73,195
32,113,193
82,109,121
69,99,74
76,116,78
73,97,73
71,62,58
73,83,87
79,116,134
78,115,197
83,123,118
188,71,245
32,122,103
87,84,15
8,84,444
65,77,78
78,116,76
68,29,130
32,126,155
72,91,154
65,5,56
69,83,133
32,98,123
8,235,344
66,86,178
69,66,133
8,506,401
86,69,80
69,96,133
32,88,113
80,26,141
69,80,158
82,140,106
83,141,96
73,222,175
83,140,164
84,15,140
69,88,88
68,64,188
32,121,121
68,111,233
8,86,433
83,131,160
79,95,85
32,80,111
76,70,169
79,67,173
78,94,166
71,103,123
32,106,149
70,99,162
79,97,109
82,124,128
32,102,98
80,71,171
82,127,147
69,110,141
83,126,233
85,62,335
77,90,103
65,119,56
66,70,117
76,70,102
89,91,146
32,21,10
71,108,173
79,85,162
68,97,127
32,115,151
82,114,148
69,6,65
65,144,115
83,97,220
79,142,101
78,61,127
83,99,138
190,62,207
32,79,170
8,249,346
190,61,198
32,92,232
189,84,466
32,112,58
77,95,223
73,115,146
76,118,136
69,69,61
78,98,188
73,84,137
65,95,101
189,84,311
37,489,630
76,98,165
40,357,679
16,170,252
84,98,101
72,114,131
73,160,123
82,106,103
68,55,126
76,176,162
89,93,146
188,57,194
32,114,134
83,111,138
85,96,118
67,102,94
72,97,134
32,145,74
65,121,83
67,96,188
84,106,109
32,87,96
8,73,1270
83,111,185
32,89,123
65,88,110
82,230,312
69,143,96
32,102,60
67,109,80
82,143,106
73,75,107
77,91,428
69,76,72
83,296,140
32,84,109
65,104,203
71,90,149
65,106,188
73,133,194
78,118,83
83,90,45
84,102,113
32,90,137
78,130,214
65,101,127
84,98,81
85,72,152
82,72,99
69,155,97
188,79,196
32,99,120
65,93,98
78,117,163
68,98,84
32,119,100
65,111,120
83,107,160
32,121,177
83,54,103
85,74,113
67,124,129
72,104,127
32,143,84
87,131,37
69,72,195
32,84,107
72,93,145
65,43,56
86,69,121
69,91,105
32,72,20
65,111,144
32,106,95
68,97,112
85,112,158
84,83,108
89,41,185
32,109,89
84,87,101
8,190,501
84,71,99
79,115,70
32,72,126
68,118,112
73,79,84
83,96,76
67,124,216
79,107,130
85,96,105
82,161,62
65,117,123
71,105,145
69,36,96
32,86,72
84,83,90
72,113,121
69,100,70
77,96,104
190,59,140
32,119,135
16,160,90
73,96,84
78,93,149
32,89,108
83,112,180
72,178,52
79,97,82
82,60,95
84,57,115
188,69,176
32,112,113
71,135,149
65,2,103
89,34,140
32,114,102
77,113,168
65,97,139
82,220,170
73,94,242
65,99,93
71,65,119
69,108,114
32,88,128
73,84,104
83,82,180
32,97,113
83,58,149
79,130,99
77,110,101
69,76,98
72,96,86
8,75,340
84,75,163
72,78,102
73,131,134
78,134,149
71,109,64
32,117,51
87,141,85
69,216,129
32,136,78
65,104,146
76,111,95
32,98,139
72,108,942
65,88,85
86,69,91
69,134,123
32,76,112
65,106,144
32,105,47
68,85,112
85,71,323
84,47,167
89,72,167
32,128,79
84,106,117
79,105,59
32,80,104
80,52,183
8,562,257
79,98,76
80,186,119
79,85,285
83,160,98
69,86,54
188,49,234
32,102,129
76,91,121
69,84,174
71,98,74
73,115,131
83,103,129
76,58,87
65,147,125
84,76,93
8,1362,253
65,63,71
8,1259,291
76,134,165
65,111,111
84,87,103
73,61,74
86,103,142
69,97,130
76,121,107
89,116,154
32,119,83
73,87,140
70,85,31
32,19,126
78,114,248
69,82,72
67,19,135
69,96,48
83,125,219
65,128,78
82,102,76
89,116,137
190,1,154
32,115,132
16,197,119
83,132,106
85,98,153
67,124,84
72,114,119
32,135,98
85,61,102
78,116,162
65,103,166
84,120,89
85,116,132
82,109,88
65,112,102
76,62,44
32,99,96
65,100,95
67,105,137
84,88,245
83,117,106
32,101,84
8,78,305
16,164,767
73,83,92
84,83,179
32,94,210
77,112,209
65,97,161
89,92,128
32,99,272
65,122,125
76,97,187
83,153,145
79,84,101
32,60,127
76,108,111
69,72,116
65,112,115
68,84,153
32,97,73
84,71,119
79,37,125
32,90,154
84,60,100
72,88,159
69,87,97
32,114,84
69,122,190
88,973,182
84,83,118
69,151,118
78,72,147
83,83,146
73,78,119
79,152,104
78,91,104
32,112,72
79,70,133
70,71,64
32,89,126
66,45,197
69,84,121
78,135,126
69,92,78
70,70,158
73,77,26
84,132,94
83,98,149
32,93,295
84,119,500
79,94,90
32,82,196
80,49,183
69,144,114
79,99,109
80,89,174
69,112,145
76,99,124
32,100,98
87,98,561
8,76,352
76,89,47
87,147,187
32,131,124
87,101,132
8,505,544
69,100,77
32,69,98
87,147,97
72,68,86
79,101,91
32,99,112
68,78,193
79,127,83
32,107,132
78,117,214
79,114,118
84,70,45
32,30,548
72,116,172
65,85,94
86,64,161
69,96,103
32,96,112
65,117,97
32,112,146
82,155,223
69,115,197
76,108,19
65,106,4
84,98,92
73,182,71
79,116,108
78,92,111
83,92,110
72,134,30
73,134,123
80,65,109
32,114,144
66,55,136
85,123,98
84,40,89
32,100,130
79,75,33
78,118,114
8,1500,472
68,78,58
69,99,206
67,122,143
73,76,105
68,97,209
69,87,159
32,123,134
84,93,79
79,105,136
32,87,118
70,83,144
73,72,116
76,134,70
69,66,103
32,85,217
70,79,135
79,97,106
82,70,79
32,106,234
67,118,122
79,46,99
78,77,127
86,119,227
69,91,40
78,118,126
73,84,240
69,104,159
78,95,256
84,96,103
8,201,391
67,46,47
69,93,110
188,57,198
8,206,79
190,65,194
