VK,HT,FT
16,137,-1
73,114,22
32,132,371
84,113,102
85,113,144
82,72,75
76,151,80
69,102,275
8,160,320
69,70,301
76,66,292
89,132,12
32,138,121
83,132,85
85,96,140
80,351,81
79,209,430
82,159,123
84,137,177
32,116,245
84,111,160
72,104,60
69,98,81
32,117,131
8,1500,57
71,138,808
65,106,72
89,93,104
32,122,190
65,218,33
77,100,573
8,104,327
77,119,224
65,79,104
82,294,121
73,111,1265
65,112,178
71,120,852
69,85,104
8,74,320
32,213,185
72,75,136
79,55,88
78,89,200
69,120,92
83,196,300
84,111,135
76,97,278
89,97,194
190,71,174
32,71,1257
16,251,272
73,161,69
32,113,73
84,113,178
72,3,81
73,167,91
78,78,270
75,95,115
32,143,77
73,90,157
70,76,80
32,99,104
89,66,190
79,213,130
85,84,73
69,115,143
8,120,321
32,96,403
70,47,124
73,79,152
78,141,112
68,110,172
32,64,172
84,89,295
72,151,76
65,19,83
84,102,119
32,97,44
79,109,128
78,169,108
69,70,153
32,106,45
65,80,165
78,66,108
68,80,81
32,92,88
79,112,95
78,135,107
76,105,176
89,106,79
32,126,64
80,108,256
69,110,71
82,111,131
79,158,313
78,131,435
83,24,233
32,54,134
8,77,688
82,96,9
83,51,397
79,146,111
78,231,152
32,130,213
84,128,321
79,53,103
84,104,79
32,145,293
66,88,169
69,90,151
32,194,90
87,165,117
73,73,42
84,133,74
72,8,112
8,377,311
79,70,559
32,185,65
84,79,55
8,82,487
32,122,612
69,56,30
8,111,321
66,72,904
69,153,237
32,63,122
87,134,139
73,94,56
84,110,114
72,102,55
32,95,102
84,104,155
72,90,105
69,115,452
78,26,92
32,139,15
89,165,102
79,86,129
85,75,113
32,110,2
83,87,178
72,134,119
79,68,216
85,131,60
76,123,136
68,107,296
32,78,63
72,103,92
65,99,87
86,105,93
69,92,102
32,35,68
84,72,121
72,153,160
69,112,103
32,99,127
82,114,94
73,88,136
71,62,247
72,111,127
84,109,80
32,132,97
84,91,154
79,150,202
32,73,196
77,90,24
65,77,80
82,323,184
89,112,314
32,141,472
84,127,120
72,143,58
69,134,42
77,80,132
32,96,283
65,126,91
76,374,131
83,116,439
79,16,104
190,132,351
32,100,130
16,261,240
65,126,152
76,153,136
83,111,73
79,139,96
32,87,108
84,145,274
79,87,69
32,157,80
72,134,262
65,119,130
86,42,442
69,148,161
32,150,231
84,86,257
72,144,118
69,110,157
32,84,56
83,94,818
65,86,137
77,85,118
69,87,184
32,104,125
82,69,18
73,62,169
71,85,116
72,120,90
84,39,113
83,157,174
32,139,71
65,82,95
78,95,63
68,104,192
32,64,111
65,114,143
68,122,378
86,70,110
65,145,167
78,103,136
84,88,109
65,132,138
71,100,158
69,80,65
83,17,167
32,0,158
65,64,128
83,87,159
32,115,162
65,59,167
32,110,205
77,76,143
65,94,177
78,117,143
32,94,638
65,159,105
78,72,78
68,72,94
32,70,38
87,105,81
73,46,115
70,407,89
69,143,147
32,88,63
77,103,112
65,166,209
82,329,79
73,83,207
65,72,140
71,144,185
69,120,138
190,200,292
32,89,175
16,208,1055
73,128,0
32,107,332
77,137,295
89,162,162
32,121,251
83,152,271
69,88,64
76,79,124
70,39,236
32,65,103
65,128,19
77,85,39
32,80,57
65,126,134
32,96,350
72,146,167
69,104,102
84,154,168
82,72,156
79,95,63
83,96,233
69,72,171
88,79,206
85,74,104
76,104,229
65,72,220
8,1500,342
65,117,155
76,129,131
190,106,392
32,106,157
8,1041,722
32,96,409
16,278,150
84,189,148
