VK,HT,FT
16,216,-1
71,134,463
65,140,289
89,121,482
83,48,81
8,0,926
16,481,802
72,34,184
79,175,259
77,225,169
79,114,122
83,121,634
69,102,143
88,101,295
85,84,187
65,127,208
76,117,108
83,109,488
32,102,455
83,119,314
72,103,128
79,206,230
85,94,116
76,122,159
68,136,27
32,123,165
66,48,298
69,162,188
32,114,191
65,123,167
66,147,232
76,235,140
69,119,77
32,108,27
84,102,142
79,126,143
32,119,638
77,113,287
65,116,120
82,325,137
89,106,378
188,176,757
32,88,179
74,153,382
85,107,63
83,166,357
84,107,199
32,110,0
65,148,448
83,143,223
32,116,445
72,129,447
69,137,181
84,73,241
69,185,352
82,153,186
79,136,237
83,242,957
69,128,160
88,101,299
85,82,242
65,107,175
76,83,135
83,106,359
32,112,407
65,131,0
82,243,173
69,109,93
190,73,159
32,138,707
16,479,171
73,80,149
84,109,209
32,118,331
73,94,232
83,126,223
32,96,93
85,54,692
78,85,104
69,112,478
81,260,614
85,103,265
65,111,172
76,110,183
8,622,495
16,258,367
84,84,169
79,83,71
32,134,244
68,188,349
69,135,230
78,87,133
89,81,290
32,133,765
84,91,349
72,136,126
69,143,161
77,116,22
8,1263,240
71,134,321
8,526,415
72,65,77
79,152,294
77,127,214
79,107,251
83,358,496
69,105,192
88,98,285
85,90,492
65,81,170
76,105,80
83,113,619
32,115,998
84,82,341
72,52,137
69,89,69
32,109,116
82,155,393
73,107,196
71,168,430
72,144,391
84,79,161
32,112,470
84,123,129
79,115,88
32,130,206
77,122,311
65,113,98
82,243,336
89,96,347
32,117,320
73,92,347
83,123,235
32,113,335
84,103,140
79,160,116
32,122,263
80,245,186
65,84,309
82,228,338
84,91,335
73,155,201
67,93,317
73,87,168
80,124,165
65,171,240
84,119,229
69,139,222
32,82,533
73,141,170
78,128,145
32,156,0
65,135,412
78,98,155
32,117,0
65,98,325
67,154,129
84,128,199
73,118,370
79,123,98
78,79,287
32,110,681
84,101,341
72,76,122
65,153,145
84,98,70
32,111,997
8,311,169
85,117,248
78,126,97
69,100,352
81,486,798
85,97,165
65,104,192
76,130,163
32,124,988
65,129,383
67,89,486
84,95,397
73,128,195
79,114,79
78,114,231
32,82,699
84,87,389
72,94,104
65,136,128
84,133,134
32,120,0
73,100,326
83,105,278
32,126,496
67,116,693
79,170,154
78,107,230
84,141,196
82,244,0
65,87,402
82,224,228
89,94,370
32,124,765
84,89,512
79,158,258
32,96,170
66,74,634
65,160,597
83,122,126
73,201,157
67,68,0
32,130,0
72,81,0
85,99,412
77,134,303
65,138,179
78,91,178
32,130,563
82,132,362
73,120,0
71,81,399
72,181,253
84,62,64
83,105,252
190,90,521
32,129,373
16,332,598
83,66,237
79,142,197
67,135,246
73,100,161
69,125,37
84,140,193
89,94,227
32,132,45
83,55,0
72,74,171
79,175,167
85,93,119
76,115,289
68,131,343
32,136,464
84,101,289
82,86,305
69,123,64
65,189,273
84,118,53
32,101,356
69,120,253
65,165,176
67,80,777
72,162,162
32,135,137
65,126,497
78,103,191
68,132,38
32,108,206
69,138,744
86,106,149
69,207,218
82,127,141
89,99,339
32,115,623
79,103,204
78,116,216
69,108,191
32,131,291
79,159,113
70,146,202
32,112,0
73,118,254
84,107,188
83,103,185
32,105,34
67,88,338
73,101,183
84,86,193
73,137,197
90,220,981
69,66,115
78,115,289
83,100,136
32,111,144
84,134,227
72,107,184
69,137,74
32,105,98
83,138,209
65,148,96
77,98,0
69,136,156
32,122,164
85,78,695
78,113,94
68,116,360
69,136,385
82,105,96
32,107,146
84,131,140
72,73,152
69,113,69
32,131,253
76,122,0
65,153,162
87,114,205
186,430,77
32,105,539
84,71,67
79,159,228
32,122,356
68,130,463
79,119,352
32,138,320
79,163,300
84,108,139
72,112,95
69,117,136
82,102,114
87,119,342
73,104,325
83,110,205
69,145,131
32,114,413
73,148,247
83,118,77
32,131,370
78,77,258
79,128,169
84,126,157
8,1488,308
85,95,175
78,146,106
72,89,378
69,210,156
65,135,185
76,275,171
84,107,161
72,127,169
89,91,205
32,125,843
70,95,527
79,154,96
82,130,129
32,114,364
65,133,565
78,107,144
89,84,209
32,111,819
83,161,228
79,136,141
67,119,351
73,114,164
69,176,140
84,167,223
89,87,264
32,111,760
84,79,92
72,123,124
65,260,120
84,146,98
32,96,324
86,125,389
65,140,192
76,142,176
85,113,548
69,82,72
83,149,159
32,107,359
72,68,306
85,83,583
77,131,0
65,101,195
78,91,189
32,123,717
68,151,337
73,66,412
71,163,0
78,126,197
73,131,106
84,114,221
89,96,259
190,156,53
13,628,138
16,256,5
70,158,198
85,100,219
82,183,44
84,108,325
72,112,112
69,141,265
82,165,100
188,191,1103
32,124,190
65,95,350
76,199,193
79,105,496
87,120,0
73,176,290
78,139,156
71,92,174
32,123,281
72,106,598
79,127,158
77,143,75
79,109,179
83,138,347
69,100,194
88,111,336
85,84,236
65,108,170
76,112,109
83,92,0
32,95,560
84,102,273
79,113,179
32,126,250
77,101,206
65,126,216
82,320,319
89,105,462
32,129,296
68,125,302
79,156,129
69,71,22
83,101,187
32,114,719
78,72,233
79,161,208
84,99,194
32,108,624
73,124,298
78,137,130
70,63,7
82,236,165
73,95,90
78,120,153
71,111,206
69,112,160
32,122,1024
85,134,384
80,125,252
79,96,440
78,110,94
32,103,348
84,93,101
72,77,130
69,112,226
32,108,190
70,74,404
82,185,157
69,110,175
68,93,542
79,171,329
77,179,77
83,119,36
32,144,544
79,187,194
70,129,199
32,124,180
65,141,659
78,100,265
89,109,267
32,123,306
79,145,0
78,107,191
69,109,192
8,590,1395
79,102,280
78,103,121
69,136,158
190,148,225
32,133,406
16,602,175
77,168,574
65,109,187
82,167,248
73,81,315
65,171,149
71,159,294
69,132,121
32,113,994
73,127,246
83,119,208
32,92,119
65,93,70
32,113,547
67,100,403
79,211,168
78,121,222
67,117,634
8,0,440
83,132,234
69,104,164
78,111,263
83,206,270
85,80,7
65,123,128
76,136,202
32,112,253
82,121,319
69,123,95
76,78,191
65,135,167
84,135,504
73,121,148
79,119,80
78,115,266
83,115,480
72,130,135
73,197,118
80,58,184
32,121,80
66,70,465
69,125,225
84,139,422
87,104,138
69,130,238
78,98,117
32,120,275
84,100,257
87,138,292
79,189,132
32,138,302
65,97,411
68,162,69
85,119,501
76,111,253
84,87,197
83,117,235
188,167,467
32,111,228
65,116,467
78,100,175
68,122,222
32,85,302
83,89,25
79,122,165
67,109,297
73,104,178
69,121,318
84,135,194
89,83,239
32,127,1163
65,59,341
78,93,227
68,135,364
32,120,218
71,97,292
79,204,212
86,102,650
69,240,282
82,120,141
78,123,178
77,131,257
69,117,200
78,107,180
84,78,526
32,112,486
83,141,254
72,80,124
79,191,237
85,103,150
76,112,364
83,113,693
8,155,600
68,101,318
32,117,175
83,108,357
84,124,78
65,195,18
82,250,464
8,0,611
89,94,148
32,128,1244
79,111,330
85,96,113
84,74,13
32,107,753
79,95,295
70,149,158
32,117,176
84,97,560
72,109,170
69,107,224
32,102,408
68,180,333
69,143,277
67,172,209
73,129,154
83,121,191
73,175,110
79,148,147
78,120,205
32,130,501
77,123,258
65,126,207
75,98,295
73,113,136
78,161,169
71,106,141
32,121,189
79,177,0
70,146,250
32,97,228
65,123,58
68,118,323
85,87,111
76,126,285
84,101,167
83,123,338
188,165,279
32,101,158
8,773,1041
188,168,677
32,117,339
