VK,HT,FT
17,235,-1
86,105,212
16,272,651
71,78,154
65,100,195
89,96,73
32,56,86
77,91,200
65,126,90
82,223,168
73,106,264
65,130,23
71,74,184
69,93,135
32,80,88
83,116,137
72,14,463
79,84,308
85,144,184
76,106,72
68,80,104
32,125,118
78,152,325
69,228,85
86,80,185
69,128,143
82,95,184
32,155,449
66,127,323
69,58,72
32,140,216
76,94,292
69,119,104
71,111,199
65,150,124
76,79,128
190,77,254
32,73,40
16,293,1040
84,193,208
72,104,323
79,65,188
83,87,343
69,44,185
32,108,187
80,112,131
69,124,168
79,48,107
80,182,179
76,71,197
69,138,76
32,58,557
67,72,127
65,104,184
78,79,135
79,47,230
84,132,69
32,132,133
82,152,402
69,91,83
80,70,408
82,56,160
79,71,105
68,77,132
85,72,120
67,114,120
69,129,62
32,112,180
65,97,109
78,108,103
68,103,96
32,79,80
84,116,116
72,86,134
65,88,174
84,137,73
32,65,525
73,96,122
83,64,81
32,87,126
83,105,220
73,119,105
77,77,135
80,62,202
76,135,177
89,78,212
32,141,117
65,119,281
32,10,18
83,120,128
84,111,232
65,147,152
80,310,318
76,88,207
69,135,74
32,101,405
79,75,87
70,75,68
32,71,80
77,120,320
65,105,129
82,125,112
73,80,256
65,130,118
71,135,136
69,126,192
190,82,104
32,167,477
16,266,137
71,120,300
65,89,291
89,103,79
32,152,128
80,148,690
69,68,118
79,113,182
80,104,193
76,61,123
69,85,103
32,100,105
65,88,525
82,165,101
69,104,61
32,79,136
67,133,193
72,143,72
73,159,364
76,134,182
68,79,153
32,80,104
77,120,140
79,96,80
76,96,160
69,64,470
83,244,181
84,120,165
69,127,147
82,19,89
83,179,222
188,128,146
32,119,203
80,117,272
69,88,159
79,116,96
8,552,504
68,88,916
79,95,501
80,173,192
72,80,37
73,217,71
76,80,121
69,74,153
83,178,269
32,97,139
65,80,42
78,136,65
68,71,109
32,115,168
69,100,59
78,96,131
71,88,78
65,168,660
71,134,191
69,100,184
68,109,191
32,87,142
73,70,57
78,72,80
32,65,133
73,139,51
8,52,471
83,64,389
73,96,123
67,7,407
74,56,344
32,111,66
84,118,190
8,427,360
75,106,65
32,95,231
84,98,337
87,178,183
73,175,104
83,55,129
84,132,613
69,149,221
68,146,168
32,144,70
72,135,207
8,12,442
66,85,1363
69,122,198
72,76,146
65,79,160
86,120,145
73,140,214
79,80,179
85,110,69
82,95,432
190,136,135
32,315,344
16,309,762
84,72,88
72,106,143
69,83,74
89,104,107
32,154,115
68,181,592
79,70,80
78,7,202
222,132,678
84,64,116
32,64,110
68,97,1003
69,98,160
83,134,213
69,124,88
82,97,127
86,64,481
69,114,129
32,66,104
84,120,167
79,99,89
32,101,88
66,98,117
69,40,161
32,115,135
82,122,478
69,71,197
67,88,175
79,104,111
71,116,456
78,100,210
73,143,123
90,102,125
69,137,98
68,121,105
32,80,3
66,80,27
69,115,110
67,136,349
65,152,185
85,97,120
83,104,104
69,168,57
32,57,152
79,109,225
70,71,112
32,150,112
84,121,61
72,64,83
69,164,103
73,37,418
82,107,170
32,84,200
83,125,133
69,64,184
88,71,162
85,74,131
65,192,105
76,144,156
32,79,89
80,111,155
82,95,112
65,92,266
67,80,241
84,109,192
73,175,150
67,193,199
69,200,156
83,181,98
32,114,104
65,159,390
78,72,86
68,101,60
32,76,78
84,80,139
79,93,99
32,87,104
72,137,354
65,97,9
86,142,82
69,73,181
32,80,87
84,104,111
72,87,155
69,123,69
77,79,144
32,75,179
65,68,104
67,56,247
84,86,250
85,4,223
65,164,218
76,0,120
89,22,331
32,88,200
77,81,128
65,93,95
82,233,406
85,134,870
8,217,359
89,84,208
32,89,98
73,88,344
83,63,114
32,153,158
65,140,78
32,69,77
87,154,501
65,158,96
89,112,412
8,447,446
84,170,148
72,22,162
82,104,224
69,96,160
65,160,39
68,124,174
8,111,431
84,149,345
32,123,66
84,105,1257
79,56,86
32,103,96
84,158,67
72,122,124
69,105,121
32,136,136
16,144,223
65,72,12
77,17,200
69,139,75
82,95,46
73,106,324
67,134,139
65,158,416
78,64,93
32,104,110
87,104,297
65,114,78
89,80,139
32,80,55
79,112,127
70,63,121
32,112,64
76,95,381
73,136,191
70,135,141
69,136,56
32,111,88
65,120,79
78,72,88
68,78,43
32,80,193
65,78,95
32,80,133
76,93,266
73,75,115
70,46,116
69,143,94
32,107,138
79,103,14
70,79,108
32,71,122
80,65,157
82,119,117
79,186,103
80,94,79
82,154,197
73,192,186
69,112,113
84,135,129
89,123,131
32,30,339
65,72,212
78,103,266
68,72,98
32,103,10
68,104,118
69,65,115
67,109,340
69,91,98
78,130,191
67,204,153
89,125,208
190,9,525
13,278,378
16,231,172
66,120,120
69,72,79
73,94,140
78,123,149
71,108,147
32,97,44
71,64,146
65,89,211
89,126,129
32,88,166
73,176,158
83,88,72
32,94,112
67,155,155
79,141,67
77,308,182
80,74,247
76,82,168
69,57,113
84,117,92
69,166,716
76,131,164
89,72,142
32,130,109
85,63,904
78,105,211
65,134,208
84,136,139
85,188,294
82,91,162
65,114,142
76,113,46
32,90,72
65,136,100
78,147,26
68,96,102
32,116,40
84,103,915
79,87,182
32,79,169
83,104,262
79,122,141
76,140,179
69,110,243
77,169,180
78,96,110
73,80,192
90,129,142
69,126,127
32,65,102
84,72,421
72,99,24
65,161,99
84,107,354
32,50,50
87,112,215
73,111,79
84,128,130
72,88,127
32,112,145
84,140,135
72,102,104
69,122,118
32,12,56
84,91,151
73,106,43
84,133,506
76,79,135
69,144,56
32,115,56
79,76,139
70,105,102
32,134,133
77,118,188
65,121,62
82,253,129
73,117,198
65,192,82
71,192,224
69,152,171
32,80,162
73,48,11
83,117,79
32,100,182
67,72,201
79,65,75
77,75,158
80,74,136
76,26,273
69,101,115
84,144,138
69,56,152
76,274,107
89,141,122
32,114,136
82,10,215
73,87,229
68,80,133
73,58,160
67,92,112
85,119,152
76,103,200
79,100,212
85,63,72
83,75,103
190,78,162
32,216,322
16,112,128
84,133,68
72,104,68
69,153,111
32,145,111
78,132,215
69,232,78
88,128,296
84,96,218
32,40,64
84,65,147
72,45,108
73,82,126
78,120,121
71,144,67
32,135,146
89,12,340
79,189,107
85,77,133
32,131,64
75,100,274
78,134,134
79,139,64
87,160,42
188,148,1133
32,120,223
80,81,217
69,126,85
79,106,66
80,72,88
76,161,171
69,104,72
32,63,235
87,95,114
73,91,129
76,255,233
32,127,237
87,109,702
65,183,217
78,96,191
84,95,239
32,80,91
84,99,130
