VK,HT,FT
16,441,-1
73,91,378
70,664,103
32,164,0
87,823,782
69,141,63
32,90,137
65,129,209
76,68,65
79,115,106
87,973,790
32,64,0
71,114,318
65,163,238
89,79,390
83,125,226
32,93,477
84,91,202
79,118,116
32,262,822
77,10,261
65,147,322
82,34,177
89,61,213
32,0,399
84,82,332
72,78,150
69,55,179
89,102,71
32,0,317
87,631,846
73,126,325
76,101,107
32,33,335
8,337,401
84,98,168
8,377,566
73,106,173
84,95,202
32,314,90
87,187,435
73,118,128
76,95,147
32,321,40
73,123,16
78,88,146
67,109,153
82,63,174
69,78,248
65,114,257
83,90,242
69,104,211
32,89,222
83,129,252
84,105,84
65,136,212
66,845,465
73,84,70
76,143,163
73,76,0
84,100,262
89,74,284
32,83,158
73,86,332
78,110,133
32,0,303
83,166,44
79,50,232
67,133,124
73,77,57
84,88,217
69,123,116
89,89,111
190,616,501
32,37,101
8,163,710
67,143,180
73,76,123
69,70,242
84,96,321
89,93,353
190,687,279
32,498,657
16,974,464
84,92,77
72,68,190
69,138,225
89,79,199
32,207,153
8,0,418
16,95,410
71,99,90
65,143,142
89,78,175
32,0,312
67,88,81
79,97,158
85,69,17
80,109,832
76,97,322
69,99,234
83,121,427
32,96,0
72,74,223
65,171,175
86,672,111
69,136,0
32,89,152
65,144,307
32,318,0
72,97,142
73,98,96
71,97,15
72,103,143
69,106,198
82,16,180
32,397,393
82,164,199
65,133,122
84,97,63
69,76,181
32,96,64
83,115,119
8,470,588
79,91,150
70,260,987
32,216,178
83,122,147
80,708,390
76,167,205
73,109,231
84,93,57
73,79,0
78,92,165
71,105,0
32,131,0
84,89,124
72,83,0
65,162,247
78,90,142
32,0,188
78,72,199
79,89,315
78,116,77
32,274,0
71,102,191
65,133,454
89,86,539
32,328,719
67,127,192
79,80,50
85,87,453
80,568,504
76,194,162
69,133,184
83,150,0
32,75,633
66,198,573
69,99,206
67,80,87
65,151,258
85,89,65
83,122,41
69,117,224
32,99,66
84,91,0
72,81,108
69,125,142
89,93,96
32,448,110
76,110,123
65,116,413
67,127,123
75,877,682
32,0,347
65,126,316
32,92,0
87,454,678
65,157,0
89,64,121
32,258,0
84,116,126
79,87,0
32,0,185
70,102,49
79,128,31
82,61,128
77,471,261
65,181,169
76,139,162
73,112,368
90,873,603
69,116,33
32,94,109
84,93,77
72,89,85
69,115,66
73,107,266
82,0,287
32,320,232
82,138,268
69,158,190
76,163,255
65,151,0
84,102,0
73,92,0
79,130,90
78,97,4
83,115,318
72,92,236
73,87,259
80,591,941
83,159,0
32,119,963
8,180,959
190,267,788
32,155,0
16,679,418
73,63,229
84,101,117
32,224,552
87,989,484
79,104,189
85,79,80
76,112,95
68,146,178
32,152,432
80,334,991
82,229,49
79,119,23
86,626,288
73,104,200
68,148,24
69,118,59
32,96,156
83,74,178
8,150,371
83,144,28
84,74,238
82,78,261
85,85,165
67,109,124
84,101,33
85,89,392
82,97,219
69,118,63
32,105,215
70,913,611
79,106,64
82,80,150
32,189,54
83,129,187
84,87,233
85,41,51
68,134,272
69,96,0
78,99,102
84,87,16
8,782,496
67,108,187
72,94,86
73,78,160
76,66,189
68,82,144
82,170,114
69,75,263
78,62,17
32,0,724
87,949,928
72,81,171
79,128,59
32,0,173
65,158,397
82,118,295
69,115,0
32,87,131
73,78,272
78,89,149
8,0,586
71,100,475
65,178,0
86,480,568
8,575,175
72,92,93
65,165,181
86,26,197
69,97,65
32,103,0
71,83,177
65,128,387
89,63,162
32,22,46
80,140,945
65,161,190
82,169,127
69,101,310
78,85,93
84,80,37
83,143,272
190,989,54
32,0,437
16,881,732
73,90,253
32,63,148
87,769,612
79,110,65
85,70,107
76,130,12
68,122,119
32,397,0
65,143,79
76,132,216
83,140,379
79,106,114
8,263,208
16,615,887
84,97,102
69,133,126
8,411,815
72,67,48
69,111,204
89,87,197
8,0,582
16,915,524
73,57,0
84,89,346
32,128,440
87,133,832
79,111,0
85,84,0
76,43,218
68,129,121
32,147,47
65,187,283
76,113,94
83,107,360
79,77,220
32,0,809
65,124,55
76,44,220
79,116,187
87,731,36
32,283,302
71,95,0
65,168,375
89,104,70
32,182,1
67,91,103
79,134,6
85,69,266
80,908,504
76,110,102
69,107,102
83,135,252
32,111,692
84,98,171
72,65,4
69,66,226
32,100,170
82,82,11
73,84,186
71,120,22
72,81,0
84,111,0
32,223,23
84,102,411
79,94,347
32,14,425
8,279,389
32,288,0
77,743,437
65,141,62
75,457,119
69,135,136
32,104,133
76,153,90
69,118,230
65,147,349
71,104,237
8,688,484
71,105,158
65,159,500
76,126,205
32,0,662
68,114,161
69,134,169
67,142,165
73,80,299
83,103,219
73,75,87
79,99,0
78,101,38
83,124,233
32,106,146
70,248,74
79,88,91
82,175,251
32,213,57
84,107,333
72,93,93
69,165,205
73,73,4
82,200,134
32,38,200
80,834,368
65,145,279
82,132,145
84,81,0
72,88,0
8,0,353
78,104,122
69,134,29
82,66,185
83,132,0
190,204,17
32,0,564
16,362,960
73,107,273
84,88,185
32,184,271
87,200,532
79,132,0
85,63,154
76,106,205
68,131,86
32,0,127
65,147,246
76,84,55
83,112,434
79,101,0
32,198,0
65,132,326
76,158,9
79,80,208
87,19,555
32,62,0
84,77,242
72,106,209
69,109,168
77,255,181
32,365,0
84,97,216
79,163,0
32,163,0
72,96,229
65,139,220
86,750,401
69,161,234
32,88,255
84,103,55
72,96,0
69,137,0
32,80,175
83,129,237
65,150,0
77,518,553
69,67,232
32,91,39
82,105,258
73,112,0
71,111,373
72,91,106
84,107,112
83,68,298
32,84,0
84,91,0
72,81,96
65,137,533
84,86,86
32,0,111
65,139,142
76,115,136
32,104,505
79,102,156
84,101,44
72,82,0
69,59,233
82,119,387
32,119,337
67,127,154
79,118,76
85,65,250
80,349,657
76,18,269
69,135,80
83,142,346
32,110,918
73,72,73
78,102,41
32,421,550
84,87,0
72,98,106
69,159,264
32,86,166
85,101,95
78,53,97
73,94,96
84,74,229
69,119,353
68,104,68
32,106,23
83,140,291
84,101,150
65,156,50
84,105,355
69,103,235
83,106,296
32,90,159
72,97,155
65,152,0
86,524,614
69,125,95
190,397,956
32,155,436
16,415,455
73,115,0
32,80,0
65,135,164
76,105,92
83,82,95
79,117,237
8,327,336
16,297,708
73,104,344
84,106,375
32,0,592
87,987,892
79,107,52
85,110,245
76,50,253
68,125,177
32,415,37
65,108,304
76,101,227
79,157,225
87,131,383
32,105,301
71,96,407
65,123,237
89,88,257
83,116,350
32,101,843
84,96,397
79,99,159
8,440,329
187,36,672
8,170,287
32,0,0
84,94,97
72,74,142
69,98,39
32,90,23
16,183,671
85,93,288
78,74,267
73,96,181
84,89,330
69,126,2
68,130,285
32,233,408
16,43,842
83,173,222
84,96,217
65,120,107
84,92,478
69,108,100
83,125,312
32,88,136
84,51,412
79,114,0
32,452,563
72,87,0
65,137,97
86,43,162
67,105,113
69,114,157
32,103,203
8,166,323
69,118,209
32,87,111
65,172,203
32,69,193
67,124,173
76,63,241
69,162,154
65,145,77
82,144,167
69,91,0
82,222,163
32,323,377
8,135,685
71,93,88
79,91,47
66,446,870
86,677,942
8,0,637
86,43,180
69,162,132
82,156,97
77,960,97
69,124,172
78,76,114
84,113,437
32,1,168
84,72,453
79,96,247
32,333,0
72,96,134
65,129,230
86,923,11
69,153,167
32,102,410
