VK,HT,FT
16,145,-1
73,77,75
78,71,120
32,63,77
77,73,103
89,37,111
32,99,41
69,74,376
88,37,199
80,71,87
69,107,98
82,70,71
73,72,82
69,65,76
78,110,77
67,70,74
69,99,42
32,106,62
87,71,423
73,72,93
84,71,102
72,106,35
32,105,71
71,106,133
65,94,163
84,76,132
32,108,38
8,181,351
89,70,184
32,73,31
77,74,137
65,35,101
82,201,397
73,73,269
65,29,78
71,109,93
69,70,74
188,76,109
32,66,79
16,145,144
73,79,73
32,108,36
70,98,113
69,192,113
76,70,438
32,108,96
84,72,164
72,74,97
65,102,78
84,81,29
32,55,86
84,74,66
72,65,78
79,74,142
83,66,78
69,72,27
32,96,45
87,104,102
72,78,32
79,72,146
32,101,75
80,72,362
8,106,349
79,100,111
80,222,169
79,64,226
83,111,81
69,72,72
32,65,42
73,71,111
84,75,110
32,64,80
65,71,133
82,109,103
69,64,113
32,91,6
73,82,281
77,72,44
8,181,223
83,70,189
73,72,117
77,103,38
80,54,232
76,89,55
89,105,50
32,98,43
85,106,833
78,72,68
87,72,150
73,71,98
76,437,551
73,106,558
78,110,70
71,75,72
32,29,80
84,73,70
79,66,78
32,70,30
67,75,117
72,65,79
65,37,88
78,107,66
71,105,71
69,107,70
190,72,167
32,69,38
16,211,105
73,108,139
32,106,36
68,75,279
79,64,80
32,105,28
78,69,203
79,73,136
84,67,78
32,72,28
85,105,154
78,75,67
68,64,79
69,104,86
82,71,67
83,67,148
84,72,121
65,69,103
78,70,74
68,75,96
32,64,78
84,71,93
72,106,75
69,74,65
32,97,47
65,72,161
70,187,151
69,75,239
67,64,80
84,107,176
32,106,70
84,109,284
72,31,112
65,110,101
84,110,36
32,67,79
65,108,95
32,70,72
71,72,100
65,107,137
89,106,169
32,72,70
79,106,215
85,105,208
8,72,588
67,108,195
8,239,150
67,62,244
79,91,5
85,107,148
80,106,174
76,108,35
69,63,113
32,72,27
72,73,335
65,142,77
83,81,66
32,71,37
79,71,162
78,108,156
32,66,112
84,65,71
72,65,69
69,71,73
73,29,76
82,70,42
32,64,75
76,72,692
73,111,151
86,109,72
69,64,113
83,69,174
32,139,141
8,107,226
190,31,112
32,102,34
16,151,64
84,66,154
72,72,73
69,106,88
82,101,111
69,99,106
32,70,63
8,589,305
16,387,640
8,72,35
84,72,316
72,74,115
69,71,83
82,134,76
69,107,98
32,70,71
65,70,117
82,108,100
69,64,114
32,105,28
8,34,211
32,234,243
8,71,503
65,109,79
32,107,38
76,72,167
79,107,139
84,72,69
32,64,42
79,72,133
70,68,76
32,65,73
80,65,71
69,64,70
79,104,70
80,100,109
76,75,62
69,63,80
32,70,27
87,38,152
72,68,3
79,110,135
32,73,71
83,74,88
73,100,78
77,71,62
80,105,182
76,73,68
89,65,77
32,108,29
83,36,457
65,104,207
89,75,683
32,98,80
16,1083,171
222,72,978
84,110,282
32,71,73
8,177,195
73,111,245
84,71,72
32,96,44
73,104,130
83,37,111
32,102,43
73,73,522
78,107,37
32,108,69
84,108,71
72,66,114
69,64,71
32,71,26
66,72,122
73,71,78
66,103,77
76,69,140
89,73,82
190,70,354
8,144,255
69,106,191
190,29,111
16,282,161
222,35,72
32,105,397
16,462,353
87,106,391
72,72,141
65,142,108
84,110,105
32,75,72
73,75,375
70,101,79
32,71,63
84,74,105
72,67,79
69,66,71
32,64,70
71,74,151
65,70,167
89,73,143
32,66,76
67,69,133
79,72,80
85,71,114
80,74,168
76,108,35
69,102,42
32,64,106
73,72,75
83,64,77
78,72,82
222,70,210
84,74,106
32,107,36
82,108,156
69,66,113
76,72,137
73,74,348
71,64,79
73,74,81
79,101,6
85,69,298
83,71,79
16,283,184
191,106,74
32,105,70
16,246,655
84,79,174
72,74,88
79,71,161
83,66,75
69,106,29
32,71,70
80,108,185
69,29,112
79,66,33
80,139,73
76,74,100
69,65,43
32,99,71
68,73,294
79,64,76
78,71,114
222,73,215
84,68,76
32,107,30
72,73,164
65,71,34
86,109,136
69,66,114
32,67,70
16,142,478
77,38,70
85,73,144
83,73,86
76,70,116
73,108,167
78,63,113
32,68,69
8,173,201
77,72,243
32,65,76
79,108,113
70,66,113
32,70,30
8,169,220
82,32,172
32,98,37
74,71,133
8,70,373
16,346,75
74,39,133
69,106,307
87,70,70
73,72,111
83,72,82
72,74,339
32,105,102
66,71,647
69,70,86
76,69,122
73,73,138
69,108,37
70,104,113
69,74,64
83,110,142
188,30,113
32,71,68
8,423,195
83,63,426
188,35,75
32,108,59
83,108,331
79,29,112
32,71,37
84,73,287
72,72,88
69,66,75
89,71,137
32,71,34
67,36,208
65,64,42
78,174,69
79,106,353
84,106,119
32,70,69
83,74,182
65,71,506
89,109,162
32,64,114
84,74,123
72,105,82
65,111,126
84,108,36
32,61,80
84,72,93
72,101,76
69,107,65
32,71,70
69,69,224
88,70,188
76,69,106
8,73,492
67,64,77
76,64,69
85,76,144
83,64,80
73,105,72
79,72,68
78,109,198
32,63,114
79,107,161
70,66,112
32,107,28
71,72,207
65,70,141
89,110,142
32,109,71
77,72,-1
82,72,141
8,70,341
65,72,35
82,143,75
73,110,166
65,26,115
71,106,86
69,104,111
32,141,33
73,73,346
83,106,38
32,70,70
85,108,153
78,71,72
73,75,169
86,69,197
69,106,124
82,72,69
83,70,158
65,71,97
76,72,99
190,106,158
32,106,141
16,136,112
73,42,99
70,106,138
32,69,71
80,73,174
69,102,75
79,65,106
80,143,72
76,111,106
69,72,71
32,60,45
84,71,102
79,238,411
75,37,296
32,107,66
65,105,167
32,107,33
77,71,199
79,73,140
82,109,77
69,110,67
32,99,45
79,141,-1
80,79,68
69,70,117
78,63,76
173,71,1243
77,75,224
73,108,141
78,108,72
68,69,72
69,107,134
68,73,211
32,107,36
65,73,532
80,219,77
82,30,222
65,72,211
79,68,79
67,106,74
72,64,111
32,28,69
84,108,82
79,43,73
32,96,48
71,70,182
8,1212,188
79,106,1419
65,64,111
67,37,89
72,105,62
32,66,108
84,108,144
79,72,70
32,65,77
71,66,70
65,36,161
89,106,170
32,105,70
77,71,409
65,70,103
82,211,133
65,70,229
8,69,353
73,105,129
65,72,69
71,143,80
69,67,148
32,108,28
84,69,297
72,71,84
78,108,278
8,71,262
69,106,79
78,67,110
32,66,71
16,137,69
73,79,66
32,53,34
84,73,102
72,63,78
73,106,87
78,101,110
75,68,105
32,101,72
84,32,105
72,97,37
69,37,121
89,70,146
32,69,75
87,75,119
79,96,81
76,109,272
8,68,267
85,36,174
76,112,162
68,71,73
32,98,42
82,75,431
69,70,38
65,73,194
76,30,78
73,106,123
90,43,69
69,112,140
32,108,73
84,72,130
72,108,90
65,115,71
84,37,71
32,94,50
69,298,98
8,75,471
86,64,80
69,74,85
82,65,79
89,72,167
79,71,80
78,107,152
69,107,70
32,105,71
66,106,568
89,67,109
32,99,71
82,70,144
72,112,79
69,105,73
32,108,69
67,73,245
8,843,266
85,106,979
82,30,111
32,140,41
