VK,HT,FT
16,168,-1
79,118,113
80,290,207
79,103,264
78,111,192
69,176,104
78,88,240
84,104,232
83,144,120
32,87,104
79,95,112
70,120,72
32,159,56
71,112,216
65,136,120
77,102,97
8,48,487
89,80,64
32,104,64
77,80,120
65,136,56
82,328,96
73,80,392
65,127,64
71,127,120
69,139,96
32,79,112
79,63,112
70,79,352
84,97,192
69,119,96
78,111,96
32,95,80
80,151,168
79,128,120
73,87,201
78,79,175
84,79,120
32,88,72
84,88,160
79,112,48
32,112,72
82,112,128
69,118,65
76,88,111
73,104,184
71,112,168
73,112,72
79,87,56
78,104,168
8,64,416
85,71,489
83,112,95
32,66,96
79,88,64
82,88,128
32,104,152
83,88,176
76,63,121
73,71,760
80,231,160
69,79,247
82,120,56
32,128,160
83,87,169
8,191,480
89,104,255
32,88,240
83,122,168
76,72,120
79,127,257
80,80,175
69,72,88
32,104,80
65,144,120
82,87,97
71,87,216
85,79,80
77,47,200
69,96,23
78,95,176
84,104,24
83,143,161
32,103,304
84,103,208
79,151,48
32,119,88
66,143,280
79,95,144
76,103,175
84,87,256
69,103,176
82,111,80
83,111,176
8,823,385
83,111,816
84,87,112
69,96,159
82,120,104
32,88,232
84,107,136
72,96,88
73,112,104
82,112,152
32,38,209
8,376,279
69,72,352
73,96,120
82,96,88
32,96,112
80,112,144
79,143,49
73,96,231
78,80,208
84,88,112
32,75,96
79,111,73
70,96,127
32,104,56
86,135,409
73,98,208
69,183,96
87,135,105
188,144,166
32,135,81
66,79,1240
85,48,336
89,23,7
84,112,56
8,240,448
84,136,264
32,79,49
70,64,223
82,135,161
69,295,96
32,103,280
83,95,184
80,120,127
69,390,97
67,96,551
72,96,64
32,88,72
65,96,48
78,104,112
68,82,56
32,96,64
76,80,184
67,96,192
79,86,2
8,200,-1
79,96,304
71,135,57
73,104,151
67,136,144
65,119,73
76,80,87
32,95,521
71,31,264
65,119,16
8,239,296
70,160,271
65,143,113
76,95,272
65,55,48
76,55,160
8,207,264
76,87,480
65,79,96
67,119,152
73,71,80
69,128,191
83,127,105
32,63,144
82,143,176
69,103,88
84,63,256
79,87,128
82,104,119
84,111,585
83,103,176
32,111,112
69,143,120
65,135,112
83,87,280
85,56,111
8,87,385
73,80,175
76,88,176
89,103,56
32,88,80
85,88,144
80,104,184
68,63,297
8,71,296
69,87,32
78,82,472
68,95,80
32,95,104
84,83,127
72,79,57
69,87,112
73,103,56
82,89,136
32,95,64
65,143,192
82,95,104
71,96,223
85,71,89
77,79,192
69,115,95
78,79,89
84,95,56
83,143,104
190,127,368
32,223,776
16,120,263
83,135,57
85,95,136
80,143,184
79,103,168
8,63,312
80,111,200
79,135,48
82,119,128
8,63,448
73,23,184
82,95,200
8,231,240
82,71,208
84,87,160
69,107,136
82,95,80
83,143,120
32,87,120
79,87,72
70,71,80
32,95,80
71,71,192
65,127,152
77,71,136
69,71,104
32,111,176
8,215,264
89,95,312
8,47,8
32,127,120
8,240,263
89,104,320
32,80,136
77,96,176
65,144,64
82,256,128
73,88,272
65,128,48
71,96,112
69,135,81
188,103,88
32,127,64
84,87,216
72,95,40
8,223,376
72,79,360
79,103,152
87,143,96
69,103,96
86,79,200
69,120,160
82,114,88
188,87,40
32,143,48
65,143,960
76,111,104
83,119,136
79,135,88
32,103,96
72,87,160
65,119,32
86,71,80
69,111,136
32,103,64
71,87,112
79,215,96
68,71,176
32,119,96
82,183,64
69,135,64
65,159,112
83,135,144
79,63,128
78,95,160
83,103,96
32,103,64
84,87,152
79,95,16
32,135,88
65,95,72
67,95,184
84,111,208
73,104,679
86,128,161
69,136,256
76,72,208
89,111,152
32,112,80
83,87,680
85,88,112
80,271,192
79,135,232
82,88,127
84,103,169
32,103,80
77,151,872
8,103,904
65,98,168
82,671,72
73,72,688
65,144,384
71,88,120
69,121,64
32,111,96
69,168,128
81,167,120
85,111,136
65,104,152
76,80,136
73,87,176
84,80,80
89,80,184
188,103,24
32,119,80
78,95,136
79,95,216
84,111,64
32,120,152
74,47,320
85,87,152
83,136,80
84,64,144
32,93,18
82,143,174
69,112,64
65,135,88
83,168,128
79,80,176
78,80,160
83,111,64
32,89,105
84,112,87
69,152,88
72,136,72
89,120,256
8,384,280
72,95,488
69,136,64
89,120,160
32,71,121
81,143,327
85,69,19
69,167,629
83,103,128
73,103,200
79,95,88
8,263,568
84,135,648
73,144,88
79,56,88
78,107,160
32,104,80
84,103,96
72,96,80
69,96,72
32,104,64
80,96,168
8,72,664
79,72,176
80,824,160
79,104,896
83,95,136
73,71,64
78,80,152
71,99,88
32,79,72
83,96,160
73,71,64
68,88,96
69,103,176
190,88,152
32,288,400
16,96,512
70,72,48
73,87,136
82,112,80
83,144,72
84,104,152
188,95,16
32,127,64
73,80,192
77,56,192
80,96,144
76,96,112
73,104,192
69,135,65
68,120,255
32,87,97
67,104,159
79,64,72
78,96,136
83,80,112
73,64,104
8,96,816
84,96,120
73,120,112
84,111,168
85,111,136
84,130,144
73,111,104
79,63,80
78,79,160
65,127,264
76,128,64
32,127,81
82,111,159
73,96,120
71,80,152
72,96,96
83,136,176
32,104,192
70,72,1072
79,88,88
82,118,81
32,119,88
8,863,728
84,128,871
83,160,136
32,104,272
70,72,176
79,80,104
82,111,73
32,72,119
80,88,192
82,87,89
79,71,168
8,72,247
73,80,168
86,80,88
67,127,713
8,71,352
65,95,40
67,208,135
89,47,105
32,111,688
65,104,175
78,88,128
68,135,73
32,119,80
69,96,1023
88,111,240
80,39,120
76,112,144
69,112,608
67,87,377
8,216,255
67,80,296
73,63,41
8,223,608
73,127,592
67,119,496
73,104,143
84,79,105
89,80,175
32,111,177
8,240,295
32,112,296
82,87,497
73,80,95
71,80,144
72,87,81
84,135,80
83,135,96
32,78,88
73,95,40
78,102,168
32,87,72
84,111,80
72,103,64
69,136,39
32,127,97
70,63,408
73,79,104
82,135,56
83,143,112
84,95,144
32,95,16
65,135,120
77,98,96
69,127,96
78,103,160
68,104,127
73,79,193
78,48,167
8,175,241
77,63,296
69,96,71
78,71,89
84,103,96
188,120,111
32,111,89
87,127,320
72,71,80
69,88,119
78,104,56
32,112,88
73,72,168
78,104,144
84,56,80
69,96,112
82,120,72
80,96,192
82,151,137
69,120,79
84,111,233
69,119,72
68,104,215
32,79,89
67,103,200
79,79,64
82,271,144
69,103,232
67,87,192
84,95,200
76,95,152
89,95,96
188,119,128
32,119,104
80,71,584
82,95,168
79,79,144
72,111,264
73,103,152
66,127,400
73,87,136
84,111,176
32,95,176
84,103,168
72,79,40
69,103,88
32,127,40
83,104,207
79,103,97
82,79,88
84,79,184
32,59,64
79,109,26
70,79,126
32,119,48
71,167,304
79,79,216
86,71,80
69,128,184
82,143,104
78,87,96
77,79,208
69,87,56
78,88,119
84,87,49
32,135,80
79,95,168
86,79,104
69,127,160
82,119,96
84,63,264
8,63,216
83,103,88
73,63,112
71,63,128
72,80,71
84,87,81
32,87,104
82,119,160
69,207,64
81,160,151
85,128,128
73,96,160
82,144,104
69,120,64
68,104,216
32,72,112
84,104,65
79,91,80
32,119,64
68,70,193
69,63,175
73,79,168
8,184,335
73,79,281
83,116,27
67,79,173
82,103,200
73,56,111
77,72,160
73,55,153
78,95,128
65,90,104
84,119,72
69,143,72
32,80,159
66,87,393
69,127,80
84,87,136
87,143,192
69,319,80
78,79,312
32,119,40
71,103,208
65,111,88
78,79,144
69,111,72
8,223,312
89,71,216
32,95,136
65,95,136
78,87,80
68,87,120
32,103,48
83,127,128
84,63,136
82,119,168
65,159,72
73,95,184
71,87,184
72,103,72
