VK,HT,FT
16,256,-1
73,80,128
32,80,215
68,240,127
73,160,193
83,141,96
80,112,254
73,80,113
83,112,137
69,80,123
32,112,128
71,85,175
65,128,71
89,128,184
83,160,144
188,98,528
190,112,342
8,96,471
69,96,112
83,144,112
80,96,144
73,112,320
83,112,87
69,79,82
32,92,144
71,111,480
65,112,144
89,81,240
83,80,144
190,96,432
32,112,608
84,112,156
72,125,79
8,240,576
16,416,416
84,112,127
72,43,180
69,47,80
89,125,64
32,80,160
84,96,116
72,160,19
73,176,128
78,128,96
75,141,114
32,144,320
84,96,224
72,112,103
69,63,148
89,95,166
222,95,83
82,192,96
69,96,113
32,82,362
83,144,247
79,125,145
32,160,144
83,80,208
80,128,240
69,96,114
67,160,192
73,144,112
65,112,560
76,127,148
32,127,263
80,96,702
65,159,192
82,128,241
65,111,1117
68,160,183
73,176,192
78,96,112
71,112,87
32,112,23
65,111,345
82,142,176
79,229,474
85,66,120
78,144,112
68,128,223
32,96,199
65,129,144
83,162,94
75,80,149
73,128,128
78,96,112
71,95,97
32,112,120
70,115,464
79,112,208
82,80,96
32,107,432
82,47,985
73,98,133
71,93,160
72,176,128
84,112,217
83,144,144
188,81,223
32,96,216
87,128,128
72,112,112
69,111,80
78,86,118
32,96,261
73,108,1024
78,128,112
32,134,366
82,144,80
69,176,77
65,149,145
73,144,160
8,96,464
76,112,240
73,149,272
84,64,265
89,113,211
32,96,157
73,155,763
84,336,127
222,112,45
83,128,144
32,116,144
74,535,904
85,80,144
83,163,112
84,96,176
32,80,176
65,144,192
78,112,80
79,128,96
84,112,80
72,128,192
69,96,145
82,47,80
32,161,249
70,91,143
65,112,145
68,176,250
190,112,416
32,127,224
16,208,464
73,128,112
84,114,192
222,128,80
76,144,270
32,127,296
70,112,1280
65,112,192
68,163,184
69,73,111
32,126,142
73,96,176
78,112,80
32,191,336
65,110,1022
78,108,45
68,95,160
32,98,248
79,66,304
85,135,86
84,112,254
32,127,256
69,80,112
86,112,128
69,128,64
78,128,128
84,111,224
85,112,224
65,96,112
76,256,159
89,80,272
32,96,320
71,144,30
73,144,208
86,129,109
69,57,111
78,128,141
32,96,224
84,96,128
73,175,139
77,69,207
69,7,93
190,86,375
32,80,159
16,528,145
73,112,112
32,144,656
66,117,206
69,96,464
76,96,144
73,144,98
69,96,111
86,143,222
69,103,96
32,95,160
73,96,224
78,128,80
32,99,240
16,353,49
71,128,480
79,176,160
68,112,165
32,1,151
65,128,96
78,160,127
68,112,112
32,110,154
16,384,208
73,128,144
84,112,129
32,96,208
73,159,320
83,90,96
32,96,188
87,128,176
82,80,95
73,80,207
84,112,287
69,96,112
78,96,192
32,112,233
73,96,164
78,112,80
32,38,240
84,96,224
72,111,127
69,81,148
32,80,128
66,112,288
73,140,96
66,96,632
76,127,288
69,73,129
32,96,101
84,130,253
72,144,96
65,128,80
84,112,137
32,120,268
84,79,194
72,129,98
69,80,128
82,47,13
69,176,144
32,112,160
73,140,698
83,96,123
32,112,336
78,96,80
79,77,4
32,99,181
83,128,140
85,128,256
67,128,176
72,128,207
32,176,912
84,120,320
72,144,128
73,128,121
78,96,80
71,111,82
32,112,160
65,83,56
83,169,94
32,112,176
66,96,288
69,128,80
73,128,224
78,128,112
71,66,97
32,112,81
71,128,197
69,128,128
78,128,166
69,80,112
84,112,202
73,143,160
67,128,144
65,128,240
76,257,155
89,113,256
32,80,224
65,111,176
32,176,222
16,208,304
222,112,93
72,160,96
79,176,79
77,112,96
79,144,513
16,256,473
222,112,126
32,128,128
8,784,368
190,58,342
32,96,160
16,188,432
84,96,24
72,18,272
69,14,138
83,80,22
69,96,109
32,112,160
65,143,155
66,96,453
79,144,518
77,166,128
73,144,96
78,128,235
65,112,48
84,38,172
73,27,116
79,176,128
78,128,112
83,144,139
32,96,224
65,111,96
82,168,160
69,141,144
32,108,138
65,144,264
32,127,192
66,128,288
76,96,97
73,160,181
71,96,165
72,64,128
84,112,319
32,128,208
65,112,97
78,112,18
68,95,144
32,79,143
65,176,113
32,128,256
66,176,54
76,144,97
69,104,112
77,144,160
73,144,144
83,80,79
72,92,203
32,80,912
79,304,203
78,128,112
32,81,224
79,304,304
85,129,144
82,95,144
32,112,160
83,111,1168
79,145,64
67,128,159
73,96,192
69,96,128
84,69,539
89,96,272
190,144,335
32,32,239
16,280,260
84,112,96
72,96,160
69,77,128
82,127,0
8,22,510
89,80,128
32,80,221
70,112,464
73,96,118
76,96,304
32,119,112
79,31,223
85,44,144
82,80,145
32,112,240
67,112,304
72,176,112
73,128,128
76,288,288
68,96,177
82,144,202
69,111,120
78,83,112
83,81,96
32,95,188
72,144,784
69,144,80
8,131,368
222,127,128
83,128,1
32,91,82
72,100,784
69,144,80
65,144,112
68,160,217
83,127,958
32,127,224
87,112,100
73,96,112
84,88,128
72,128,81
32,176,912
83,144,189
76,96,304
65,112,175
78,94,752
68,96,121
69,80,132
82,113,80
32,144,53
65,144,192
78,105,28
68,95,145
32,112,144
70,112,464
73,110,192
76,288,182
84,242,320
72,137,68
190,160,688
32,144,403
16,192,112
87,121,204
69,126,48
32,128,176
67,137,196
65,112,560
78,112,752
79,112,128
84,107,70
32,128,702
65,128,192
76,149,115
79,112,128
87,96,159
32,96,272
84,127,192
72,93,80
69,94,81
77,111,160
32,124,256
84,119,149
79,200,126
32,128,155
67,96,192
79,128,144
78,128,122
84,108,115
73,175,112
78,96,96
85,96,256
69,144,96
32,80,175
68,95,145
79,188,127
73,112,160
78,96,112
71,107,97
32,128,143
84,96,224
72,144,82
73,168,135
83,80,117
188,112,223
32,112,239
65,129,144
78,95,160
68,110,145
32,96,45
87,104,368
69,96,111
32,143,252
77,128,192
85,128,96
83,112,96
84,112,224
32,96,1066
84,112,112
65,144,145
75,144,127
69,59,121
32,129,160
65,143,4
67,96,176
84,95,112
73,144,145
79,96,128
78,96,111
190,129,404
32,64,224
16,387,427
71,128,160
79,111,192
68,96,192
32,95,101
87,96,368
79,96,144
85,129,112
76,256,143
68,160,61
78,95,113
222,131,127
84,34,67
32,80,175
87,88,190
65,96,128
78,112,128
84,128,202
32,96,192
85,129,112
83,96,96
32,64,224
84,112,113
79,162,96
32,128,128
80,80,224
69,96,96
82,112,48
77,128,240
73,112,336
84,112,272
32,80,128
84,112,135
72,160,110
69,96,131
77,92,96
32,32,256
84,112,182
79,100,95
32,128,166
82,192,1152
69,54,111
77,94,96
65,112,176
73,176,144
78,113,80
32,43,253
72,144,255
69,166,109
82,100,127
69,79,209
188,112,294
32,112,153
83,144,49
79,143,96
32,128,320
87,64,169
72,96,112
69,144,87
8,161,383
89,80,28
32,80,179
65,111,128
82,131,151
69,96,168
32,80,38
65,159,145
8,240,512
87,64,426
69,144,112
32,128,288
78,134,122
79,145,112
84,111,128
32,127,192
76,127,64
73,152,253
83,112,96
84,96,274
69,96,144
78,111,113
73,128,128
78,96,110
71,96,96
32,128,174
84,96,174
79,166,95
32,128,136
72,144,240
73,128,221
77,144,128
16,225,277
191,355,475
