VK,HT,FT
16,685,-1
79,153,0
78,183,153
69,109,225
32,162,81
80,126,327
69,86,133
82,73,211
83,161,0
79,139,6
78,115,106
222,141,650
83,100,235
32,181,212
82,74,368
73,123,108
71,89,160
84,86,241
8,585,349
72,85,70
84,106,416
83,96,305
32,97,124
83,88,95
72,104,69
79,216,176
85,145,140
76,125,124
68,130,157
32,98,110
69,95,621
88,88,357
84,100,75
69,96,412
78,128,0
68,90,240
32,69,45
84,64,0
79,116,62
32,107,234
87,90,262
72,135,0
69,101,179
82,92,186
69,108,294
32,288,381
65,121,141
78,170,81
79,161,142
84,78,112
72,129,118
69,94,126
82,102,219
32,104,83
8,353,672
222,137,458
83,122,225
32,0,88
69,93,597
78,109,215
68,54,124
83,71,203
190,73,214
32,94,318
16,940,132
84,60,327
87,76,221
79,179,208
32,115,328
72,192,252
65,72,284
80,148,213
73,117,283
76,185,331
89,95,499
32,99,172
8,80,629
80,211,24
69,69,155
79,160,0
80,252,244
76,45,273
69,69,211
32,66,0
84,93,694
72,111,141
65,83,311
84,132,115
32,0,209
76,57,208
79,105,543
86,63,362
69,44,244
32,111,217
69,79,9
65,74,278
67,143,242
72,125,543
32,117,164
79,143,0
84,50,215
72,148,153
69,77,192
82,99,200
32,94,163
85,127,379
78,145,123
67,80,291
79,160,119
78,167,111
68,99,264
73,139,364
84,82,312
73,166,41
79,193,254
78,168,25
65,70,480
76,207,0
89,142,214
32,97,285
83,84,197
72,108,60
79,209,243
85,167,155
76,113,155
68,70,166
32,97,101
66,105,267
69,133,321
32,823,88
65,78,288
76,252,83
79,122,670
87,78,318
69,114,214
68,53,261
32,76,0
84,126,400
79,121,84
32,96,129
71,123,386
69,64,184
84,101,421
32,122,82
77,92,626
82,0,314
8,234,592
65,95,512
82,285,337
73,114,151
69,85,147
68,89,218
188,124,854
32,98,1023
82,111,0
69,83,222
71,97,10
65,77,192
82,289,379
68,105,337
76,54,148
69,127,100
83,155,362
32,181,114
79,159,547
70,120,277
32,115,156
69,70,488
73,123,165
84,79,113
72,142,133
69,98,216
82,90,196
32,92,80
79,148,157
70,139,512
32,111,179
84,104,219
72,142,131
69,59,218
32,94,119
80,122,328
69,110,106
82,86,229
83,110,273
79,121,0
78,112,23
222,151,596
83,83,412
32,83,208
65,89,516
71,106,176
69,66,310
190,146,223
8,498,666
71,150,108
69,96,167
78,88,121
68,80,108
69,85,202
82,86,221
190,109,0
32,112,362
16,541,388
84,84,189
72,150,113
69,107,130
82,96,245
69,51,139
32,260,161
73,144,381
83,73,257
32,107,129
65,114,121
66,112,4
83,126,262
79,197,111
76,118,266
85,149,224
84,65,198
69,90,162
76,228,178
89,133,275
32,98,149
8,226,457
32,39,146
78,76,0
79,159,191
32,99,329
82,79,634
69,61,183
65,96,216
83,64,199
79,180,244
78,137,167
32,114,302
84,101,292
72,182,73
65,76,241
84,122,32
32,0,242
84,99,96
87,56,292
79,220,0
32,106,273
67,68,51
79,122,72
78,130,85
83,114,441
8,783,326
83,70,180
69,72,207
78,117,163
84,71,310
73,133,334
78,137,92
71,96,157
32,115,114
65,70,165
68,71,271
85,154,389
76,124,303
84,85,173
83,99,311
32,0,136
83,76,347
72,142,100
79,203,211
85,145,145
76,127,214
68,102,167
32,84,118
66,90,64
69,177,177
32,0,149
65,97,211
66,88,124
76,131,273
69,179,122
32,0,95
84,105,68
79,143,55
32,80,273
8,371,509
78,153,108
222,139,644
84,99,285
32,0,26
66,129,258
69,46,200
32,186,78
65,69,229
66,135,695
76,171,327
69,230,172
32,0,186
84,83,444
79,128,74
32,88,214
69,84,301
88,96,291
80,114,226
82,166,182
69,55,116
83,147,369
32,30,157
84,85,445
72,153,122
69,68,161
73,135,186
82,109,203
32,101,254
76,120,325
79,103,238
86,95,137
69,103,127
32,190,0
69,73,188
65,113,229
67,101,395
72,154,258
32,90,175
79,154,375
84,70,229
72,160,127
69,123,135
82,59,214
32,107,196
73,166,466
78,149,117
32,97,264
84,62,197
72,170,115
73,191,115
83,110,89
32,93,100
87,95,486
65,98,240
89,123,322
190,124,585
32,104,180
16,28,827
73,136,46
84,103,218
32,78,171
77,126,360
65,64,178
89,151,131
32,96,239
71,90,382
79,193,105
32,107,185
65,89,244
71,105,202
65,80,478
73,91,519
78,165,127
83,71,249
84,76,275
32,167,46
89,123,139
79,101,274
85,157,167
82,75,210
32,85,238
80,128,299
69,95,148
82,91,205
83,62,328
79,144,37
78,151,60
65,117,0
76,220,71
32,95,292
82,76,86
69,93,215
76,78,47
73,96,223
71,114,192
73,150,715
79,183,74
78,134,77
32,86,236
79,143,502
82,105,48
32,98,368
66,126,149
69,24,192
76,241,94
73,102,251
69,100,81
70,92,174
83,131,195
188,135,614
32,133,618
66,103,445
85,130,213
84,105,205
32,189,65
84,78,353
72,89,130
