VK,HT,FT
20,106,-1
71,111,31
20,178,113
65,80,224
89,191,83
32,136,129
77,112,151
65,72,69
82,276,286
73,173,1125
65,85,126
71,190,120
69,86,88
32,99,120
73,112,152
83,155,111
32,96,83
68,79,889
73,96,107
83,49,481
71,106,130
85,114,140
83,104,183
84,67,94
73,111,110
78,153,159
71,72,104
190,9,977
32,89,672
20,138,221
73,123,74
20,190,18
84,58,135
32,111,137
73,168,88
83,68,139
32,90,145
67,135,176
79,68,78
77,80,188
80,83,49
76,145,22
69,116,183
84,145,195
69,170,578
76,231,64
89,108,184
32,116,121
65,100,133
71,68,194
65,33,214
73,139,273
78,120,132
83,73,97
84,71,184
32,76,83
84,96,145
72,80,68
69,89,67
32,98,88
73,72,133
68,113,107
69,128,108
65,148,77
76,103,108
83,80,19
32,100,232
79,112,205
70,35,100
32,151,96
65,55,176
32,59,65
84,160,267
82,110,168
65,64,91
68,61,652
73,91,119
65,115,96
8,262,417
84,86,120
73,142,145
79,144,31
78,157,144
65,124,160
76,120,80
32,60,108
77,80,171
65,148,111
82,206,112
73,127,222
65,161,75
71,127,65
69,136,102
32,120,112
69,145,220
8,57,385
66,72,395
69,95,107
84,248,176
87,144,224
69,642,189
78,63,277
32,92,72
65,160,56
32,85,132
77,93,307
65,48,159
78,69,155
68,111,80
32,92,62
65,126,144
8,83,590
32,123,759
65,130,215
78,84,5
68,97,107
32,70,60
65,64,379
32,46,61
87,72,237
79,81,103
77,88,152
65,86,136
78,166,128
190,89,263
32,11,494
20,109,474
79,104,70
20,9,998
85,57,98
82,72,137
32,65,74
75,95,393
73,90,138
68,67,138
83,103,53
32,128,128
83,125,190
72,49,98
79,106,77
85,62,75
76,56,166
68,59,104
32,137,125
78,145,123
79,99,111
84,168,192
32,96,67
72,40,43
65,71,67
86,73,174
69,109,89
32,130,64
84,76,181
79,72,29
32,95,75
71,83,143
82,63,99
79,112,87
87,79,135
32,94,135
85,104,111
80,66,69
32,109,93
87,47,96
73,104,80
84,96,96
72,96,118
32,159,99
84,109,126
87,77,191
79,39,80
32,110,88
77,79,368
79,141,96
77,96,61
83,151,169
32,94,125
79,108,101
82,92,72
32,136,111
87,139,125
8,6,360
84,128,1291
87,121,255
79,104,112
32,48,194
68,188,484
65,125,138
68,215,232
83,112,215
188,228,184
32,104,40
66,144,204
69,132,243
67,94,233
65,173,95
85,111,96
83,73,297
69,71,69
32,80,70
77,79,130
79,135,181
77,90,226
83,152,590
32,93,111
65,110,169
78,78,124
68,94,10
32,112,168
68,97,181
65,84,98
68,184,167
83,51,187
32,164,157
80,86,194
76,88,154
65,205,101
89,96,240
32,70,96
68,49,405
73,106,112
70,205,132
69,29,272
82,53,93
