VK,HT,FT
16,189,-1
71,89,173
65,131,149
89,97,97
32,185,135
73,102,135
78,118,145
68,87,129
73,125,109
86,69,107
73,114,139
68,129,104
85,126,152
65,135,126
76,142,142
83,117,171
32,132,116
65,147,234
82,123,89
69,121,77
32,142,110
67,94,163
76,120,175
69,100,111
65,114,86
82,112,84
76,114,187
89,97,129
32,328,146
77,116,186
69,99,122
65,113,107
78,143,121
84,89,140
32,119,78
84,92,117
79,113,102
32,118,80
66,57,251
69,75,153
32,120,127
84,106,147
79,110,79
71,78,97
69,99,136
84,78,139
72,98,89
69,97,106
82,124,70
190,103,106
32,156,114
16,142,142
80,98,198
69,115,135
79,131,136
80,103,131
76,129,92
69,95,107
32,121,80
67,82,153
82,103,167
69,128,100
65,115,96
84,190,114
69,85,104
32,119,108
65,128,100
76,128,126
32,122,121
79,107,139
70,74,87
32,103,107
84,99,157
72,101,72
69,105,104
83,163,137
69,130,97
32,122,188
83,106,146
85,118,156
80,127,110
79,134,82
83,104,158
84,131,144
73,114,107
79,159,72
8,134,374
73,113,238
84,83,116
73,109,133
79,181,70
78,113,203
83,112,178
32,133,120
84,109,167
72,89,101
65,104,70
84,78,74
32,133,58
65,130,173
32,153,110
70,82,208
69,181,148
77,114,234
65,126,92
76,112,102
69,80,116
32,124,110
65,130,110
78,91,100
68,97,125
32,135,105
70,71,181
69,140,155
77,103,151
65,123,110
76,110,112
69,85,135
32,117,108
79,107,147
82,89,130
32,131,61
65,146,233
8,342,426
77,102,136
65,118,113
76,109,119
69,80,127
32,122,107
65,129,122
78,103,95
68,98,142
32,131,118
77,102,163
65,123,89
76,115,111
69,93,113
32,122,113
67,81,153
65,124,145
78,161,72
79,111,186
84,97,122
32,127,84
83,110,222
73,103,235
77,118,214
80,97,146
76,137,225
89,91,115
32,266,133
66,63,186
69,81,150
32,132,97
74,264,41
79,119,136
73,99,93
78,104,143
69,84,94
68,90,223
32,121,101
84,94,138
79,105,80
71,73,197
69,108,105
84,132,147
72,99,95
69,91,98
82,134,81
188,459,970
32,136,106
87,98,137
69,146,76
8,174,386
66,74,184
85,129,167
84,80,170
32,126,89
87,99,122
69,196,71
32,129,124
76,149,83
73,123,227
86,78,109
69,108,147
32,125,138
73,105,169
78,126,147
32,126,85
65,147,108
32,152,112
70,79,144
82,95,97
69,124,96
32,148,136
67,79,160
79,112,91
85,121,151
78,127,151
84,93,109
82,127,132
89,93,108
32,81,124
65,133,318
78,123,95
68,92,127
32,137,117
73,98,169
84,87,137
8,254,417
84,93,93
32,132,70
73,107,127
83,99,84
32,140,123
85,126,93
80,121,218
32,141,95
84,99,128
79,108,80
32,123,79
69,88,246
65,113,78
67,90,191
72,106,102
32,141,102
73,111,154
78,111,139
68,89,154
73,130,126
86,82,100
73,126,131
68,126,108
85,123,107
65,146,145
76,134,132
32,118,137
84,108,141
79,118,117
32,120,78
77,116,158
65,121,101
75,581,988
69,98,100
32,131,120
84,95,108
72,110,90
69,109,113
83,169,158
69,127,95
32,126,194
68,98,123
69,71,184
73,107,141
67,107,97
73,117,152
83,99,93
73,101,148
79,177,69
78,112,351
83,113,208
190,96,95
32,100,95
16,193,262
87,123,113
72,108,83
69,92,114
78,117,98
32,127,116
65,174,111
32,141,120
80,124,148
69,113,112
82,98,77
83,116,94
79,115,137
78,107,334
32,131,94
73,96,148
83,100,89
32,142,110
66,53,297
79,122,121
82,89,104
78,116,84
188,122,559
32,141,148
84,96,159
72,99,89
69,91,105
89,97,105
32,76,115
67,80,170
65,115,155
78,194,82
32,124,94
66,51,247
69,84,148
32,127,115
66,50,239
79,137,94
82,104,194
78,107,90
32,123,99
71,88,108
65,127,126
89,95,116
190,104,207
32,150,105
16,195,186
84,103,139
72,101,90
69,113,117
89,88,114
32,235,134
67,82,245
65,122,149
78,152,69
32,126,130
71,86,98
82,128,105
79,112,84
87,106,91
32,124,82
85,130,107
80,98,117
32,147,157
72,107,83
65,102,99
86,75,289
73,107,148
78,118,144
71,78,168
32,105,155
84,104,117
72,105,72
69,91,121
83,150,139
69,127,84
32,133,192
70,74,222
69,171,153
76,120,179
73,123,192
78,114,146
71,78,105
83,104,141
32,145,138
84,102,81
72,90,102
65,105,77
84,72,74
32,122,50
65,142,193
82,105,84
69,132,86
8,203,451
84,119,89
72,100,107
69,108,120
89,96,100
32,282,119
65,133,231
82,127,81
69,128,79
32,145,135
65,128,136
84,334,138
82,109,145
65,117,140
67,86,190
84,110,186
69,94,101
68,91,178
32,124,94
84,96,153
79,113,80
32,130,77
84,107,111
72,104,72
69,117,115
32,124,96
83,104,121
65,149,68
77,128,157
69,89,121
32,130,123
83,108,109
69,86,114
88,90,201
190,97,195
32,117,149
16,173,223
73,84,54
84,80,120
32,125,86
73,99,152
83,103,80
32,136,112
66,63,181
69,76,149
67,83,195
65,131,130
85,115,117
83,104,173
69,115,110
32,114,157
87,109,99
69,160,71
32,118,122
76,144,83
73,124,107
86,89,107
69,111,151
32,132,103
73,110,130
78,129,145
32,122,89
65,172,113
78,132,122
32,133,93
69,96,237
78,131,124
86,84,214
73,131,139
82,97,133
79,111,65
78,108,77
77,105,221
69,102,125
78,127,106
84,93,138
32,127,77
73,106,174
78,109,127
32,124,85
87,102,106
72,105,82
73,117,156
67,105,102
72,108,74
32,126,115
80,111,225
69,115,131
79,119,108
80,103,156
76,121,225
69,98,104
32,121,102
67,82,143
79,134,88
78,102,121
68,88,133
69,85,211
77,132,141
78,117,119
32,127,133
79,114,136
78,104,137
69,83,89
32,135,117
65,137,111
78,102,88
79,113,184
84,97,119
72,103,85
69,111,107
82,100,86
32,132,68
84,97,160
72,107,91
65,102,83
84,74,71
32,129,52
84,87,121
72,118,69
69,83,128
83,169,148
69,129,87
32,131,191
73,105,139
78,122,145
68,101,124
73,116,131
86,69,100
73,125,126
68,124,114
85,131,159
65,145,139
76,148,140
83,101,130
32,138,141
67,79,208
65,120,145
78,160,69
79,108,208
84,99,123
8,302,479
32,120,519
78,127,94
79,110,199
84,84,132
32,123,77
79,111,156
80,103,125
69,107,139
78,125,102
76,130,227
89,94,111
32,71,152
69,88,192
77,113,124
66,63,170
82,107,157
65,140,106
83,128,172
69,116,98
32,115,135
84,100,152
72,107,75
69,91,116
73,118,206
82,87,137
32,133,75
79,107,146
87,105,92
78,107,153
32,131,135
85,123,97
73,98,206
78,104,144
81,812,592
85,120,117
69,106,98
32,128,127
83,98,124
69,85,121
88,88,193
85,121,163
65,137,139
76,150,142
73,133,221
84,82,133
89,97,114
32,250,118
65,135,122
78,113,111
68,94,105
32,137,121
65,130,269
84,240,127
82,109,139
65,119,131
67,89,189
84,110,184
73,102,107
79,158,72
78,109,245
32,123,100
84,112,146
79,109,89
87,116,92
65,135,102
82,121,83
68,108,125
83,104,182
32,133,146
84,108,105
72,95,103
69,108,118
32,109,102
83,104,170
65,158,73
77,130,142
69,98,116
32,120,97
83,108,116
69,82,120
88,91,195
190,101,190
32,151,157
8,270,503
78,101,81
73,100,143
