VK,HT,FT
16,257,-1
71,84,165
65,118,193
89,91,120
32,118,123
73,103,162
78,113,150
68,102,145
73,101,120
86,96,94
73,139,121
68,121,93
85,126,128
65,135,104
76,117,117
83,114,158
32,135,121
65,122,189
82,98,92
69,95,72
8,501,412
73,109,152
78,112,146
68,100,143
73,101,118
86,95,93
73,139,121
68,121,93
85,126,128
65,135,104
76,117,117
83,114,158
32,135,121
65,122,189
82,98,92
69,95,72
32,141,85
67,82,198
76,121,147
69,91,129
65,115,89
82,111,86
76,121,147
89,95,139
32,259,138
77,118,169
69,100,110
65,115,89
78,116,119
84,92,163
32,127,82
84,83,184
79,105,85
32,129,78
66,61,158
69,91,159
32,114,89
84,98,235
79,105,85
71,84,165
69,100,124
84,131,83
72,99,101
69,103,102
82,107,75
190,96,168
32,103,78
16,155,255
70,87,148
82,106,125
79,106,90
77,112,92
84,99,136
32,127,82
72,100,102
69,102,101
32,125,101
77,118,169
8,415,491
32,129,108
84,100,145
72,101,85
69,106,106
32,124,97
77,118,169
79,113,120
77,112,92
69,100,110
78,105,104
84,92,163
32,127,82
84,83,184
8,415,491
16,184,273
80,111,173
69,105,120
79,113,120
80,111,173
76,121,147
69,91,129
32,122,106
67,82,198
82,106,125
69,108,87
65,115,89
84,108,99
69,87,103
32,128,111
65,122,124
76,123,117
32,115,149
79,107,203
70,87,148
32,122,82
84,100,145
72,101,85
69,106,106
83,160,152
69,135,93
32,139,167
67,82,198
8,415,491
83,114,158
85,116,120
80,111,173
79,113,120
83,114,158
73,109,109
84,83,125
73,109,152
79,141,71
78,110,121
83,114,158
32,135,121
84,99,139
72,91,88
65,108,80
84,71,77
32,129,63
84,83,184
72,101,85
69,106,106
89,92,117
8,415,491
65,120,147
32,134,113
70,75,197
69,138,168
77,121,149
65,122,116
76,107,123
69,89,156
32,124,114
65,124,88
78,108,101
68,99,119
32,132,97
70,75,197
69,138,168
77,121,149
65,122,116
76,107,123
69,89,156
32,124,114
79,107,203
82,98,122
32,133,84
77,118,169
65,125,85
76,107,123
69,89,156
32,124,114
65,124,88
78,108,101
68,99,119
32,132,97
77,118,169
65,125,85
76,107,123
69,89,156
32,124,114
67,82,198
65,114,139
78,132,71
79,113,120
84,99,136
32,127,82
83,113,204
73,109,109
77,119,171
80,111,173
76,121,147
89,95,139
32,259,138
66,61,158
69,91,159
32,114,89
74,769,61
79,113,120
73,109,152
78,112,146
69,83,90
68,90,212
32,118,109
84,93,116
79,105,85
71,84,165
69,100,124
84,131,83
72,99,101
69,103,102
82,107,75
188,91,199
32,116,79
66,61,158
85,116,120
84,99,136
32,127,82
87,116,193
69,100,124
32,128,111
76,139,204
73,135,111
86,87,93
69,100,154
32,128,111
73,109,100
78,117,153
32,123,80
65,122,189
32,133,113
70,75,197
82,106,125
69,108,87
32,140,113
67,82,198
79,113,120
85,109,74
78,111,132
84,92,163
82,106,125
89,92,117
32,157,125
65,117,288
78,108,145
68,98,115
32,136,96
73,103,162
84,83,125
32,142,87
85,116,120
83,114,158
8,415,491
73,109,152
83,106,107
32,137,111
85,116,120
80,111,173
32,129,108
84,100,145
79,105,85
32,129,78
69,90,191
65,115,89
67,87,198
72,100,102
32,129,108
73,103,162
78,113,150
68,102,145
73,101,120
86,96,94
73,139,121
68,121,93
85,126,128
65,135,104
76,117,117
32,115,149
84,100,145
79,105,85
