VK,HT,FT
16,424,-1
66,81,652
69,55,28
87,115,99
73,95,53
8,710,322
69,93,75
73,128,59
78,122,35
71,99,116
32,116,54
72,115,16
79,90,159
77,122,48
79,101,9
78,130,118
83,116,6
8,767,695
83,105,58
69,89,281
88,113,455
85,88,51
65,90,73
76,101,50
32,83,56
73,101,98
83,18,54
32,148,45
65,123,85
32,167,59
83,103,70
73,100,97
78,140,33
32,143,83
73,111,109
78,138,98
32,101,87
84,155,48
72,108,0
69,105,69
32,167,64
69,86,221
89,92,77
69,127,52
83,42,146
32,92,84
79,109,51
70,85,89
32,124,82
16,976,78
71,108,182
79,108,60
68,75,90
188,128,103
32,93,106
65,97,61
78,102,103
68,92,16
32,160,153
73,123,165
84,104,98
32,146,91
83,86,69
72,133,76
79,127,148
85,55,70
76,124,85
68,86,40
32,153,85
78,90,33
79,135,120
84,83,51
32,139,79
66,88,807
69,118,41
32,133,79
65,104,68
76,110,127
79,118,138
87,87,0
69,98,41
68,88,23
32,107,54
73,98,85
78,139,32
32,91,92
84,135,150
72,101,27
73,119,60
83,85,26
32,146,2
68,49,104
65,91,79
89,113,201
32,152,89
65,125,42
8,402,401
73,115,156
78,111,67
32,101,91
65,96,210
71,99,6
69,107,60
190,51,218
32,104,100
16,156,56
87,114,77
72,99,63
65,135,124
84,109,37
32,151,21
87,89,72
79,97,46
85,88,50
76,144,97
68,66,33
32,146,81
16,264,101
74,555,710
69,85,41
83,99,45
85,116,34
83,109,71
32,92,63
16,13,733
67,99,94
72,122,110
82,95,69
73,123,218
83,252,67
84,117,34
32,167,52
83,107,69
65,94,153
89,121,196
32,140,136
73,110,97
70,79,143
32,37,0
72,93,136
69,76,86
32,87,70
87,83,76
65,93,28
83,89,60
32,87,115
65,116,135
82,110,49
79,115,48
85,50,70
78,86,105
68,76,86
32,97,56
78,95,147
79,90,25
87,121,92
16,412,143
191,843,176
32,123,40
73,114,110
84,89,85
32,122,127
83,115,1
84,88,17
65,192,41
84,88,65
69,99,13
83,86,144
32,150,63
82,134,160
73,123,217
71,72,31
72,93,80
84,90,183
32,153,79
73,101,104
78,147,43
32,122,75
84,150,99
72,116,81
69,111,16
32,143,64
66,92,137
73,91,90
66,86,196
76,132,182
69,86,92
16,166,360
186,913,417
32,139,64
16,173,148
72,112,9
69,105,57
32,169,43
77,64,108
85,105,27
83,122,76
84,95,24
32,100,7
78,115,93
79,112,131
84,95,82
32,147,260
76,41,73
65,94,43
89,113,164
32,108,89
87,140,71
73,93,27
84,96,68
72,79,63
32,104,105
65,121,131
78,117,57
79,28,120
84,38,76
72,122,63
69,101,59
82,101,65
32,80,43
77,120,9
65,94,114
78,113,138
190,74,109
32,31,105
16,208,51
73,102,59
84,96,74
32,146,151
73,109,103
83,97,105
32,151,41
73,98,100
77,124,166
79,141,53
82,78,69
65,100,37
76,115,41
188,118,93
32,80,91
78,96,79
79,91,103
84,56,69
32,90,81
79,93,0
78,124,136
76,107,890
89,113,80
32,89,64
70,85,109
82,87,105
79,106,121
77,109,140
32,104,77
84,70,56
72,111,41
69,96,59
32,170,69
66,88,88
73,100,68
66,87,70
76,94,46
69,86,80
32,83,77
66,89,80
85,122,150
73,149,45
8,257,292
84,144,82
32,152,34
73,114,150
78,106,91
32,121,89
65,85,95
32,157,93
68,87,54
65,107,71
89,121,78
32,130,65
65,80,206
78,95,63
68,76,101
32,48,64
65,95,70
71,101,126
69,98,0
32,150,40
87,113,103
72,112,103
69,96,135
78,114,58
32,142,67
87,97,102
69,16,269
32,129,132
84,75,55
82,96,236
89,113,78
32,109,79
84,99,85
79,108,28
32,172,101
84,83,279
69,118,236
65,126,30
67,153,54
72,121,53
32,102,62
79,112,78
85,164,72
82,104,30
32,129,134
67,102,272
72,114,81
73,131,89
76,103,76
68,78,66
82,117,86
69,107,18
78,98,63
32,85,113
84,139,95
72,106,52
69,108,82
32,112,64
80,107,229
82,116,93
73,88,86
78,111,83
67,217,116
73,108,147
80,94,101
76,228,108
69,85,0
83,81,70
32,155,66
79,103,78
70,85,96
32,137,77
84,96,105
72,125,29
69,114,87
32,183,69
66,52,276
73,104,79
66,77,168
76,81,67
69,95,80
32,171,96
73,137,83
32,155,72
8,118,294
84,86,82
32,90,77
73,108,61
83,138,87
32,116,115
69,95,177
8,292,427
66,87,101
69,127,103
