VK,HT,FT
16,418,-1
83,151,346
73,155,198
78,148,91
67,106,330
69,128,197
32,167,151
84,115,220
72,105,110
69,118,83
32,148,73
8,758,545
84,138,244
72,100,86
69,111,99
32,150,79
66,105,252
69,174,167
71,116,253
73,129,223
78,161,118
73,124,141
71,118,182
78,170,93
32,180,129
8,746,580
73,125,164
78,170,89
71,122,145
32,220,128
79,117,416
70,125,408
32,135,118
8,589,615
73,158,231
78,165,108
71,123,109
32,299,124
79,122,362
70,119,338
32,135,114
84,120,211
73,190,99
77,110,238
69,129,112
32,162,100
77,115,273
65,136,91
82,186,245
65,121,236
71,128,120
69,131,179
32,167,118
8,524,556
65,140,134
8,478,590
71,116,162
69,119,131
32,170,114
8,476,661
73,127,158
65,145,222
71,120,146
69,133,187
32,170,106
72,100,404
65,181,73
83,163,148
32,163,112
66,101,198
69,155,173
78,156,290
32,160,154
68,101,419
69,106,175
70,118,426
73,127,204
78,139,87
69,134,146
68,148,160
32,161,256
65,135,203
83,172,98
32,160,121
65,144,376
32,141,213
82,161,516
69,163,74
76,116,211
65,147,88
84,166,139
73,210,132
79,182,60
78,191,64
83,138,178
72,160,144
73,167,127
79,174,88
80,139,172
32,170,103
8,716,642
80,151,304
32,225,147
66,103,250
69,201,173
84,137,161
87,143,453
69,142,141
78,156,280
32,153,126
65,138,176
32,152,129
77,113,342
65,137,162
78,143,122
32,149,106
65,150,235
78,111,108
68,127,86
32,151,104
65,154,288
32,152,107
87,141,370
79,137,118
77,121,293
65,147,221
78,153,128
190,102,673
32,515,250
16,272,458
73,126,271
78,162,113
32,131,118
84,127,267
72,105,97
69,119,82
32,149,86
8,452,705
78,129,206
32,215,156
84,128,192
72,95,93
69,119,84
32,148,98
76,132,234
65,149,87
83,165,86
84,133,216
32,155,122
68,126,291
69,125,178
67,119,272
65,143,223
68,124,174
69,116,183
32,153,100
79,114,442
82,130,84
32,158,199
83,139,193
79,164,88
32,158,78
85,129,189
77,128,229
65,154,142
8,518,496
72,113,79
85,120,278
77,113,170
65,137,83
78,154,117
32,158,134
8,502,597
80,143,264
69,135,299
8,715,471
83,140,288
79,173,99
77,121,189
69,128,137
32,166,114
80,171,316
69,137,350
79,111,102
80,157,130
76,138,187
69,131,107
32,157,90
72,99,463
65,186,54
86,138,167
69,132,139
32,167,91
84,116,420
82,161,203
73,159,244
69,123,105
68,148,159
32,161,158
84,130,211
72,95,107
8,689,574
79,141,115
32,169,88
67,109,362
72,119,116
65,156,56
78,95,106
71,128,158
69,137,148
32,169,117
84,119,295
72,104,103
65,158,68
84,142,57
32,165,76
84,125,220
72,103,87
8,569,520
32,171,88
68,102,295
69,122,170
70,131,480
73,130,110
78,167,105
73,149,122
84,132,125
73,181,96
79,184,80
78,189,75
190,101,547
32,316,265
16,300,337
75,271,836
78,129,194
79,127,129
8,542,510
16,402,397
84,154,215
72,106,91
69,110,119
89,107,114
32,157,103
83,123,189
65,136,124
89,94,132
32,148,300
84,120,252
72,105,100
65,147,79
84,135,60
32,167,67
84,121,284
72,104,94
69,123,86
89,103,115
32,166,99
65,148,331
82,176,121
69,140,81
32,159,83
65,137,261
84,146,153
82,153,237
65,121,206
67,128,262
84,126,186
69,117,205
68,145,165
32,164,259
84,129,172
79,137,84
32,163,68
84,118,175
72,97,102
69,119,75
8,647,556
83,158,379
79,162,108
77,125,183
69,129,131
79,178,205
78,179,102
69,141,177
32,159,97
79,106,450
70,115,398
32,148,123
84,116,222
72,105,106
69,109,86
32,149,73
83,134,190
65,145,161
77,118,312
69,135,123
32,152,107
83,140,407
69,124,184
88,471,750
190,90,709
32,433,237
16,245,594
84,149,166
79,142,93
32,151,68
8,636,652
79,174,190
32,164,87
77,118,210
69,133,106
32,153,110
84,106,270
72,101,103
73,150,76
83,151,94
32,159,122
73,120,369
83,151,81
32,161,139
74,582,687
85,128,262
83,143,278
84,129,254
32,160,91
8,616,488
32,175,82
8,537,462
16,190,402
73,142,247
32,205,147
84,125,358
72,104,96
73,166,79
78,146,95
75,724,345
8,658,661
16,264,428
32,179,92
16,239,358
73,138,156
32,127,186
84,125,194
72,96,102
73,161,86
78,138,85
75,226,871
32,250,126
84,118,249
72,102,88
69,119,84
89,107,115
32,166,97
65,143,618
8,720,447
72,104,132
65,160,83
86,150,151
69,132,135
32,175,91
83,137,223
79,164,100
77,134,188
69,127,139
84,132,332
73,178,98
78,135,90
71,125,85
32,145,101
8,496,647
79,112,191
77,129,138
69,126,133
84,137,157
72,105,86
73,161,91
78,157,91
71,123,151
32,404,102
87,116,306
82,158,149
79,143,134
78,187,92
71,121,109
32,318,107
87,111,404
73,122,150
84,136,148
72,110,83
32,130,105
84,116,402
72,95,98
69,108,94
77,127,267
190,98,736
32,270,276
16,260,446
87,137,280
72,103,146
69,122,102
78,175,281
32,165,147
89,107,163
79,123,177
85,147,94
32,124,124
84,119,288
72,97,93
73,163,92
78,147,90
75,454,962
32,147,140
65,150,232
66,113,244
79,128,121
85,132,100
84,125,339
32,162,96
73,117,379
84,131,124
32,163,94
84,122,264
72,101,107
69,107,89
32,156,92
72,92,347
85,121,158
77,113,323
65,140,93
78,143,116
32,151,112
82,121,327
65,128,170
67,116,247
87,122,328
8,556,547
69,141,113
32,166,80
67,119,417
65,150,257
78,167,105
222,856,934
84,124,294
32,160,123
8,645,538
78,116,124
32,139,121
78,129,279
79,135,116
84,133,124
32,166,123
83,144,198
85,118,293
82,145,226
86,140,163
73,141,141
86,140,225
69,144,149
32,167,105
87,118,368
72,104,115
69,112,96
78,176,204
32,155,118
80,140,193
65,145,260
73,146,202
82,167,114
69,141,101
68,147,173
32,164,137
85,123,358
80,163,334
32,210,171
65,153,392
83,172,110
32,161,123
87,114,271
79,131,117
78,187,79
65,152,280
78,133,102
32,156,153
61,0,707
8,582,616
77,119,196
65,147,148
78,148,111
32,159,136
84,135,243
79,140,92
32,149,70
87,127,263
79,126,121
77,108,264
65,147,170
78,162,120
32,150,121
65,137,335
78,104,113
68,131,256
32,150,98
77,114,265
65,148,135
78,141,112
32,151,143
84,126,294
79,153,94
32,152,73
77,120,230
65,140,113
78,126,126
190,96,578
32,300,267
16,384,392
65,139,124
83,174,78
32,171,112
8,610,597
16,443,607
84,153,164
72,105,89
69,120,118
82,212,57
69,131,103
32,176,78
73,109,390
83,147,74
32,155,115
78,133,211
79,138,122
32,170,83
87,109,347
65,139,151
89,101,132
32,144,276
84,121,349
79,152,83
32,153,71
82,147,509
69,151,79
8,699,619
80,147,317
82,152,250
79,143,158
67,106,349
82,169,162
69,136,105
65,142,149
84,183,144
69,113,194
32,153,86
65,136,432
78,106,131
68,131,116
32,146,103
72,105,479
65,188,56
86,140,135
69,134,129
32,167,78
67,114,309
72,117,110
73,187,101
76,152,176
68,125,329
82,146,128
69,135,87
78,170,286
190,104,652
32,386,262
16,222,597
84,152,177
72,107,98
69,113,133
8,341,554
16,394,530
84,147,190
72,106,93
69,115,116
82,216,60
69,132,102
70,119,438
79,158,227
82,131,99
32,157,140
84,118,299
79,152,91
32,160,73
77,118,230
69,130,118
32,162,110
84,112,420
72,94,99
65,149,73
84,147,64
32,168,71
8,709,490
65,145,206
84,140,111
32,173,81
82,150,304
69,156,78
73,144,232
68,125,354
69,113,183
82,183,64
65,124,189
84,185,208
69,111,201
83,155,382
32,168,134
84,123,335
72,103,87
69,113,87
32,150,75
68,107,419
69,116,179
70,122,410
73,123,235
78,169,96
73,137,201
84,132,147
73,176,110
79,180,78
78,199,75
32,210,103
79,116,277
70,116,222
32,143,114
77,109,216
65,146,138
78,125,133
32,149,116
65,147,242
78,108,109
68,129,143
32,150,98
87,117,236
79,140,98
77,113,225
65,146,108
78,159,120
32,152,101
82,132,310
69,160,74
76,123,260
65,147,109
84,170,196
73,205,98
79,182,65
78,167,74
83,149,231
72,151,147
73,173,120
80,154,249
83,160,292
32,92,172
8,739,730
190,99,561
32,432,273
16,364,619
73,131,130
70,124,340
32,132,118
73,130,355
8,470,549
16,420,432
71,116,221
79,182,117
8,457,643
73,144,148
84,129,143
32,163,119
87,130,356
69,141,101
82,193,72
69,128,105
32,168,81
77,116,252
69,138,119
78,153,206
84,143,264
32,159,120
84,125,195
79,141,86
32,153,64
8,648,480
78,187,155
84,117,140
32,161,123
84,120,250
79,152,85
32,161,75
66,96,222
69,187,161
32,170,79
84,110,260
72,97,99
69,115,83
32,151,96
79,107,354
84,131,100
72,108,93
69,114,92
82,200,65
69,134,106
32,183,73
8,687,616
32,183,157
87,140,349
65,149,140
89,107,136
32,145,230
84,119,234
72,101,94
69,120,81
82,218,59
69,133,105
32,181,60
87,119,452
79,136,113
76,156,218
68,121,296
32,159,130
72,96,330
8,697,446
85,120,257
76,136,183
68,138,206
32,163,58
72,98,401
65,186,87
86,147,165
69,137,140
32,178,77
66,103,205
69,159,159
78,173,204
32,161,120
65,141,377
32,143,140
87,142,425
65,143,149
89,93,131
32,157,232
80,137,342
82,168,219
79,133,138
86,145,251
73,155,256
68,118,278
69,115,187
68,145,161
32,168,66
84,129,197
79,142,96
32,152,68
66,97,270
69,162,161
32,159,116
65,134,432
66,107,190
76,149,156
69,134,121
32,154,165
84,119,264
79,143,88
32,160,64
83,143,205
69,122,164
67,118,241
85,107,183
82,150,103
69,140,93
32,166,64
84,117,349
72,100,110
69,107,75
32,154,97
72,104,476
85,110,240
77,115,313
65,154,123
78,138,115
32,158,119
82,144,390
65,127,220
67,134,265
69,131,201
32,170,124
87,117,560
73,125,109
84,132,114
72,101,91
32,248,179
73,129,260
84,128,170
32,163,77
66,101,243
69,206,163
73,157,154
78,169,103
71,127,130
32,301,123
84,116,294
72,104,94
65,152,78
84,147,70
32,167,83
87,114,466
65,149,151
89,94,126
190,96,552
32,323,270
79,106,293
82,130,84
32,153,198
84,120,300
87,144,288
79,137,108
8,478,560
16,349,655
73,129,135
32,139,161
84,115,281
72,99,91
73,164,79
78,160,95
75,534,458
71,119,258
32,212,122
8,733,675
32,178,130
84,125,316
72,96,92
69,111,92
82,215,55
69,128,108
32,182,82
72,102,305
65,175,82
83,169,139
32,164,109
66,99,268
69,196,163
78,161,238
32,163,105
83,128,336
79,162,83
77,133,218
69,129,128
72,112,115
84,133,332
73,190,88
78,153,113
71,126,105
