VK,HT,FT
16,66,-1
84,120,424
72,135,113
69,169,126
32,165,423
16,498,552
85,132,111
78,108,249
73,35,179
84,110,256
69,189,325
68,477,159
83,114,280
8,482,845
32,99,595
16,966,709
83,129,412
84,136,238
65,156,187
84,113,250
69,147,335
83,134,3
32,155,186
79,105,93
70,252,971
32,130,0
16,770,455
65,155,275
77,131,134
69,119,251
82,169,258
73,125,497
67,175,262
65,162,20
188,100,732
32,115,242
67,200,306
65,124,339
76,166,171
83,141,149
32,140,155
73,116,55
84,107,257
83,86,224
69,178,136
76,4,9
70,513,656
188,106,541
32,147,257
65,163,224
32,173,348
76,147,338
65,145,38
78,135,214
68,2,848
188,106,0
32,124,78
87,113,497
72,106,220
69,191,290
82,29,231
69,113,204
32,162,84
73,161,366
84,145,384
83,143,148
69,141,205
8,60,752
32,119,111
83,98,493
8,572,304
67,159,149
73,144,182
84,134,303
73,121,241
90,260,16
69,182,102
78,123,236
83,129,265
32,162,156
65,123,636
82,62,273
69,161,227
32,214,196
65,117,223
76,108,14
79,99,239
87,389,956
69,141,29
68,298,31
32,170,138
84,118,227
79,64,129
32,195,275
76,169,140
73,106,216
86,727,672
69,118,340
32,128,397
79,101,192
85,171,466
84,118,333
32,113,267
84,120,154
72,130,90
69,123,76
82,122,228
73,95,159
32,133,0
76,82,164
73,210,113
8,1036,780
73,124,192
82,46,197
8,243,498
69,147,127
73,83,212
82,118,178
32,170,470
76,180,102
73,70,274
67,122,554
69,162,324
8,315,611
86,862,732
69,189,414
83,131,129
188,121,646
32,160,18
70,788,32
82,96,305
69,129,170
76,0,456
89,764,419
190,680,565
32,182,283
16,168,8
84,132,184
79,95,117
32,155,0
83,74,306
79,91,287
77,115,325
69,82,529
188,140,293
32,146,184
84,122,297
72,134,153
73,224,0
83,127,32
32,163,124
68,755,794
69,195,282
70,244,235
73,77,86
78,119,180
73,62,26
84,124,501
73,119,394
79,112,196
78,118,164
32,145,554
83,123,258
84,151,76
85,82,833
69,117,109
83,107,310
32,187,189
8,412,793
85,90,224
84,154,104
69,120,0
83,93,456
8,0,784
73,122,211
84,121,215
83,90,158
32,138,56
84,121,130
72,97,122
69,158,326
32,120,0
78,140,216
65,148,343
84,138,173
85,184,0
82,236,223
69,151,224
32,112,231
79,130,186
70,691,815
32,124,109
84,125,278
72,112,122
69,109,252
32,133,65
78,106,181
65,146,408
84,134,450
73,132,209
79,119,170
78,169,155
188,107,409
32,111,68
86,385,492
69,131,60
82,152,92
89,704,442
32,153,0
87,643,568
69,167,557
76,187,517
188,115,8
32,135,138
66,129,470
85,98,79
84,114,353
32,134,0
84,94,245
79,75,60
32,179,94
84,107,301
72,124,86
79,114,246
83,109,348
69,86,173
188,106,218
32,160,249
87,455,204
72,132,182
79,104,22
32,133,449
70,15,951
73,78,84
78,136,190
68,972,828
32,150,720
84,109,284
72,135,119
65,129,143
84,119,126
32,176,127
84,120,473
72,120,183
69,158,435
89,761,456
32,163,328
82,88,98
69,94,244
81,825,178
85,113,25
73,93,303
82,95,325
69,112,265
32,160,307
65,134,26
32,102,555
83,117,295
79,94,233
67,146,134
73,165,239
65,164,102
76,69,216
89,893,128
32,141,7
65,170,276
78,145,167
68,721,947
32,124,0
67,206,413
85,109,246
76,147,425
84,124,497
85,282,605
82,179,221
65,160,356
76,0,174
89,711,917
32,130,413
68,619,533
73,136,301
70,216,382
69,116,475
82,116,216
73,40,243
78,101,170
71,88,152
32,173,813
76,219,157
73,95,269
70,781,243
69,151,533
83,128,360
84,126,369
89,342,312
76,132,289
69,64,426
188,145,390
32,112,159
65,119,387
76,262,475
32,135,48
8,116,784
78,86,203
79,49,166
84,120,262
32,125,408
65,128,646
76,188,160
32,164,264
70,726,767
82,170,120
69,251,265
68,734,187
79,93,194
77,90,154
83,171,207
32,162,151
65,146,163
82,129,121
69,168,220
32,196,549
8,200,234
32,149,0
71,151,279
82,170,224
65,193,279
78,121,215
84,105,359
69,207,362
68,333,901
32,156,143
8,284,570
190,811,899
32,134,154
16,345,225
73,120,170
84,124,286
32,164,499
83,131,170
79,83,94
85,89,158
78,138,184
68,125,437
83,112,222
32,144,225
83,157,321
79,92,226
32,165,317
79,140,275
