VK,HT,FT
16,220,-1
71,82,91
65,96,72
85,141,95
89,33,128
32,106,104
8,147,309
89,59,84
32,107,30
77,436,715
65,120,80
82,103,81
73,181,89
65,135,143
71,63,412
69,57,19
32,88,104
73,99,104
83,95,45
32,95,289
65,112,63
78,103,85
32,88,87
73,144,116
83,72,95
85,60,96
69,40,136
32,71,63
84,88,80
72,91,55
65,98,80
84,88,81
32,50,176
83,81,216
69,48,146
77,627,805
32,88,99
83,87,112
73,111,121
78,53,95
79,175,96
67,73,177
85,123,163
79,119,77
85,127,96
83,111,104
32,128,80
65,87,57
84,84,31
32,87,60
73,104,119
70,753,632
82,96,80
83,23,104
84,87,88
188,578,80
32,95,96
66,880,776
8,344,307
83,79,102
32,88,96
73,128,112
78,84,88
79,149,55
67,74,63
85,72,88
79,184,55
85,97,89
83,87,113
32,55,60
65,111,78
84,88,56
32,98,198
70,464,112
73,133,103
82,125,187
83,87,120
84,80,96
188,15,446
32,55,88
66,5,491
85,57,87
84,72,40
32,81,118
67,88,176
65,120,158
78,160,96
32,112,112
65,111,89
67,59,212
84,14,42
85,127,88
65,120,103
76,104,72
89,116,96
32,88,107
72,104,93
65,96,64
86,462,395
69,79,166
32,59,63
69,80,221
82,105,80
73,128,89
79,175,1
85,91,98
83,384,48
32,88,80
82,72,20
65,80,72
77,185,348
73,172,56
70,263,580
73,175,56
67,88,59
65,121,51
84,80,72
73,112,144
79,80,75
78,119,53
83,212,48
32,80,80
73,128,69
78,96,262
32,88,104
84,72,80
72,45,57
69,102,80
32,88,83
76,180,8
79,112,40
78,72,87
71,118,164
32,56,227
82,127,56
85,161,84
78,103,64
188,662,902
32,220,64
16,894,3
79,98,106
82,192,205
73,132,96
71,117,5
73,120,89
78,83,96
65,111,103
76,76,134
89,87,131
188,361,899
32,104,81
84,88,702
72,105,87
69,96,171
32,95,112
16,446,944
85,75,134
78,87,88
73,200,67
84,67,31
69,109,128
68,55,452
32,88,14
16,583,151
83,92,112
84,58,160
65,123,48
84,72,134
69,46,95
83,111,1250
32,79,88
87,63,108
65,120,68
83,96,48
32,56,176
70,379,448
79,121,80
85,122,96
78,103,80
68,48,106
69,95,88
68,0,240
32,114,119
73,111,260
78,103,119
32,80,43
16,857,711
8,66,293
79,121,55
78,136,84
32,104,18
16,132,648
67,80,468
72,17,66
82,107,96
73,154,94
83,29,96
84,88,55
73,104,80
65,120,64
78,86,77
32,88,81
80,64,79
82,112,150
73,200,270
78,119,96
67,80,129
73,133,0
80,72,329
76,112,211
69,76,83
83,92,88
190,200,32
32,106,112
16,64,935
84,72,88
72,137,97
69,91,399
83,96,54
69,80,96
32,79,82
16,444,382
67,80,176
72,91,79
82,96,65
73,104,96
83,72,125
84,18,96
73,104,144
65,112,72
78,88,80
32,80,88
80,87,95
82,81,64
73,71,97
78,88,88
67,80,172
73,97,103
80,65,108
76,134,216
69,130,31
83,112,77
32,103,88
68,35,231
79,192,64
32,72,56
78,180,96
79,80,55
84,95,40
32,80,204
82,241,144
69,95,73
67,236,56
79,121,36
71,45,96
78,69,88
73,156,54
90,555,495
69,96,80
32,103,60
71,105,96
65,87,84
89,111,85
32,104,104
77,167,220
65,75,79
82,80,56
73,108,34
65,79,48
71,30,77
69,95,34
32,24,102
65,81,340
83,80,96
32,95,107
65,112,514
67,80,290
69,79,86
80,38,325
84,64,74
65,96,161
66,204,456
76,151,168
69,54,95
190,539,342
32,75,117
16,332,509
84,80,72
72,42,58
85,105,88
83,496,223
188,29,732
32,88,275
65,79,589
76,120,80
79,150,48
87,164,294
73,154,114
78,96,118
71,76,297
32,87,97
71,51,140
65,72,63
89,107,119
32,80,57
77,941,783
65,112,75
82,55,101
73,156,81
65,112,80
71,54,79
69,56,80
32,80,63
87,83,888
79,115,19
85,72,59
76,78,104
68,54,102
32,95,104
66,209,738
69,96,186
32,94,48
65,111,65
32,109,64
66,245,824
82,87,104
69,96,44
65,88,531
72,96,101
67,132,94
32,80,64
79,96,28
70,656,863
32,88,63
84,80,84
82,88,111
65,111,145
37,405,882
83,80,71
68,71,1
73,96,43
84,79,104
73,46,104
79,192,96
78,104,80
65,111,103
76,88,224
32,96,88
86,352,545
65,112,80
76,96,117
85,72,320
69,80,65
83,111,55
190,909,83
32,96,176
16,224,609
70,790,26
85,128,87
82,243,104
84,112,74
72,108,97
69,96,7
82,50,162
188,697,658
32,85,303
77,289,728
65,120,72
82,80,197
73,200,45
65,120,147
71,79,66
69,80,7
32,13,70
73,128,89
83,91,112
32,96,585
68,45,0
69,80,49
70,221,318
73,80,95
78,104,71
69,98,39
68,60,33
32,112,95
65,111,83
83,87,73
32,80,166
84,43,88
72,138,97
69,88,88
32,89,162
85,127,63
78,72,39
73,120,64
79,96,48
78,87,96
32,104,104
66,901,840
69,95,220
84,85,169
87,806,945
69,64,238
78,184,126
32,79,88
65,88,62
32,72,93
77,40,952
65,120,49
78,167,88
32,72,80
65,111,64
78,179,51
68,27,11
32,222,80
65,42,63
32,87,5
65,93,81
79,119,2
87,562,194
8,59,572
87,575,144
79,96,168
77,945,433
65,88,128
78,122,199
190,176,238
32,80,88
16,915,111
65,120,48
76,67,203
84,64,81
72,119,96
79,96,87
85,175,82
71,88,80
72,104,90
32,72,126
84,72,514
72,107,89
69,99,72
82,103,128
69,96,49
32,87,48
67,92,135
65,72,11
78,104,113
32,87,103
65,87,83
78,160,95
68,48,159
32,80,112
72,95,97
83,88,109
79,75,72
85,5,96
76,80,96
68,50,362
32,80,48
66,52,267
69,80,55
32,88,100
76,113,122
69,88,59
71,108,98
65,88,80
76,118,114
32,104,104
69,80,136
81,980,303
85,79,88
65,66,980
76,115,97
73,91,277
84,64,115
89,104,10
32,88,63
70,227,284
79,130,80
82,127,171
32,96,40
71,53,96
65,112,154
89,108,142
32,87,216
65,87,116
78,72,45
68,55,113
32,128,127
76,88,106
69,87,72
83,72,196
66,405,451
73,86,136
65,117,69
78,87,96
32,88,88
67,7,89
79,96,126
85,90,88
80,120,107
76,104,120
69,96,120
83,109,103
188,535,965
32,64,121
66,610,347
89,55,56
32,55,112
68,46,68
69,96,62
70,336,288
73,195,241
78,136,96
73,145,80
84,72,96
73,112,80
79,112,55
78,190,36
32,128,89
84,88,104
72,82,81
69,96,147
73,144,99
82,111,104
32,82,472
85,65,68
78,120,47
73,96,3
79,183,88
78,120,210
32,127,87
83,88,947
8,224,505
67,78,56
65,80,63
78,67,67
79,143,83
84,64,104
32,88,78
66,193,435
69,104,96
32,88,53
68,34,98
69,88,71
70,593,384
73,80,101
78,104,80
69,80,136
68,55,248
32,80,88
65,88,88
83,103,204
32,72,168
77,645,476
65,96,104
82,87,88
73,128,64
65,112,63
71,110,80
69,88,64
190,542,288
32,88,97
16,926,542
71,80,79
65,78,64
89,7,107
32,88,112
67,80,221
79,143,80
85,72,166
80,104,120
76,136,188
69,88,146
32,79,297
83,91,64
8,1008,181
83,96,92
32,54,92
83,121,117
72,80,24
79,93,88
85,189,96
76,193,72
68,72,180
32,128,296
66,286,929
69,104,80
32,100,87
67,58,288
79,112,75
